species,adult lengths,anal,anal scale,anterior ones of both jaws,anterior parietals,anterior praefrontals,anterior prefrontals,anterior teeth,anterior temporals,anterior third of the body,arrow-shaped mark on head,average hl/hw,average hl/svl,average tl/svl,belly,black stripe,blotched pattern,blotches,body,body length,body size,both jaws,broad transverse black-edged patches,broken pattern,chin,cloacal scale,cloacal spurs,color,color pattern,comparative dna properties,coronoid,dark patch,dark shade of green coloration,dark spots,delayed color change,dentary teeth,description (genus),description (species),diagnosis (genus),diagnosis (species),dorsal and lateral spots,dorsal color,dorsal color pattern,dorsal coloration,dorsal midbody rows,dorsal midbody scales,dorsal pattern,dorsal scale rows,dorsal scales,dorsal surface,dorsum of the head,eggs,elongate medial anterior process of the ectopterygoid,eye,eye-supralabial contact,eyes,flank blotches,flanks,forehead,frontal,frontal scale,genus,girth,half ventrals,head,head blotch,head length,head scalation,head scale arrangement,head size,head stripe,head width,heat pits,high midbody scale count,infralabial pits,infralabial scales,infralabials,internasal scales,internasals,interoculars,interparietal,iridescent,jaws,labials,labials entering the orbit,largest specimen known,lateral color,lateral surface,length of head and body,light spot,loreal,loreal region,loreal scales,loreals,lower labials,lower surface,mandibular foramen,maxillary,maxillary teeth,maximum mid-body girth,mental groove,mid-body girth,molecular genetic information,monophyletic clade,nasal,nasals,neck,neural spine,nostril,number of prefrontals,number of ventral and subcaudal scales,number of ventrals,orbit,overall coloration,palatine,palatine teeth,pale post-ocular stripe,parietal scales,parietals,part of labials,parts of head,patches,pattern,perioculars,post-internasal scutes,post-ocular pattern,post-ocular stripe,posterior dorsals,posterior parietal scales,posterior prefrontals,postocular scales,postocular spots,postoculars,prae-,prae-oculars,praefrontals,praemaxillary,praeocular,prefrontal scales,prefrontals,preocular scale,preoculars,pterygoid,pupil,python breitensteini,python brongersmai,python curtus,python curtus species group,rapid color change,remainder of head shields,remnant or partially inserted ventrals,rostral,rostral scale,rostral width,scale arrangement,scale at snout tip and first two upper lip scales,scale of head,scale rows at midbody,scale rows at neck,scales,scales in a median line between the orbits,scales on dorsum of the head,scales on the dorsum of the head,sensory pits,sexes,sexual dimorphism,sides of snout,simalia,single iris band,single juvenile morph,skin,snout tip,spurs,stripes,subcaudal scales,subcaudals,subocular,subocular scale,suboculars,suborbital portion of the maxilla,supralabial scale counts,supralabial scales,supralabial thermoreceptive pits,supralabials,supralabials entering the eye,supralabials entering the orbit,supraocular,supraoculars,supratemporal,tail,tail (broken),tail length,tan ocelli,thermoreceptive pits,thick-bodied,tip of arrow-head mark on head,tongue,top of body,total length,two dark streaks on side of head,upper and lower labials,upper labials,upper surface eye,upper surface of head,v,venter,ventral,ventral color,ventral scale count,ventral scale counts,ventral scales,ventral surface,ventrals,vertebral region,vestiges of pelvis and legs,whitish postocular spots,yellow stripe,yellow stripes,yellowish to brown,young specimens
Nyctophilopython oenpelliensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,several smaller asymmetrical scales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,up to over 4 meters,,,,,,,,,,,,,,,,,,,,,
Morelia spilota,2 m to 5.5 m,,,,,,,,,,,,,,,,,,,,,,wide pale lateral zone,,,,,,,distribution,,,,,,,,,,,,,pale reddish brown,,,,,,rhomboidal-shaped,small scales,,,,,,,,,,,,large size,,transversely divided ventrals,,,,large plate-like head scales,,,,,,,,,,,anterior prefrontals,,,,,,,,,,,,,,,,,,,,,,,,,molecular characters,,,,,,,,,,,,,,,irregular scalation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,incompletely formed ventrals,,,,,,,,,,,,,,,,,subloreal scales,,,,,,,,,,,,,,,,,,,,frontals,,strongly prehensile,,,,supralabials and rostral,,,,,,,,,,,,,,,,,split ventrals,,,,,,,,,
Morelia viridis,,,,,,,,,,,,,,,,,,,,,,,,following the vertebral ridge,,,,,,,,,along the vertebral ridge,,variable coloration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uniform green in adulthood,,,,,,,,,,,,,,,,,,,,horizontal,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Python anchietae,,,,,,,,,,,,,,,,,,,,,,,,,,single or divided,,,,,,,,,,,,,,,,,,,,,,,55-61 straight rows,,same color as the body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,about 10,,,,,,,,,,,,,,,15-16,,,,,,,,,,single or divided,,,,,,,,,,,,,,,,,,,15-18,,,,,,,,,2 or more,,,,,,,,,4-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow and black,,46-57 divided,,,2-3,,,,,,,,,1 or more,,,,,,,,,,,,,pale,12-15,,,,whitish,,,,,,,253-267,,,,,,,
Python curtus,,,,,,,,,,,,,,,plain cream or white,,,,short and robust,,,,,,plain cream or white,,present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,longitudinal series of large blotches with black edges,,,,,,,"elongate, flat and distinct from neck",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dark smudges,,,,,,,,,black triangular blotches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dark stripes,,,,,,,,,,,,,,,,,,,,,,,short,,,,,,,,brownish grey,,,,,,,,,,,,,,,,ridged,,,,,,
Python molurus,,,,elongated and curved,,,,,,,,,,,,,,,,,,with teeth,,,,,,,,,present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broader than neck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,movable,,,,,,,,,,,,,,,,,movable,,,,,bearing pits,pale pink,,,,,,,,,,,,,,,,,,,,,,extending to quadrate or mandible,,,,,,,,,,,,,,large scales of different shapes and sizes,,,"numerous, in 60-75 scalerows",,,,,,,,,,,,heat sensitive pits,,,,,,,,,,,,,,,,,"present, attached scalelike to skull, suspending quadrate",,,,,,smooth-scaled,indistinct in adults,pale pink,,,"one below, the other through/behind eye",,,vertical pupil,,,,,,,,,,,,terminating in a clawlike spur visible on each side of vent,,,,"asymmetrical dark brown, black-edged blotches",
Python natalensis,,,,,,,,,,,,,,,,,,,,,,,,,,single or divided,,,,,,pale and narrower,,,,,,,,,,,,,,,,,arranged in 76-99 straight rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6-10,,,,,,,,,,,,,,,17-20,,,,,,,,,,single or divided,,,,,,,,,drabber,,,,,,,,,,8-13,,,,,,,,,3-4,,,,,,,,,2-3,,,,,,,,,,,,,,,,,,,,,small and medium sized,"two of the upper labials, as well as smaller ones on three of the lower labials",,,,,,,,,,,,"63-84, divided",,,variable number,,,,,,,,,2-3,,,,,,,,,,,,,,10-16,,,,,,,,,,,260-291,,,,,,,
Python regius,,,,,,,,,,,,,,,,,,,,,,,,,,single or divided,,,,,,,,,,,,,,,,,,dark overall,,,,,arranged in 51-63 straight rows,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 or so,,,,,,,,,,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-4,,,,,,,,,2-4,,,,,,,,,,,,,,,,,,,,,,3 or four of the upper labials,,,,,,,,,,,,28-37 divided,,,,,,,,,,,,1-2,,,,,,,,,,,,,,"9-12(5) or (5,6) or (6)",,,,,,,,,,,191-207,,,,from nostril to eye,posterior to the eye,,
Malayopython reticulatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,similar to the rest of the supralabials,,,,,,,,,,,,,,,,,,,,,,,,extends much further anteriorly,,,,,,,,,,,,,,,,,,,,,54 or more,set in a longitudinal groove,,2 or 3 anterior and 5 or 6 posterior,,,,,,,,,,,,,,,,,,,,lying below the posterior end of the dentary tooth row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in 70 to 80 rows,,,,,,,,,,,,,,,,,,,,without any lateral flare or projection,,,less well defined,4 anterior,,,,,,,,,,,,,,,,,,,,,297-332,,,,,,,,,,,,,,,
Python sebae,,,,,,,,,,,,,,,,,,"large round, oval, or irregular",,,,,,,,,,,,,,,,on venter,,,,,,,,,,,,,"black, brown, and yellow",,arranged in 71-99 straight rows,,,,,,,,,,,,,,,,,"broad, dark",,,,,yellow,,,,,,,,,4,,,,,,,,,,,,,,,15-23,,,,,,,,,,semi-divided,,,,,,,,,dark,,,,,,,,,,9-12,,,,,,,,,3-4,,,,,,,,,2-4,,,,,,,,,,,,,,,,,,,,medium and large sized,,"on two of the upper labials, as well as smaller ones on three of the lower labials",,,,,,,,,,,,"55-80, divided",,,2-3,,,,,,,,,1-2,,,,,,,,,,,,,,11-17,,,,whitish,,,,,,,259-294,,,,,,,
Malayopython timoriensis,,entire,,,,a second pair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large,,,,,median dark line,,,,,,,,,,,,,,much more long than broad,,,,,,,,,,793 mm,,,covered with small shields,,,five pitted,yellow,,,,,,,,,,,,,,,,,,,,,,,two pair,,,,,,,,,,,,,,three,,,,,large and a small,,,,,,,,,,,,,,broad as deep,,,,,,,,in 60 rows,,,,,,,,,,,,,,,,22 +?,,,,,,,,,,,large,,,,45 mm,,,,,,,,,,,twelve,,,,,,,,,,,288,,,,,,,
Python brongersmai,,,,,,,,,,,,,,,"anteriorly cream, posteriorly dark, with grey smudges and blotches",,,,short and robust,,,,,,,,present,,,,,,,,,,,,,,,,,,,,vertebral spots,,,,,,,,,,rounded and set within paler areas,,"indistinct narrow, dark stripe",,,,,,"elongate, flat, distinct from neck",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"pale, narrow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dark,,,,,,short,,,,,,,,"red, reddish brown, charcoal-grey, pale grey or brown",,,,,,,,,,,">167 in brongersmai, <165 in other forms",,,,,ridged,,,,,,
Python breitensteini,,,,,broadly in contact,,,,,,,,,,plain cream,between internasals and occipital,,dark sub-rectangular,short and robust,,,,,,plain cream,,present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,,,,,,"elongate, flattened",,,,,,,,,,,,weak pits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,short,,,,,,,,pale yellow or tan,,,,,,,,,,,,,,,,ridged,,,,,,
Leiopython fredparkeri,,,,,,,,,,,,,,,,,,,strongly iridescent,grows to a larger maximum,,,,,,,,,,,,,,,,,,,,,,,,"dark grey, brown, or black",,higher mean number,,,,,,,,,,,,,,,,,,,black dorsally,,longer,,,,,wider,,,,thin black bars,,,,,,,white ventrally,,,,,lighter,,,,,,,,,,,,,,,distinct,,,,,,,,,,,,,,,single pair,,,,,,,,,,,,,absence of small specks of white patterning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not sexually dimorphic,,,,,,,,,,,,,,,,,thin black bars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fewer,white or cream,,,,,,,,
Python bivittatus,,,,,,,,,,,distinct,,,,grey with dark spots on outer scale rows,,,,thick and cylindrical,,,,,,,,present,,,,,,,,,,,,,,dark and dark grey,,,,,,,,,,,,,vertical pupil,,,,,,,,,proportionally greater than in reticulatus,,broader than neck,,,,,,,,,,,,,,,,,,,separated from eye by sub-oculars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30--40 large, irregular squarish, black-edged, dark chocolate-grey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heat sensitive pits,,,,,,,,present in rostrals and on some supralabials and infralabials,,,,,,,,,small,,,,,,,,,,,,,,,,,short and prehensile,,,,,,,,dark brown or yellowish grey,,,,,,large scales of different shapes and sizes,,,,,,,,,,,,,,,"asymmetrical dark brown, black-edged blotches",
Python kyaiktiyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prevented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,different,different,different,member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,present,,,,,,,,,,,,,,,anteriorly in the trunk's middorsal stripe,,,,,,,,,,,,,,,,,,180 or more,,,,,,,,,
Morelia azurea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,horizontal,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morelia imbricata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"strongly imbricate, lanceolate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239-276,,,,,,,
Antaresia papuensis,,,,,,,,,,lacking a space between the blotches,,1.94,0.038,0.094,,,,,,,larger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,one large roughly hexagonal,,,,,,,large symmetrical shields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85 mm,,,,,,,1.72 times thicker,,,,,253-284,,,,,,two,,,,,far less contrasted,,,,,,,,two or four,,,,,,,,two to four,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,one large above each eye,,,,,95 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
