species,traits
malayopython reticulatus,"supralabial thermoreceptive pits less well defined than the infralabial pits, infralabial pits set in a longitudinal groove deﬁned ventrally by a longitudinal fold, color pattern similar to the rest of the supralabials, suborbital supralabial region similar to the rest of the supralabials, elongate medial anterior process of the ectopterygoid extends much further anteriorly than the lateral anterior process, color light brown or yellowish above with a dorsal series of large darker brown, circular, oval or rhomboidal spots, color each spot is edged with black and outside again with yellow, color whitish or yellowish below, color the outer scale rows spotted or' dappled with brown, black streak along the middle of the head and another on each side from the eye to the anglo of the jaw"
malayopython timoriensis,
python brongersmai,"top of body color red, reddish brown, charcoal-grey, pale grey or brown, dorsal pattern vertebral spots, dark blotches on flanks rounded and set within paler areas, belly color anteriorly cream and posteriorly dark, with grey smudges and blotches, body shape short and robust, head shape elongate, flat, and distinct from neck, tail shape short, cloacal spurs present"
python breitensteini,"top of body pale yellow or tan, dark sub-rectangular blotches about as wide as body, scattered pale spots present on vertebral region, sides of head darker than forehead, pale post-ocular stripe runs to angle of jaws, chin and belly plain cream, body short and robust, head elongate, flattened, and distinct from neck, eyes small with a vertical pupil, vertebral region ridged"
leiopython fredparkeri,"top of body pale yellow or tan, dark sub-rectangular blotches about as wide as body, head darker than forehead, sides of head darker than forehead, chin and belly plain cream, body short and robust, head elongate, flattened, and distinct from neck, eyes small with a vertical pupil, vertebral region ridged, infralabials weak pits, tail short, cloacal spurs present, anterior parietals broadly in contact"
leiopython hoserae,"parietals one pair, followed by a characteristic scale pattern, scale pattern two small scales separated from the median line by an elongate scale that gets wider posteriorly, body size larger, color darker, ventral scale counts higher, midbody scale row counts higher, postocular scale counts higher, loreal scale count higher, prefrontal scale count higher, loreal scale count higher, prefrontal scale count second pair, midbody scale row higher, postocular scale count higher, infralabial count higher, ventral count lower, parietals two pairs"
python bivittatus,"labials separated from eye by sub-oculars paired, arrow-shaped mark on head distinct single"
python kyaiktiyo,"subocular scale preventing eye-supralabial contact, ventral scales 180 or more, tan ocelli anteriorly in the trunk's middorsal stripe, juvenile morph yellow vs. yellow or red in m. azurea, vertebral scales tightly knitted row of white, vertebral ridge dark shade of green coloration, tail tip darkened, tail shape long, tapering, subcaudal scale counts lower, iris band single"
morelia imbricata,"strongly imbricate lanceolate, posterior dorsals fewer, ventrals fewer, subcaudals fewer"
antaresia papuensis,"svl 1080 mm, tail length 95 mm, hl/svl 0.038, hl/hw 1.94, mid-body girth 85 mm, supralabial scales 10-12, infralabial scales 10-14, ventral scales 253-284"
