trait,attribute,family
ventral segments to a midbody annulus,means of 21 to 30,amphisbaenidae
precloacal pores,three to six (usually four),amphisbaenidae
body color,uniform dark brown dorsal and somewhat lighter ventral coloration,amphisbaenidae
dorsal segments,marked increase in its density on the anterior part of each segement,amphisbaenidae
"ventral part of the supralabials, and the middle of the chin shields",light colored in life and bleach to white in preservatives,amphisbaenidae
ocular,more or less rectangular,amphisbaenidae
the eye,large and clearly apparent,amphisbaenidae
cloacal region,"characterized by three to six (usually four) small, round, precloacal pores",amphisbaenidae
tail,no trace of an autotomy annulus,amphisbaenidae
section,"the tail appears ventrally flattened, dorsally curved, and wider than high",amphisbaenidae
middorsal segments,one and three-quarters to two times as long as wide,amphisbaenidae
midventral segments,wider than long,amphisbaenidae
preanal pores,"4, separated on the middle by two segments, fused with those immediately behind, which are part of the anal flap",amphisbaenidae
body annuli,195,amphisbaenidae
tail annuli,27,amphisbaenidae
autotomy level,at 6,amphisbaenidae
midbody annulus segments,14/14,amphisbaenidae
upper labiais,four,amphisbaenidae
lower labiais,three,amphisbaenidae
species size,small,amphisbaenidae
body length,195mm,amphisbaenidae
head shape,"acuminate, curved in profile",amphisbaenidae
nasal scales,maximum curvature,amphisbaenidae
frontals,"very broad, with all sutures rounded",amphisbaenidae
tail shape,cylindrical,amphisbaenidae
tail tip,"smooth, acuminate",amphisbaenidae
autotomy level,the sixth caudal annulus is slightly shorter than the others,amphisbaenidae
coloration,uniform light yellow,amphisbaenidae
svl,260 mm,amphisbaenidae
tail,21 mm,amphisbaenidae
tail shape,"cylindrical, rounded terminally",amphisbaenidae
body annuli,239-255,amphisbaenidae
caudal annuli,14-16,amphisbaenidae
dorsal segments/midbody annulus,14-16,amphisbaenidae
ventral segments/midbody annulus,16-17,amphisbaenidae
rows of postgenials,2,amphisbaenidae
precloacal pores,4,amphisbaenidae
nasal suture,long,amphisbaenidae
dorsum color,"pinkish gray, gray, or light brown",amphisbaenidae
upper surface of head and tail,darker,amphisbaenidae
rectangular centers of each segment,much darker than margins,amphisbaenidae
general appearance,pattern of dark spots,amphisbaenidae
dorsal color,darker than pinkish venter,amphisbaenidae
chin and venter,with light-colored segments,amphisbaenidae
light-colored segments,lacking dark rectangles,amphisbaenidae
ocular,fused to the second supralabial,amphisbaenidae
body annuli,226-240,amphisbaenidae
caudal annuli,14-18,amphisbaenidae
dorsal segments per midbody annulus,12-14,amphisbaenidae
ventral segments per midbody annulus,16-18,amphisbaenidae
postgenial rows of chin shields,two,amphisbaenidae
precloacal pores,4-6,amphisbaenidae
anillos del cuerpo (body rings),más de 206 (more than 206),amphisbaenidae
anillos de la cola (tail rings),18-26,amphisbaenidae
escamas alrededor de un anillo del medio del cuerpo (scales around the middle body ring),menos de 72 (less than 72),amphisbaenidae
escamas dorsales (dorsal scales),27-36,amphisbaenidae
escamas ventrales (ventral scales),2636,amphisbaenidae
cabeza (head color),"totalmente blanca, obscura o con banda blanca (completely white, dark or with a white band)",amphisbaenidae
number of scales around the middle body of a. boliviana,32-30/28-30,amphisbaenidae
número de anillos corporales (number of body rings),217-212,amphisbaenidae
svl,291 mm,amphisbaenidae
tail,"22 mm, cylindrical, tapering, rounded terminally",amphisbaenidae
caudal autotomy,"uncommon, mostly after 5th caudal annulus",amphisbaenidae
body annuli,214-237,amphisbaenidae
caudal annuli,13-18,amphisbaenidae
dorsal segments/midbody annulus,13-18,amphisbaenidae
ventral segments/midbody annulus,14-20,amphisbaenidae
rows of postgenials,2-3,amphisbaenidae
rows of postmalar chin shields,0-1,amphisbaenidae
precloacal pores,4-6,amphisbaenidae
nasal suture,"very short, one-fifth or less of prefrontal suture",amphisbaenidae
temporals,0-2,amphisbaenidae
dorsum color,pinkish brown,amphisbaenidae
head,completely pinkish brown,amphisbaenidae
tail,completely pinkish brown,amphisbaenidae
rectangular centers of segments,much darker than margins,amphisbaenidae
dorsum,darker than venter,amphisbaenidae
venter,at times with whitish stripe from cloaca anteriorly to one-third or one-half body,amphisbaenidae
size,large,amphisbaenidae
postrostral head shields,paired,amphisbaenidae
head,"short, pointed, terminating in a rounded vertically oval tip",amphisbaenidae
tail,"short, terminally rounded",amphisbaenidae
body annuli,194-217,amphisbaenidae
caudal annuli,14-26,amphisbaenidae
autotomy annulus,generally at the fourth or fifth caudal,amphisbaenidae
dorsal segments,28-42,amphisbaenidae
ventral segments,27-45,amphisbaenidae
precloacal pores or pore scars,4-6,amphisbaenidae
dorsal color,brown,amphisbaenidae
ventral color,lighter,amphisbaenidae
segment pigmentation,uniform,amphisbaenidae
along sides,color gradually fading out,amphisbaenidae
nuchal band,light-colored,amphisbaenidae
snout,might be covered by the nuchal band in some populations,amphisbaenidae
"meristic, size, and pattern characters",marked geographical variation within limits,amphisbaenidae
head scales,a major fusion of head scales occular + second supralabial,amphisbaenidae
a. barbouri and a. carlgansi,smaller and more slender,amphisbaenidae
"body and caudal annuli, interfrontal/interprefrontal and intemasal/ interprefrontal ratios",higher numbers,amphisbaenidae
tail length/ svl,"0.080-0.086 in carlgansi, 0.060-0.079 in a. barbouri",amphisbaenidae
coloration,"pale pinkish-tan in carlgansi, medium brown in a. barbouri",amphisbaenidae
body annuli,"212-228 in carlgansi, 226-240 in a. barbouri",amphisbaenidae
total midbody segments,"31-34 in carlgansi, 28-32 in a. barbouri",amphisbaenidae
size,168 mm svl,amphisbaenidae
body annuli,216-228,amphisbaenidae
lateral annuli,2/2-3/3,amphisbaenidae
caudal annuli,14-16,amphisbaenidae
segments to a midbody annulus,14/18-20,amphisbaenidae
precloacals,7-8,amphisbaenidae
postcloacals,11-13,amphisbaenidae
total half-annular segments of head,4-8,amphisbaenidae
head,"narrow, not sharply distinct from neck",amphisbaenidae
rostral,"triangular, apical in position",amphisbaenidae
prefrontals,"large, trapezoidal",amphisbaenidae
parietals,asymmetrically trapezoidal with bases contacting third median segments of third body annulus,amphisbaenidae
first supralabial,"small, subtriangular",amphisbaenidae
second supralabial,"large, almost chevronate",amphisbaenidae
mental,broadly arrow-shaped,amphisbaenidae
first infralabial,"small, subquadrangular",amphisbaenidae
second infralabial,"large, irregularly hexagonal",amphisbaenidae
malar,"right pentagonal, about 2/3 as wide as long",amphisbaenidae
postmental,"elongate, shield-shape, subpentagonal with apex posterior",amphisbaenidae
dorsal color,pale pinkish-tan,amphisbaenidae
ventral coloration,slightly paler pinkish,amphisbaenidae
form,very small,amphisbaenidae
liead shields,without major fusions,amphisbaenidae
first parietals,slightly enlarged,amphisbaenidae
supra- and infralabials,three,amphisbaenidae
postgenial and postmalar rows,"two, no adjective",amphisbaenidae
head,"slightly compressed dorsoventrally, noticeably set off from the neck, bears a regular segmentation pattern",amphisbaenidae
body annuli,231 to 245,amphisbaenidae
caudal annuli,7 to 8,amphisbaenidae
caudal annuli from the cloaca to the conical caudal spine,19 to 22,amphisbaenidae
dorsal segments,12 to 14,amphisbaenidae
ventral segments,16 to 18,amphisbaenidae
precloacal pores,"four clearly expressed, small, round",amphisbaenidae
dorsal color of preserved specimens,brown,amphisbaenidae
ventral color on the trunk,fading out,amphisbaenidae
"color of nape, parietal aspects of the head, and dorsal surface of the tail",slightly darker,amphisbaenidae
lightened area,extends across the suiralabials and the rostral region,amphisbaenidae
pigmentation,"emphasis on the rectangular segmental centers, fades along the margins, decreases in size, and drop out occurs",amphisbaenidae
size,moderate-sized,amphisbaenidae
svl,247 mm,amphisbaenidae
body shape,slender,amphisbaenidae
head shape,relatively short-headed,amphisbaenidae
tail,long,amphisbaenidae
caudal autotomy,no adjective,amphisbaenidae
head scales,lacks major alterations,amphisbaenidae
chin configuration,y,amphisbaenidae
body annuli,wide posteriorly,amphisbaenidae
caudal annuli,high number,amphisbaenidae
"""difference counts""",large,amphisbaenidae
head size,small,amphisbaenidae
tails,9-10% svl,amphisbaenidae
caudal autotomy,at annulus six,amphisbaenidae
second row of postgenials,strong mode of 4 scales,amphisbaenidae
first infralabial,shorter,amphisbaenidae
tail,longer,amphisbaenidae
caudal annular counts,17-21,amphisbaenidae
"""difference counts"" of body annuli",greater,amphisbaenidae
posterior body annuli,proportionately larger (longer),amphisbaenidae
length of the annular segments,less difference between dorsum and venter,amphisbaenidae
hemipenes,"proportionately larger, ornamented with larger pleats",amphisbaenidae
frontals,largest segment on the dorsal surface,amphisbaenidae
second infralabial,largest segment on the ventral surface,amphisbaenidae
snout,short prognathous,amphisbaenidae
postmental,with a medial groove,amphisbaenidae
postmalar row,lack,amphisbaenidae
body annuli,198,amphisbaenidae
caudal annuli,22,amphisbaenidae
autotomy annulus,"clearly marked, falls on the seventh postcloacal annulus",amphisbaenidae
dorsal segments,21 to 22,amphisbaenidae
ventral segments,22 to 23,amphisbaenidae
precloacal pores,four,amphisbaenidae
tail,"base depressed, behind the autotomy annulus it becomes compressed, tip conical",amphisbaenidae
dorsal pigmentation on the anterior third of the body,light brown,amphisbaenidae
dorsal pigmentation on the posterior third of the body,dark brown,amphisbaenidae
ventral side,very light,amphisbaenidae
ventral side segments,slightly pigmented,amphisbaenidae
maximum total length,170 mm,amphisbaenidae
preanal pores,two,amphisbaenidae
body annuli,180-185,amphisbaenidae
tail annuli,20-22,amphisbaenidae
autotomy level,between fourth and fifth or between fifth and sixth caudal annuli,amphisbaenidae
segments to a midbody annulus,10/10,amphisbaenidae
tail,"cylindrical, slightly tapering, to clearly but not strongly clavate",amphisbaenidae
lateral sulci,thin but distinct,amphisbaenidae
median scale sutures,"in the following order of increasing length: (nasal, parietal), frontal, prefrontal",amphisbaenidae
frontal,"irregular, with arcuate sides",amphisbaenidae
upper labials,four,amphisbaenidae
behind the ocular,an oblique row of two large polygonal scales sitting on the fourth labial,amphisbaenidae
symphysial,"small, with very short antero-lateral horns",amphisbaenidae
postgenials,three,amphisbaenidae
dorsal segments,"squarish, very slightly swollen",amphisbaenidae
ventral segments,"variable, the broadest (median) 2 to 2.5 times as broad as long",amphisbaenidae
preanal pores,"two, well made",amphisbaenidae
preanal scales,six,amphisbaenidae
dorsum color,medium brown,amphisbaenidae
intersegmental sutures,lighter,amphisbaenidae
belly,"this pattern extends onto the belly, sparing anteriorly the four median segments, invading all the venter posteriorly",amphisbaenidae
ventral aspect of tail,heavily checkered,amphisbaenidae
head color,"the same color as the body, without lighter areas",amphisbaenidae
svl,197 mm,amphisbaenidae
tail,16 mm,amphisbaenidae
tail shape,"cylindrical, tapering, rounded terminally",amphisbaenidae
caudal autotomy,usually after seventh caudal annulus,amphisbaenidae
ocular and second supralabial,usually fused,amphisbaenidae
body annuli,199-240,amphisbaenidae
caudal annuli,10-18,amphisbaenidae
dorsal segments/midbody annulus,12-16,amphisbaenidae
ventral segments/midbody annulus,14-18,amphisbaenidae
rows of postgenials,2,amphisbaenidae
postmalar chin shields,no adjective,amphisbaenidae
precoacal scales,8,amphisbaenidae
postcloacal scales,10,amphisbaenidae
precloacal pores,4-6,amphisbaenidae
nasal suture,short,amphisbaenidae
temporal,1,amphisbaenidae
dorsum color,shades of brown,amphisbaenidae
venter,with pink to violet gloss in life,amphisbaenidae
color on head,solid,amphisbaenidae
color on tail,solid,amphisbaenidae
body color,rectangular center much darker than margin,amphisbaenidae
dorsal color,darker dorsally than ventrally,amphisbaenidae
white segments,few white segments randomly scattered over venter,amphisbaenidae
tail,short,amphisbaenidae
body annuli,226-239,amphisbaenidae
caudal annuli,25-26,amphisbaenidae
scales around midbody,28-34,amphisbaenidae
dorsal scales,14-16,amphisbaenidae
ventral scales,14-18,amphisbaenidae
supralabials,three,amphisbaenidae
infralabials,three,amphisbaenidae
row of postgenials,one,amphisbaenidae
row of postmalars,one,amphisbaenidae
preanal pores,"four, large",amphisbaenidae
head color,pinkish,amphisbaenidae
dorsum color,brown,amphisbaenidae
belly color,"anteriorly pink, gradually changing to creamish",amphisbaenidae
underside of tail color,grey with or without white spots,amphisbaenidae
snout-vent length,246mm,amphisbaenidae
maximum tail length,34mm,amphisbaenidae
form of amphisbaena,medium-sized,amphisbaenidae
dorsal color,brownish violet,amphisbaenidae
ventral color,pinkish white,amphisbaenidae
dorsal segments,even color,amphisbaenidae
anterior pigment emphasis,noticeable on the sides of the trunk and on the ventral surface,amphisbaenidae
lateral countershading,irregular lightening of pigment area and pigment density,amphisbaenidae
dorsal surfaces of the head and tail,"darker, more dense pigmentation",amphisbaenidae
chin,light,amphisbaenidae
head segmentation,"lack of major fusions, pair of extremely large, roughly trapezoidal prefront als, followed by small triangular frontals",amphisbaenidae
head,"slightly flattened dorsoventrally, generally of oval cross-section with a variably downcurving rostral tip",amphisbaenidae
temporal musculature,emphasis with age,amphisbaenidae
trunk,"narrows slightly just posterior to the head and becomes much wider thereafter, its full width near the level of the twentieth body annulus",amphisbaenidae
rostral,"slightly larger than the first supralabial, visible only as a small triangle, it occupies a slightly longer segment of the labial edge",amphisbaenidae
body annuli,178-199,amphisbaenidae
dorsal segments to a midbody annulus,13-18,amphisbaenidae
ventral segments to a midbody annulus,16.5-22,amphisbaenidae
precloacal pores or pore scars,2-5,amphisbaenidae
pore cores,diamter less than one-sixth of the length of the pore-bearing segments,amphisbaenidae
postcloacals,9-15,amphisbaenidae
cloacal region,corresponds to 2-4 lateral annuli,amphisbaenidae
caudal annuli,6-8,amphisbaenidae
ventral surface of tail,flattened,amphisbaenidae
head shields,without major fusions,amphisbaenidae
parietals,one or more pairs of large,amphisbaenidae
tail,"blunt-tipped, cylindrical",amphisbaenidae
precloacal pores,"two, clear round",amphisbaenidae
precloacal pores,two very faint indications,amphisbaenidae
body annuli,213-231,amphisbaenidae
caudal annuli,13-17,amphisbaenidae
dorsal segments,13-16,amphisbaenidae
ventral segments,16-19,amphisbaenidae
rows of postgenials,two,amphisbaenidae
color of preserved specimens,"light brown, faintly countershaded",amphisbaenidae
segments,bear a light circular spot,amphisbaenidae
size,moderate,amphisbaenidae
svl,to 242mm,amphisbaenidae
tail,17 mm,amphisbaenidae
tail shape,"cylindrical, tapering, rounded terminally",amphisbaenidae
middorsal groove,present on posterior 2/3-3/4 of body,amphisbaenidae
body annuli,236-251,amphisbaenidae
caudal annuli,12-14,amphisbaenidae
dorsal segments/midbody annulus,13-14,amphisbaenidae
ventral segments/midbody annulus,14-17,amphisbaenidae
rows of post-genials,2,amphisbaenidae
 row of postmalar chin shields,1,amphisbaenidae
precloacal pores,4,amphisbaenidae
rostral,elongate posteriorly,amphisbaenidae
temporal,1,amphisbaenidae
dorsum color,shades of brown,amphisbaenidae
color on head,solid,amphisbaenidae
color on tail,solid,amphisbaenidae
body color pattern,rectangular center of each segment much darker than margin,amphisbaenidae
venter color,"paler than dorsum, mostly white",amphisbaenidae
pigment on ventral segments,dropping out,amphisbaenidae
juvenile color,purplish,amphisbaenidae
preanal pores,4,amphisbaenidae
body annuli,252-272,amphisbaenidae
tail annuli,23-29,amphisbaenidae
autotomy level,6-7,amphisbaenidae
segments to a midbody annulus,14-16/14-16,amphisbaenidae
frontals,"the longest scales on top of the head, characteristically elongate, tapering behind",amphisbaenidae
species size,medium,amphisbaenidae
maximum body length,284 mm,amphisbaenidae
head shape,"convex, narrow",amphisbaenidae
snout,"seen from the top rounded, from the side spatulate",amphisbaenidae
head sutures,"decreasing length: frontal, prefrontal, nasal",amphisbaenidae
parietals,very slightly enlarged,amphisbaenidae
upper labials,"three, the second very large",amphisbaenidae
ocular,irregularly trapezoid,amphisbaenidae
lateral sulci,conspicuous from about annulus 44 back,amphisbaenidae
segments,longer than wide,amphisbaenidae
anal flap,"with six scales, the lateral wider",amphisbaenidae
postanal rim,"prominant, forming a broad palisade with 15-16 narrow, irregular segments",amphisbaenidae
tail,"relatively long, slightly clavate in one specimen",amphisbaenidae
dorsal head color,smudged with dark brown,amphisbaenidae
body color,"brown, center of segments darker, segment edges lighter",amphisbaenidae
lateral sulcus color,lighter,amphisbaenidae
ventral belly color,light yellow,amphisbaenidae
tail color,"dorsally patterned as the body, ventrally more or less heavily smudged",amphisbaenidae
svl,242 mm,amphisbaenidae
tail,"19 mm, cylindrical, slightly tapering, rounded terminally",amphisbaenidae
caudal autotomy,uncommon,amphisbaenidae
body annuli,199-225,amphisbaenidae
caudal annuli,10-21,amphisbaenidae
dorsal segments/midbody annulus,16-18,amphisbaenidae
ventral segments/midbody annulus,22-24,amphisbaenidae
rows of postgenials,1-2,amphisbaenidae
row postmalar chin shields,1,amphisbaenidae
precloacal pores,4,amphisbaenidae
precloacal scales,6-7,amphisbaenidae
postcloacal scales,11-14,amphisbaenidae
nasal suture,short,amphisbaenidae
temporals,2,amphisbaenidae
dorsum color,"rusty brown, pale tan, to purplish",amphisbaenidae
ventral color,yellowish,amphisbaenidae
throat color,gray with brown spots,amphisbaenidae
"scattered, dark mottling",no adjective,amphisbaenidae
first body annulus,"small to medium-sized, bluntly rounded, very wide",amphisbaenidae
parietals,"large, pentagonal, in broad contact along midline",amphisbaenidae
supralabials,"large, two",amphisbaenidae
infralabials,"large, two and one very small",amphisbaenidae
body annuli,224-248,amphisbaenidae
caudal annuli,21-22,amphisbaenidae
autotomy constriction,falling on the sixth to seventh postcloacal annulus,amphisbaenidae
tail,"medium long, rounded, gradually reducing diameter",amphisbaenidae
precloacal pores,"four, large, suboval",amphisbaenidae
color,uniform dark brown with violet overtones,amphisbaenidae
sutures on head,pale,amphisbaenidae
snout,faintly prognathous,amphisbaenidae
dorsal shields,"enlarged, up to nuchal region, including dorsalmost segments of cephalic and caudal  surfaces",amphisbaenidae
species,"small, slender, elongate",amphisbaenidae
snout variant,149 mm,amphisbaenidae
head width,1.8-2.1 mm,amphisbaenidae
preanal pores,4,amphisbaenidae
body annuli,266-273,amphisbaenidae
tail annuli,40,amphisbaenidae
autotomy level,on annuli 12-16,amphisbaenidae
sulci,none,amphisbaenidae
midventral sulcus,weakly marked,amphisbaenidae
segments around midbody,35-37,amphisbaenidae
color,uniform white,amphisbaenidae
melanophore,dilute aggregations,amphisbaenidae
head shape,"elongate, acuminate",amphisbaenidae
snout,prominent,amphisbaenidae
longitudinal sulcus,"only one, midventral, lightly marked",amphisbaenidae
autotomy annulus,no external indication,amphisbaenidae
rostral,"little visible from above, extensively so from below",amphisbaenidae
anterior edge of frontals,straight or slightly arcuate,amphisbaenidae
nasal suture,on the anterior half of the nasal scale,amphisbaenidae
ocular,irregularly diamond-shaped,amphisbaenidae
second upper labials,very large,amphisbaenidae
symphysial,"elongate, wider in front, tapering and ending posteriorly in a narrow truncated tip",amphisbaenidae
post-symphysial,"diamond- to pear-shaped, wider behind",amphisbaenidae
second lower labial,irregularly pentagonal,amphisbaenidae
third lower labial,"small, with four unequal sides",amphisbaenidae
lateral genials,irregularly polygonal,amphisbaenidae
median genials,regularly to irregularly arranged,amphisbaenidae
post-genials,"one row, with five scales on each side, increasing laterally",amphisbaenidae
body annuli,"progressively the middorsal segments becoming larger, finally becoming lens- shaped",amphisbaenidae
tail annuli,"regular, the segments longer than those on the trunk, better aligned",amphisbaenidae
tip of tail,smooth,amphisbaenidae
color pattern,uniform off-white,amphisbaenidae
head shape,"pointed, elongate, markedly flattened, very wide",amphisbaenidae
snout,somewhat prognathous,amphisbaenidae
head coverage,covered dorsally by very regular shields,amphisbaenidae
first parietals,trapezoidal,amphisbaenidae
supra- and infralabials,three,amphisbaenidae
body annuli,183 to 187,amphisbaenidae
caudal annuli,7 to 8,amphisbaenidae
autotomy constriction,tail is broken in both specimens,amphisbaenidae
dorsal segments,12,amphisbaenidae
ventral segments,18 to 20,amphisbaenidae
precloacal pores in male,"four, well expressed, large, round",amphisbaenidae
precloacal pores in female,none,amphisbaenidae
sulci,"lateral, faintly apparent",amphisbaenidae
dorsal segments,not wider than long,amphisbaenidae
ventral segments,not wider than long,amphisbaenidae
dorsal color,even brown,amphisbaenidae
segmental surface color,the pigment covering the entire segmental surface and fading out laterally,amphisbaenidae
head shield fusion,no major fusion,amphisbaenidae
head,bluntly pointed,amphisbaenidae
prefrontals,the largest segments on the dorsal surface of the head,amphisbaenidae
mental,the largest segment on the ventral surface of the head,amphisbaenidae
swelling of the rostral tip,only slight,amphisbaenidae
bulging of the temporal muscles,considerable,amphisbaenidae
parietal segments,two enlarged pairs,amphisbaenidae
postocular region segments,general enlargements,amphisbaenidae
body annuli,177-191,amphisbaenidae
caudal annuli,15-19,amphisbaenidae
autotomy constriction,falls on the fourth to sixth (in one case on the seventh) postcloacal annulus,amphisbaenidae
dorsal segments to a midbody annulus,10 to 13,amphisbaenidae
median numbers of ventral segments to a midbody annulus,14-18,amphisbaenidae
precloacal pores,"four large, round",amphisbaenidae
tail,cylindrical and roundly capped distally,amphisbaenidae
lateral sulci,only apparent,amphisbaenidae
dorsal color,brown,amphisbaenidae
color contrast,faintly countershaded,amphisbaenidae
central rectangle of each segment,more darkly pigmented,amphisbaenidae
pigmented area below the lateral line,shrinks and ultimately disappears by segments,amphisbaenidae
head scales,lack of fusions,amphisbaenidae
caudal annuli,high number,amphisbaenidae
precloacals,more than six,amphisbaenidae
caudal autotomy,occasional,amphisbaenidae
coloration,"mottled, but faded",amphisbaenidae
head scales,not fused,amphisbaenidae
prefrontals,as broad or slightly broader anteriorly than posteriorly,amphisbaenidae
body annuli,correspond to three dorsal half-annuli,amphisbaenidae
genial,.81 times as broad as long,amphisbaenidae
rows of postgenials,three,amphisbaenidae
body annuli,213,amphisbaenidae
dorsal segments,sixteen,amphisbaenidae
ventral segments,24,amphisbaenidae
cloacal pores,four,amphisbaenidae
precloacal scales,eight,amphisbaenidae
postcloacals,13,amphisbaenidae
snout-vent length,200 mm,amphisbaenidae
tail,20 mm,amphisbaenidae
overall coloration,"tan, becoming darker and slightly mottled",amphisbaenidae
dorsal segments,slightly mottled,amphisbaenidae
ventralmost segment rows,without dark pigment spots,amphisbaenidae
species (snout to vent),"small, slender, elongate",amphisbaenidae
snout to vent,188 mm,amphisbaenidae
head width,2.1-3.1 mm,amphisbaenidae
preanal pores,6,amphisbaenidae
body annuli,255-263,amphisbaenidae
tail annuli,32-36,amphisbaenidae
autotomy level on tail,annulus 6,amphisbaenidae
lateral sulci,weakly marked,amphisbaenidae
segments around midbody above the lateral sulci,16,amphisbaenidae
segments around midbody below the lateral sulci,20-22,amphisbaenidae
dorsal segments of the trunk,dark brown with light sutures,amphisbaenidae
head,"strong convexity from the prefrontals to the tip of the snout, snout blunt but prominent",amphisbaenidae
rostral,not or scarcely visible from above,amphisbaenidae
pairs of scales on top of the head,three constant,amphisbaenidae
scales on the head,"one pair of parietals, squarish to pentagonal",amphisbaenidae
labials,four upper,amphisbaenidae
preanal pores,"6, round, large, on the posterior half of the respective segments",amphisbaenidae
anal flap,"semicircular, with 8 scales",amphisbaenidae
post-anal scales,"ca. 16, radially arranged, not in continuity with the anal flap",amphisbaenidae
tail annuli,"regular, segments elongate and narrow, both dorsally and ventrally",amphisbaenidae
dorsum,"reticulate, scales brown with light sutures",amphisbaenidae
belly,"creamy white, immaculate",amphisbaenidae
tail,18 mm,amphisbaenidae
tail shape,"conical, rounded terminally",amphisbaenidae
body annuli,186-219,amphisbaenidae
caudal annuli,10-15,amphisbaenidae
dorsal segments/midbody annulus,14-17,amphisbaenidae
ventral segments/midbody annulus,18-22,amphisbaenidae
rows of postgenials,3,amphisbaenidae
precoacal pores,4-6 (strongly modally 4),amphisbaenidae
nasal suture,rather long but less than one-half length of prefrontal suture,amphisbaenidae
temporal,1,amphisbaenidae
dorsum color,shades of brown,amphisbaenidae
head and tail color,dark violet,amphisbaenidae
body color,chocolate brown,amphisbaenidae
color on head and tail,solid,amphisbaenidae
segment centers color,much darker than margins,amphisbaenidae
dorsal color,darker dorsally than ventrally,amphisbaenidae
postrostral head shields,paired,amphisbaenidae
midventral segments of each annulus,as wide as long,amphisbaenidae
precloacal pores,"single pair, round",amphisbaenidae
body annuli,216-240,amphisbaenidae
caudal annuli,14-16,amphisbaenidae
autotomy constriction,at the fifth or sixth postcloacal annulus,amphisbaenidae
dorsal segments,13-15 (normally 14),amphisbaenidae
ventral segments,14-18,amphisbaenidae
pre-cloacal segments,6,amphisbaenidae
color dorsally,dark brown,amphisbaenidae
color ventrally,lighter,amphisbaenidae
posterior 15% of a segment,often light colored,amphisbaenidae
intersegmental raphes,light,amphisbaenidae
snout,rounded,amphisbaenidae
body,without nuchal constriction or posterior widening,amphisbaenidae
parietals,large,amphisbaenidae
body annuli,233-240,amphisbaenidae
caudal annuli,"26-27,last two poorly inscribed, and the terminal ones with the segments swollen",amphisbaenidae
autotomy constriction,at the sixth caudal annulus,amphisbaenidae
dorsal segments/midbody annulus,18-20,amphisbaenidae
ventral segments/midbody annulus,21-22,amphisbaenidae
precloacal row,12 small round pores,amphisbaenidae
dorsal color,brown,amphisbaenidae
ventral color,lighter,amphisbaenidae
head and neck color,light colored,amphisbaenidae
