species,39–48,47–63,adult size,alary process of vomer,anal,anal and subcaudals,anal plate,anal spurs,anterior dorsal cephalic scales,anterior dorsal scales rows,anterior edge of splenial,anterior portion of nasal bone,anterior scale rows,anterior teeth,apex of the coronoid,auge,black irregular marks,black or grey spotting,blotches,blotches color,blotches limning,blotches outline,blotches outlined,blotches shape,body,body blotches,body color,body pattern,body shape,body+head,"broad, flat, slanted, bevel-like, overhung snout",c,c. caninus,c. cropanii,c. hortulanus complex,canthus,caudals,central area of dorsal blotches,chin,chin and throat,chin shields,circumocular ring,circumorbitals,claws,cloacal scale,color,color and pattern,color in life,coloration,coloration in preservative,comparisons (crombiei),coronoid,dark brown markings,dark line on the middle of the head,diagnosis,diet,distal border of the optic foramen,dorsal background coloration,dorsal blotches,dorsal body bloches,dorsal body saddles,dorsal color,dorsal cross bars,dorsal ground color,dorsal head scutes,dorsal markings,dorsal pattern,dorsal pattern (western cuba),dorsal saddles,dorsal scale count,dorsal scale rows,dorsal scale rows at midbody,dorsal scale rows at neck,dorsal scale rows on neck,dorsal scales,dorsal scales (midbody),dorsal scales (vent),dorsal series,dorsals,dorsum color,enamel-white markings,eye,eye direction,eye scales,eye size,eyes,folds,forehead,forehead scales,forked sulcus,frontal,frontal plate,frontalia,gl,ground color,größere,gular scale rows,habitus,head,head and body coloration,head color,head pattern,head scale formula,head shape,head-scales,hemipenial lobes,hemipenis,hemipenis length,holotype,holotype (crombiei),infralabial scales,infralabials,infraloreals + loreals,intermaxillare,interrictals,inverted hemipenis,iris,irregular lateral ocelli,irregular shape,irregularly shaped blotches on tail,juvenile color,juvenile dorsal coloration,juvenile dorsal coloration (in alcohol),juveniles,keels on the 2nd row of dorsals,kleine,labial scales,labials,lamina,lateral blotches,lateral neck stripe,lateral ocelli,lateral process of surangular,lateral row of dark markings,lateral stripe,lateral stripe of the body,lateroventral ledge of the surangular,lip/eye diameter ratio,lobes,longitudinal stripes,loreal,loreal scale,loreal stripe,loreal stripes,lower labials,lower parts,lower ventral count,main element in the dorsal pattern at midbody,mainland specimens,maxillary teeth,maximum dorsal scale rows,maximum length of inverted hemipenis,maximum number of dorsal scale rows,maximum number of ventrals,maximum rows of dorsal scales,maximum scale rows,maximum svl,mean svl,melanistic ventral coloration,mental groove,meristic characters,mid-dorsal band,mid-dorsal longitudinal stripe,midbody dorsal scale rows,midbody scale rows,middorsal blotches on body,middorsal scale rows,milky white band,mineralized internarial septum,mitochondrial dna sequence differences,nasal contact,nasalia,nasals,neck,neck shape,nicht vom hals abgesetztem kopf,nostril,number of scales across snout,number of subcaudal,oberwie,original description (crombiei),outer scale-rows,overall coloration,ovoid blotches,palatinum,papillate rows,paravertebral blotches,parietal crest,parietalkamm,parietals,pattern,pelvic spurs,phylogenetic distinctiveness,post-oculars,postanal white spot,postanal white spot (crombiei),posterior of body and tail,posterior scale rows,posterior trunk intercostal arteries,posteriormost caudal blotches,postocular scales,postoculars,postorbital and frontal,postorbital stripes,prefrontal,preocular,preocular scale,primary spade-like element of the dorsal pattern,prœoculars,pterygoid-mittelkamm,pupil,pupil shape,pupille,red tail color,rostral,rows of scales,rows of scales at midbody,rows of scales at vent,scalation,scale formula,scale rows,scale rows on neck,scale size,scales,scales across the forehead,scales around eye,scales around the eye,scales between eyes,scales between the eyes,scales round the eye,schädel,schädel gerundet,schlangen,schnauzenschild,schuppen,shields,sides,single prefrontal,size,size comparison,smooth apex and basal portion,snout,snout-vent length,specimens with less than 50,spots,spurs,stripes,sub-caudal scale count,sub-caudals,subcaudal scale count,subcaudal scales,subcaudalia,subcaudals,subocular scales,subocular stripe,subocular stripes,subspecies (crombiei),substrate use,suffusions,sulcus,supralabial scales,supralabials,supralabials entering orbit,supraocular,supraoculars,svl,symphysial,tail,tail blotches,tail color,tail length,tail pattern,tail shape,tail tip,tail/total length ratio,temperament,temporal scales,temporals,throat and venter,tip of head,tip of tail,tl/t,total length,total length/maximum transverse diameter,transverse markings,tubercles,unpaired subcaudal scales,unterkiefers,upper labials,upper side of tail,v,venter,venter color,venter markings,ventral,ventral color,ventral scale count,ventral scale rows,ventral scales,ventral suffusion,ventrally,ventrals,ventrals (crombiei),ventrals + subcaudals,ventrals minus subcaudals,ventrolateral spots,vertebral blotches,vetral scales,vordere zähne,vorderenden des parietale,x,yellow-brown individuals,zahnreihe
Corallus hortulana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,less than 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spade-shaped,,,,,,,,,,,,,higher counts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corallus ruschenbergerii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extremely variable,,,,,,,,,,,,,,,,,,,,,,,,63-77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50 or more,,38-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94-115,,,,,,,,,,,,,1625 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250-272,,,,,,,,,,no discernible pattern,
Chilabothrus angulifer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42-65 appressed, angulate, dark brown to black markings on a yellowish to yellow-tan ground",without any dark colors,,,,53-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45-55 in males, 46-54 in females",,,,,,,,,separated from eye,,,,,,,,,,"patternless above, or with up to 12 darker dorsal markings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"272-292 in males, 268-290 in females",,"321-347 in males, 316-339 in females",,,,,,,,,
Epicrates cenchria,,,,laterally expanded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pale to yellow reddish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bifurcates at fifth and extends to the level of tenth subcaudal,,,,,,,,,,,,,,,,noncollapsed,much expanded latero-posteriorly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,generally . 45,,,,,,,,,,,,,,,1500 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,. 245,,,,,,,,,,,,,,
Chilabothrus chrysogaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-79 angulate,,,,,,,,extremely variable,,,,,,,33-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-2-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1310 mm,,,,,,,39-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"79-88 in males, 74-95 in females",,,,,,,,,,,,,,,,6-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"245-275 in males, 249-277 in females",,"320-363 in males, 327-372 in females",,,,,,,,,
Chilabothrus exsul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,some shade of brown to tan,,,,,,,,,,,,,,,,,,,,,,,,35-40,,28-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5-2-4,,,,,,,,,,,,,,,,,13-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810 mm,,,,,,,,,41-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72-75 in males, 69-72 in females",,,,,,,,,,,,,,,,,,,,,,,,,,paler than dorsum,,,,,,,,,,,,,,,,,,,,,,,"243-251 in males, 236-246 in females",,"316-326 in males, 305-317 in females",,"small, dark brown",,,,,,,
Chilabothrus fordii,,,,,,,,,,,,,,,,,,,,"pale milk-chocolate brown to medium brown or, primarily in young snakes, reddish",paler gray,black,,,,58-92 ovate or subcircular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,light gray to grayish tan,,,,,,,"28-35 on neck, 31-39 at midbody",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-1-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69-85 in males, 70-89 in females",,,,,,,,,,,,,,,,13-17,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,,,gray,,"231-261 in males, 236-259 in females",,"308-343 in males, 312-341 in females",,,,,,,,,
Chilabothrus gracilis,,,,,,,,,,,,,,,,,,,,,,,,,,"62-100 subcircular to ovate, darker brown",,,elongated and laterally compressed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tan to brown,,,,,,,,33-47,27-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-1-2,,,,,,adult male,,,,,,,,,,,,,,,,,,,,,,,,,variable,,,,,,,,,,,,,,,,,,,,,,,905 mm,,,,,,,,,,,,,,,,,,very slender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705 mm,,,,,,,,,,"91-111 in males, 90-102 in females",,,,,,scattered brown,,,,,,,,,,21-35,,356 mm,,,,,,,,,,,,,,,,100,,,,,,yellow-tan to brownish,,,,,,293,,,"271-304 in males, 271-296 in females",,"368-415 in males, 364-396 in females",,,,,,,,,
Chilabothrus inornatus,,,,,,,,,,,,,,,,,,,,,,,,,,,variable,variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38-42,,31-34,,,,,,,,,,,,,,,,,,,,,,,,,,,"virtually patternless, stippled brown or gray",,2-1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66-74 in males, 68-75 in females",,,,,,,,,,,,,,,,12-26,,,,,,,,,,,,,,,,,,,,,,,,"very dark brown to gray, heavily stippled or overlaid with dark brown",,,,,,,,,"263-273 in males, 258-267 in females",,"329-338 in males, 326-339 in females",,,,,,,,,
Chilabothrus monensis,,,,,,,,,,,,,,,,,,,"outlined in dark pigment, pale centrally",,,,,,,,,,,,,,,,,,,,,patternless,,,,,,,,,,,,,,,,,,,,,,,,,,,"47-73 angulate, dark chocolate-brown blotches",,,,,,,,,,,,,gray-brown,,,,,,,,,,,,,,,,,,,,,,obsolescent,3-1-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770 mm,,,,,,,,39-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,forming complete or almost complete rings around tail,,,,,,,,,,,,,,,,,,,,,,34-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80-81 in males, 82-84 in females",,,,,,,,,,,,,,,,10-23,,,,,,,,,,,,,,,,,,,,,,,immaculate to heavily spotted with dark brown,,,,,,,,,,"261-271 in males, 261-266 in females",,"345-347 in males, 345-348 in females",,,,,,,,,
Chilabothrus striatus,,,,,,,,,,,,,,,,,,,"gray, tan, or brown",,,,"dark brown to black on paler brown, gray, or red-brown ground","subcircular, ovate to angulate",,60-122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35-65,,34-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/5-1/2-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,"prominent, extending anterior third of body in some specimens, but weakly developed in others",,,,,,,,,,,,,,,,,,,,,,,,,,2330 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76-102 in males, 76-94 in females",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0-28 blotches, but may be solid dark brown to black",,"cream, gray, or brown",,"scattered to regular dark brown to dark gray markings forming longitudinal short lines, line segments, or rectangular blotches",,,,,,,,"270-299 in males, 266-298 in females",,"353-390 in males, 343-387 in females",,,,,,,,,
Chilabothrus subflavus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,greenish yellow,,,,,,,,,,,,,,,,"chilabothrus subflavus can be distinguished from other congeners by a greater ventral scale count, a large superior preocular scale that in contacts with the prefrontal, two pairs of parietal scales, and an iridescent black tail",,,,,,,,,"deep tan, pale reddish brown to olive",,,,,,,,41-47,,33-41,black or partly so,,,,,,,,,,,,,,,,,,,,,,,,olivaceous,,,,2-1-2,,,,,,,,,,,,,,,,,,,,,venter cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nearly completely black,,,,,,,"2 narrow, black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"orange anteriorly with occasional black spots, black spots becoming more numerous posteriorly, and posterior half of body and tail jet black",,,,,,,,,,277-283,,,,,,,,,,,
