trait,count
iris,2
irregular lateral ocelli,1
irregular shape,1
irregularly shaped blotches on tail,1
juvenile color,1
juvenile dorsal coloration,1
juvenile dorsal coloration (in alcohol),1
juveniles,1
keels on the 2nd row of dorsals,1
kleine,1
labial scales,1
labials,2
lamina,1
lateral blotches,2
lateral neck stripe,1
lateral ocelli,1
lateral process of surangular,1
lateral row of dark markings,1
lateral stripe,1
lateral stripe of the body,1
lateroventral ledge of the surangular,1
lip/eye diameter ratio,1
lobes,1
longitudinal stripes,2
loreal,3
loreal scale,2
loreal stripe,1
loreal stripes,1
lower labials,2
lower parts,2
lower ventral count,1
main element in the dorsal pattern at midbody,1
mainland specimens,1
maxillary teeth,1
maximum dorsal scale rows,1
maximum length of inverted hemipenis,1
maximum number of dorsal scale rows,3
maximum number of ventrals,1
maximum rows of dorsal scales,1
maximum scale rows,1
maximum svl,9
mean svl,1
melanistic ventral coloration,1
mental groove,1
meristic characters,1
mid-dorsal band,1
mid-dorsal longitudinal stripe,2
midbody dorsal scale rows,1
midbody scale rows,3
middorsal blotches on body,1
middorsal scale rows,1
milky white band,1
mineralized internarial septum,1
mitochondrial dna sequence differences,2
nasal contact,2
nasalia,1
nasals,3
neck,1
neck shape,1
nicht vom hals abgesetztem kopf,1
nostril,2
number of scales across snout,2
number of subcaudal,1
oberwie,1
original description (crombiei),1
outer scale-rows,1
overall coloration,1
ovoid blotches,1
palatinum,1
papillate rows,1
paravertebral blotches,1
parietal crest,2
parietalkamm,1
parietals,1
pattern,1
pelvic spurs,1
phylogenetic distinctiveness,1
post-oculars,1
postanal white spot,1
postanal white spot (crombiei),1
posterior of body and tail,1
posterior scale rows,1
posterior trunk intercostal arteries,1
posteriormost caudal blotches,1
postocular scales,1
postoculars,2
postorbital and frontal,1
postorbital stripes,1
prefrontal,2
preocular,3
preocular scale,1
primary spade-like element of the dorsal pattern,1
prœoculars,1
pterygoid-mittelkamm,1
pupil,4
pupil shape,1
pupille,1
red tail color,1
rostral,8
rows of scales,1
rows of scales at midbody,1
rows of scales at vent,1
scalation,1
scale formula,1
scale rows,1
scale rows on neck,1
scale size,1
scales,3
scales across the forehead,1
scales around eye,1
scales around the eye,1
scales between eyes,1
scales between the eyes,1
scales round the eye,1
schädel,1
schädel gerundet,1
schlangen,1
schnauzenschild,1
schuppen,1
shields,2
sides,1
single prefrontal,1
size,2
size comparison,1
smooth apex and basal portion,1
snout,3
snout-vent length,1
specimens with less than 50,1
spots,1
spurs,1
stripes,1
sub-caudal scale count,1
sub-caudals,1
subcaudal scale count,1
subcaudal scales,6
subcaudalia,1
subcaudals,19
subocular scales,1
subocular stripe,1
subocular stripes,1
subspecies (crombiei),1
substrate use,1
suffusions,1
sulcus,2
supralabial scales,1
supralabials,5
supralabials entering orbit,1
supraocular,1
supraoculars,3
svl,3
symphysial,1
tail,7
tail blotches,5
tail color,1
tail length,2
tail pattern,1
tail shape,2
tail tip,1
tail/total length ratio,1
temperament,1
temporal scales,1
temporals,1
throat and venter,1
tip of head,1
tip of tail,1
tl/t,1
total length,5
total length/maximum transverse diameter,1
transverse markings,1
tubercles,1
unpaired subcaudal scales,1
unterkiefers,1
upper labials,4
upper side of tail,1
v,1
venter,9
venter color,2
venter markings,1
ventral,1
ventral color,1
ventral scale count,2
ventral scale rows,3
ventral scales,8
ventral suffusion,1
ventrally,1
ventrals,20
ventrals (crombiei),1
ventrals + subcaudals,8
ventrals minus subcaudals,1
ventrolateral spots,1
vertebral blotches,1
vetral scales,1
vordere zähne,1
vorderenden des parietale,1
x,1
yellow-brown individuals,1
zahnreihe,1
