trait,count
femoral scute length,1
fifth vertebral,2
fifth vertebral shield,1
first and second marginal plates size,1
first four vertebrals,1
first marginal,1
first neural bone,3
first pair of costal bones,1
first pair of costals,1
first vertebral,1
first vertebral scute,2
fixed portion of plastron,1
flatter shell,1
foramen praepalatinum obscuration,1
fore limb scales,1
fore lobe,2
fore lobe length,1
fore lobe shape,4
fore toe webbing,1
fore-limb scutes,1
forearm claws,3
forearm scales,4
foreclaw size,1
foreclaws,1
forefeet,1
forefoot claws,1
forefoot scale size,1
forefoot scales,1
forehead shape,1
forehead shields,1
foreleg scalation,1
foreleg scales,2
forelimb lamellae,2
forelimb length,1
forelimb scale size,1
forelimb webbing,1
forelimbs,1
forelobe,3
forelobe size,2
former distribution,1
fossil species,1
four claws on each forefoot,1
four claws on each forelimb,1
four distinct ocelli,1
four or fewer nasal stripes,1
fourth and rest of marginal plates size,1
fourth cervical vertebra biconvex,1
fourth vertebra size,1
free dorsal ribs,1
front and rear marginals,1
front cavity shape,1
front feet size,1
frontal and prefrontal scales,1
frontal bone,1
frontal bone orbit border,1
frontal bones,3
frontal scale,1
frontal scales,1
frontal scutes,1
frontal-temporal seam,2
g - ig scute sulcus length,1
gap,1
"general size moderate, straight length in male 35.25 inches, female 22.5 inches",1
genetic distinctiveness,1
geographic variation,2
granulations on carapacial bones,1
greater parietal roof width,1
greater width of the anterior plastral lobe,1
greatly expanded anteriorly plastron,1
growth annuli,8
growth annuli and radiations,1
guanine (g),2
gular,1
gular area,1
gular callosities,1
gular function,1
gular length,2
gular notch,1
gular plate orientation,1
gular plate shape,1
gular plate size,1
gular projections,1
gular region,1
gular scute,2
gular scute length,2
gular scutes,3
gular scutes length,1
gular shape,1
gular shields,1
gular shields in contact in front of the intergular,1
gular size,1
gulars,14
gulars paired,1
gulars projection,1
habitat,3
habitat preference,1
hard palate shape,1
hatchling,2
hatchling central figure,1
hatchling characters,1
hatchling color,2
hatchling coloration,1
hatchling head and neck color,1
hatchling head and neck stripes,3
hatchling mass,1
hatchling ocellate pattern,2
hatchling plastron color,2
hatchling shell color,2
hatchling shell mottling,1
hatchling throat color,2
hatchling throat pattern,1
hatchling weight,1
hatchlings,2
head,6
head abnormalities,1
head and limb color,2
head and neck color,5
head and neck length,3
head and neck pattern,2
head and neck stripes,4
head and neck underside color,1
head background color,1
head casque,1
head color,40
head color (females and juveniles),1
head color (males),1
"head color (males, sre ambel river system, cambodia)",1
head color background,1
head color pattern,1
head coloration,3
head contrast,1
head features,3
head olive clay-coloured,1
head pattern,3
head physiognomy,1
head robusticity,1
head scalation,1
head scale size,1
head scales,2
head shape,35
head shape (profile),1
head shield,5
head shield blotches,1
head shield color,2
head shield extension,1
head shield furrowing,1
head shield shape,1
head shield size,1
head shield width,1
head size,36
head skin,3
head skin color,1
head spots,1
head stripes,2
head surface,1
head width,4
head width to head length ratio,1
head withdrawal,1
"head, neck, and limbs color",3
heel color,1
"height at nuchal notch less than 41% of straight length (male 34, female 27%)",1
heliostemma,1
hexagonal neurals,1
hind leg shape,1
hind limb coverage,1
hind lobe,7
hind lobe contains,1
hind lobe length,2
hind lobe of plastron,1
hind lobe shape,5
hind lobe size,3
hind lobe width,1
hind marginals,1
hind toe webbing,1
hinder pair of callosities size,1
hindfoot heel scale size,1
hinge,6
hinge appearance,1
hinge flexibility,1
hinge location,1
hinge on the plastral forelobe,1
holotype,1
horny plate,2
horny scutes,1
horny upper jaw sheath,1
humeral plate orientation,1
humeral plate shape,1
humeral plate size,1
humero-pectoral seam,4
humero-pectoral seam angle,2
humeropectoral seam,1
humerus and femur,1
hybridization,2
hybrids,1
hyo-hypoplastra shape,1
hyo-hypoplastra size,1
hyo-hypoplastral and xiphiplastral callosities,1
hyolaryngeal assemblage,1
hyoplastra,2
hypo- and xiphiplastra,1
hypo-hypoplastra,1
hypo-hypoplastral callosity contact,1
hypoplastral bones,1
ih sulci length,1
ilium contact,1
immaculate,1
incubation period,1
inferior parietal process,1
inframarginal scales,1
inframarginal scutes,1
inframarginals,1
infraorbital stripe,1
infraorbital stripe extension,1
infraorbital stripe shape,1
infraorbital stripe width,1
infraorbital stripes,1
inguinal,3
inguinal and axillary buttresses,1
inguinal and axillary scutes,1
inguinal buttress,2
inguinal buttress attachment,1
inguinal buttresses,2
inguinal extension,1
inguinal margin,1
inguinal musk glands present,1
inguinal plate size,1
inguinal plates,2
inguinal scute,6
inguinal scute length,1
inguinal scute presence,1
inguinal scute size,5
inguinal scutes,3
inguinal size,1
inguinals,5
inner edges of hinder pair of callosities,1
inter-gular scute narrower than gulars,1
inter-orbital band,1
interabdominal seam length,2
interanal plastral seam,1
interanal seam,2
interanal seam length,3
interfemoral scute seam,1
interfemoral scute seam width,1
intergular,2
"intergular at least twice, or more than twice the length of the pectoral suture",1
intergular length,4
intergular scale size,1
intergular scute,2
intergular scute length,4
intergular scute shape,1
intergular scute size,1
intergular scute width,1
intergular seam length,1
intergular shield,1
intergular size,2
interhumeral and interpectoral seams ratio,1
interhumeral seam length,2
interlateral seam,1
intermaxillary foramen length,1
interorbital distance,1
interorbital groove,1
interorbital line,1
interorbital space,2
interorbital width,1
interorbital width to head width ratio,1
interpectoral seam length,1
introgression,1
ip sulcus length,1
iris color,13
iris color (males),1
iris ring,1
iris ring color,1
isolated population,1
isolation,1
jaw and chin color,1
jaw color,2
jaw coloration,1
jaw cutting surfaces,1
jaw features,2
jaw serration,2
jaw shape,1
jaw sheaths,1
jaw streaks,1
jaw surfaces,1
jaws,1
jaws and throat of female black,1
jet black stellate spots,1
jugal,2
jugal orbit entry,1
juvenile carapace,3
juvenile carapace color,1
juvenile carapace pattern,1
juvenile color pattern,2
juvenile coloration,3
juvenile dark spots,1
juvenile dorsal keels,1
juvenile fenestra,1
juvenile head color,1
juvenile head spots,1
juvenile keel,1
juvenile keels,1
juvenile pattern,2
juvenile scute pattern,1
juvenile shape,1
juvenile shell pattern,1
juvenile tubercles,1
juvenile vertebral shape,1
juvenile/female plastron,1
keel,1
keel color,1
keel development,1
keel height,1
keel location,1
keel presence,5
keel shape,1
keeled carapace,1
keels,4
knob color,1
lack of horizontal line in the iris,1
laminae,1
large black blotches,1
largest female,1
last pair of costal bones,1
lateral band color,1
lateral border shape,1
lateral borders of the carapace,1
lateral caroticum foramen size,1
lateral edge of head shield,1
lateral fontanelles,2
lateral keel,1
lateral keel length,1
lateral keels,8
lateral marginal shape,1
lateral marginal upturn,1
lateral marginals,11
lateral pattern,1
lateral plastral margins,1
lateral streaks,1
lateral stripes,1
lateral sulcus position,1
laterally directed eyes,1
leaf camouflage,1
leg color,1
legs olive,1
length,2
length of medial barbels,1
"length over curve in male 112%, female 126%",1
length/height ratio,1
less than half the forelobe length,1
light inner ring,1
light seams,1
limb abnormalities,1
limb and tail color,1
limb color,12
limb scales,2
limb shape,1
limb undersides,1
limb webbing,1
"limb, tail, and neck color",1
limbs,2
limbs and tail color,1
lingual ridge expansion,1
lingual ridge prominence,1
lip color,1
living conditions,1
living species distribution,1
long neck,1
longest and broadest vertebral,1
longest median suture,1
longitudinal keels,1
loreal stripe,1
lower 2/3 to 3/4 of the pleurals,1
lower body color,1
lower end of jugal,1
lower jaw,1
lower jaw alveolar surface,1
lower jaw color,1
lower jaw margins,1
lower jaw symphysis,1
lower marginal scutes,1
lower triturating surface,1
m1 and m2 size,1
m1-m2 seam,1
m1/m2 sulcus,1
m2,1
m2 size,1
m3-m7,1
m6,1
m7,1
m8,1
male and female size,1
male carapace color,1
male characteristics,2
male coloration,1
male femoral scutes,1
"male flat-backed, female dome-shaped",1
male plastron,3
male plastron shape,3
male size,2
male tail,1
male tail length,2
males,1
mandible,4
mandible color,1
mandible symphysial ridge,1
mandible ventral width,1
mandibular diameter,1
mandibular symphysis,3
mandibular symphysis diameter,1
mandibular symphysis width,1
manning river species similarity,1
marbled pattern,1
marbled with darker brown or black,1
margin recurvature,1
marginal 10,2
marginal 10 shape,1
marginal areolae,1
marginal border,2
marginal color,3
marginal corners,1
marginal count,1
marginal plates,2
marginal ridge,1
marginal scute blotch,1
marginal scute color,2
marginal scute equality,1
marginal scutes,3
marginal serration,3
marginal serrations,1
marginal shape,6
marginal stripe,1
marginal stripes,1
marginal undersides,1
marginal width,1
marginals,20
marginals 10 and 11,2
marginals 10-11,1
mass,1
mature condition,1
mature male plastron,1
max. tl,1
maxilla,1
maxilla color,1
maxilla contribution to palate,1
maxillae,1
maxillaries,1
maxillary tomial edge,1
maxillary triturating surface,2
maximal size,1
maximum carapace length,2
maximum known length,1
maximum length,1
maximum plastron length,1
maximum shell length,1
maximum size,9
maximum straight carapacial length,3
maximum tl,1
maximum weight,1
medial carapacial keel,1
medial depression,1
medial groove,2
medial keel,31
medial keel length,2
medial keel shape,1
medial process,1
medial stripe,2
medial vertebral keel,1
median keel,2
mesoplastra,3
middle of the fourth and eleventh,1
middorsal keel,1
midline (vertebral) carapacial pattern,1
midline (vertebral) carapacial stripe,1
midline carapacial pattern,1
midline carapacial stripe,1
mitochondrial genes,1
moderately deep body-form,1
moderately depressed head,1
moderately large size,1
molecular diagnosis,1
mouth,1
mouth color (males),1
mouth size,1
mouth-tympanum stripe,1
movable hinge,1
namoi river species difference,1
nasal stripes,1
nasal trident,1
naso-orbital triangular “figure”,2
neck,2
neck and limb undersides,1
neck barbels,3
neck color,7
neck dorsum,1
neck dorsum texture,1
neck features,1
neck length,4
neck morphology,1
neck scales,1
neck shape,1
neck skin,1
neck spotting,1
neck stripes,2
neck tubercles,1
neck with a wide yellow lateral band,1
"neck, limbs, and tail color",2
neural,3
neural 8,1
neural bone,3
neural bones,18
neural bones shape,1
neural characteristics,1
neural length,2
neural number,1
neural scute,1
neural shape,1
neurals,22
neurals 6 and 7,1
nictitating membrane,1
no scutes,1
nominate race,1
normal shell length,1
nose shape,1
nostril location,1
nostril shape,1
notch above the tail,1
nuchal,10
nuchal bone,5
nuchal scute,4
nuchal scute shape,1
nuchal shape,1
nuchal shield,2
nuclear genes,1
number of barbels,1
number of facial scales,1
number of keels,1
number of marginals,2
number of neural bones,1
number of neurals,1
number of pleurals,2
number of prefrontal scales,1
number of prefrontals,1
number of species,1
number of stripes,1
number of supracaudals,1
ocellar pattern,1
ocelli,4
ocelli (adult),1
ocelli color,1
olive to deep olive-green,1
opisthocoelous,1
opisthotic bones,1
opposed patches of horny scales,1
orbit size,1
orbit-tympanum stripe,1
orbital border,1
orbital stripe,1
orbital stripes,1
orbito-nasal foramen,2
orbito-nasal foramen location,1
oval,1
oval carapace,2
"oval, domed, unflared adult carapace",1
"oval, uniformly olive-gray, flattened adult carapace",1
overall color,2
overall coloration,1
paired barbels,3
paired gulars,1
palate and tongue color,1
palate color,2
palate shape,1
palate size,1
palatines,1
pale and greyish colouration,1
pale streak,1
pantropical distribution,1
paramedian neck stripes,2
parietal,1
parietal arch,1
parietal arch width,1
parietal crest,1
parietal roof width,1
parietals,2
parieto-squamosal arch,1
parieto-squamosal arches,1
pattern,1
pattern intensity,1
patternless carapace,1
pecl length,1
pectoral and abdominal scutes,1
pectoral midseam length,1
"pectoral plates much reduced, not meeting on mid-line",1
pectoral scute,2
pectoral scutes,9
pectoral-abdominal seam,1
pectorals,1
pelomedusa schweinfurthi,1
pelomedusa somalica,1
pelomedusa species,1
pelvis bone structure,1
penis length,1
penis shape,1
peri-orbital x pattern,2
peripheral 11,2
peripheral 11 (apalachicolae),1
peripheral bones,1
peripheral bones along the posterior rim,1
peripheral scutes,1
peripheral size,1
peripherals,2
plastral anterior lobe,2
plastral buttresses,3
plastral callosities,4
plastral callosity development,1
plastral color,1
plastral concavity,2
plastral figure,1
plastral figure size,1
plastral forelobe,1
plastral forelobe length,1
plastral forelobe width,1
plastral formula,72
plastral hind lobe,1
plastral hind lobe constriction,1
plastral hind lobe length,1
plastral hind lobe width,1
plastral hinge,3
plastral hinges,1
plastral lobes,1
plastral pattern,3
plastral posterior lobe,1
plastral scute blotches,1
plastral scute formula,2
plastral seam formula,1
plastral sulcus formula,1
plastral whorls,1
plastron,41
plastron and bridge color,21
plastron anterior lobe,3
plastron anterior lobe length,1
plastron attachment,1
plastron blotches,1
plastron bridges,2
plastron buttresses,2
plastron callosities,4
plastron color,70
plastron coloration,1
plastron connection to carapace,1
plastron coverage,2
plastron development,9
plastron emargination,1
plastron features,2
plastron formula,7
plastron hind lobe,1
plastron hind lobe shape,1
plastron hinge,2
plastron length,22
plastron lobe extent,1
plastron markings,1
plastron mobility,1
plastron movability,1
plastron notch,3
plastron notching,2
plastron opening,1
plastron pattern,5
plastron posterior lobe,2
plastron posterior lobe length,1
plastron posterior notch,1
plastron shape,38
plastron size,21
plastron spot,1
plastron spots,1
plastron suturation,2
plastron suture,1
plastron suturing,1
plastron type,1
plastron width,3
plastron yellowish white,1
"plastron, bridge, and undersides of the marginals color",2
"plastron, bridges, and undersides of the marginals color",1
pleu1l length,1
pleural 4 size,1
pleural areolae,1
pleural color,1
pleural scute #1 (p1) – vertebral scute #1 (v1) sulcus,1
pleural scute set 1,2
pleural scute set 1 (apalachicolae),1
pleural scutes,1
pleuralia,1
pleurals,3
"pointed, projecting corner",1
populations,1
post-orbital mark connection,1
post-orbital mark shape,1
postanal scutes,1
posterior anal notch,2
posterior border,1
posterior border of fused hyo-hypoplastra,1
posterior border of the anals,1
posterior bridge strut,2
posterior bridge strut articulation,1
posterior carapace,2
posterior carapace depression,1
posterior carapace margin,2
posterior carapacial marginals,1
posterior carapacial profile,1
posterior carapacial rim,1
posterior costals meet along the midline,1
posterior dorsal head skin,1
posterior extension of head shield,1
posterior head shield shape,1
posterior head skin,1
posterior hinge,2
posterior lobe,2
posterior lobe shape,4
posterior margin,2
posterior margin elevation,1
posterior margin of carapace,2
posterior margin of squamosal-opisthotic contact,1
posterior marginal border,1
posterior marginal features,1
posterior marginal flaring,3
posterior marginal rim,2
posterior marginal scutes,2
posterior marginal serration,2
posterior marginal shape,2
posterior marginal smoothness,1
posterior marginals,20
posterior medial keels,1
posterior nares size,1
posterior neck “v” divergence point,1
posterior neural bones,1
posterior notch,4
posterior notch shape,1
posterior plastral lobe,2
posterior plastral lobe size,1
posterior plastral notch,2
posterior portion,1
posterior portion of carapace,1
posterior portion of first four vertebral scutes,1
posterior projection,1
posterior projection of the squamosal,2
posterior projection of the squamosal (apalachicolae),1
posterior projections,2
posterior rim,4
posterior rim shape,1
posterior serration,1
posterior serrations,1
posterior slope,1
posterior-center blotch,1
posteriormost marginals,1
postero-dorsal rim of the tympanum,1
posteromedial process,1
postlagenar hiatus,2
postocular scale,1
postocular scales,1
postorbital bar,1
postorbital blotches,1
postorbital bone,1
postorbital stripe,1
ppll length,1
"pre-, sub- and postocular stripes",1
preamaxillae,1
precentral scute,1
prefrontal,1
prefrontal bones,1
prefrontal scale,1
prefrontal scale size,1
prefrontal scales,2
prefrontal-vomer contact,1
prefrontals,1
premaxillae,1
preneural,1
preneural and neural bone,1
preneural and neural bones,1
preneural bone,3
prenuchal,2
prenuchal bone,2
preplastra,9
preplastra shape,1
preplastra size,1
presence of disrupted keel,1
presence of elongated cervical,1
presence of reverted supracaudal scute,1
proboscis length,2
processus trochlearis oticum,2
prootic bone exposure,1
proportion,1
protuberances,1
proximal suture of strut,1
pterygoid and palatine bones,1
pupil color,1
pygal,2
pygal (apalachicolae),1
quadrate,1
quadrate bone enclosure of stapes,1
quadratojugal,1
quadratojugal and maxilla,1
radiating costal stripes,2
ragged rays,1
ray pattern,1
recognition,2
red-brown blotch,1
reddish white,1
reference alignment,2
reference alignment length,1
reproductive isolation,1
reticulations,1
rib tips,1
ribs one and ten,1
rigid abdominal scute length,1
ring-shaped skin around eyes,1
rlatk value,1
roastral shield,1
rostral scale,1
rostral scale shape,1
rostral shield,1
rostral shield shape,1
rough patch of scales,1
row of inframarginals,1
scl,2
sclera color,4
scute border,1
scute coloration,1
scute growth lines,1
scute imbrication,1
scute markings,1
scute overlap,1
scute surface,1
scutes,3
seam between anal scutes,1
seam between vertebrals 3 and 4,1
seam borders,1
seam length,2
second vertebral shield,1
second yellow stripe,1
senescent male carapace shape,1
senescent male vertebral keel,1
separate species,1
serrated margin persistence,1
sexes,1
sexual dichromatism,1
sexual dimorphism,8
shallow anal notch,1
shell abnormalities,1
shell bones,1
shell color,5
shell curvature,1
shell depression,1
shell depth,1
shell elevation,1
shell elongation,1
shell height,2
shell length,1
shell morphology and development,1
shell outline,1
shell posterior border,1
shell shape,11
shell thickness,1
shell width,1
shield color,1
shortest and narrowest vertebral,1
sides,1
single small axillary and one or two larger inguinal scutes,1
size,17
skin,1
skin color,3
skin flaps,1
skull,6
skull anterior,1
skull elongation,1
skull features,2
skull length,1
skull narrowing,1
skull robustness,1
skull shape,7
skull size,6
skull temporal arch,1
skull width,1
small,2
small adult size,1
small to medium-sized,1
smaller flat tubercles,1
smooth,1
smoothshelled,1
snout length,7
snout orientation,1
snout shape,50
snout spot,1
snout stripes,1
soft part color,1
soft parts,5
soft parts color,4
"solid, hingeless, cream-colored plastron",1
space between plastron and carapace,1
spine at the posterior margin of each pleural scute,1
spinelike posterior projection,1
spinelike projection,1
splenial bone,2
spot location,1
spots,2
spots (adult),1
spots on carapace,3
squamosal,2
squamosal bones,1
sternal callosities,1
sternum and under side of margin,1
sternum shape,1
sternum size,1
straight,1
straight carapacial length,1
straw yellow,1
streaks,1
stripes or light spots,1
strongly convex carapace,1
subadults and adults,1
subgenus chelodina,1
submarginal scutes,2
subocular stripe,1
subsidiary tubercles,1
subspecies,3
supporting information,1
supraangular process presence,1
supracaudal,9
supracaudal marginals,1
supracaudal plates,1
supracaudal scute,3
supracaudals,2
supralabial scale,1
supraoccipital,1
supraocular stripe,2
supraorbital stripe,1
suprapygal,1
suprapygal bone,1
suprapygal bones,1
supratemporal stripes,1
supratympanic scale,1
suture color,1
suture lines may disappear with age,1
suture with pleural 1,1
sutures,1
sympatric,1
symphysial ridge,2
symphysis ridge,1
tail,3
tail color,4
tail color pattern,1
tail features,1
tail length,9
tail marginals,1
tail shape,4
tail shape (female),1
tail spine,2
tail spur,1
temple spot,1
temporal arch,2
temporal head scale,3
temporal head scales,1
temporal region,1
temporal region color,1
temporal scale,4
temporal scales,3
temporal scutes,1
temporal stripe,2
ten hatchlings,1
tenth marginal,1
tenth marginal scute,1
terminal spine,2
thick shell,1
thigh and crus scales,1
thinness of the scutes,1
third marginal plate size,1
third vertebral shield,1
throat and sides of neck,1
throat color,1
throat color pattern,1
throat dark grey,1
throat pattern,1
thymine (t),2
tibial scales,1
tl,3
toe webbing,1
toes,1
toes webbing,1
tongue color,2
toothlike projection presence,1
top scutes,1
tortoise-shell pattern,1
transverse hinge,1
transverse processes of cervical vertebrae,2
trident marking,1
triturating surface,5
triturating surface of the maxilla,1
triturating surface ridges,1
triturating surface shape,1
triturating surfaces,2
triturating surfaces of the jaws,1
tubercles,8
tubercles (adult),1
tubercles on carapace,1
twelve pairs of marginals,1
two pairs of chin barbels,1
two small white barbels,1
two suprapygals,1
tympanic color,1
tympanic region color,1
tympanic ring,1
tympanic width,1
tympanum color,1
type locality,1
underside of neck color,1
underside of the leathery margin,1
undersides of chin and neck color,1
undersides of the marginals,1
unequal tubercular scales,1
uniform dirty yellow,1
unkeeled,1
unserrated,1
upper and lower jaws,1
upper eyelid scales,1
upper jaw,6
upper jaw color,2
upper jaw cusps,1
upper jaw medial notch,1
upper jaw profile,1
upper jaw shape,28
upper mandible color,1
upper shell color,1
upper shell reticulations,1
upper surfaces of the marginals,1
v1 scute,1
v1-c1 scute seams,1
v1-p1 sulcus,1
v2 shape,1
