family,trait,count
viperidae,lateral edge of nasal,1
viperidae,frontal bones,3
viperidae,postfrontal,3
viperidae,posterolateral edges of dorsal surface of parietals,1
viperidae,junction between parietal and prootic,1
viperidae,squamosal,1
viperidae,dorsal surface of parietal,2
viperidae,palatine teeth,8
viperidae,pterygoid teeth,6
viperidae,dentary teeth,5
viperidae,maxillary fang,3
viperidae,fang at rest,1
viperidae,head size,1
viperidae,canthal ridge,3
viperidae,scales across the top of the head,2
viperidae,scales in the frontal region between supraoculars,1
viperidae,prefoveals,11
viperidae,subfoveals,6
viperidae,middorsal scale rows,3
viperidae,cloacal scute,2
viperidae,anterior frontals,1
viperidae,superciliaries,1
viperidae,dorsal rows,5
viperidae,dorsal lozenges,1
viperidae,above color,1
viperidae,subhexagonal patches,1
viperidae,rhomboids,1
viperidae,lateral rows of scales,1
viperidae,intersuperciliary scales,1
viperidae,beneath color,1
viperidae,tail blotches,2
viperidae,postcanthal,1
viperidae,preocular,5
viperidae,first infralabials,1
viperidae,punctations on the dorsal ground color,1
viperidae,ground color,14
viperidae,blotches and spotting,1
viperidae,proximal rattle segment,1
viperidae,posterior body crossbands,1
viperidae,lacunal(s),1
viperidae,scale rows,4
viperidae,loreals,7
viperidae,postfoveals,4
viperidae,rattle,10
viperidae,snakes of the genus crotalus,1
viperidae,position of the facial pit,1
viperidae,dorsal head plates,1
viperidae,crotalus lepidus,1
viperidae,bands on the tail,1
viperidae,the bands,1
viperidae,small spots or irregular gray mottling,1
viperidae,pinkish brown stripe,1
viperidae,dorsal body scales,3
viperidae,dorsal body scales rows,1
viperidae,scales in the internasal-prefrontal area,1
viperidae,prenasal,1
viperidae,postnasal,1
viperidae,postoculars,19
viperidae,suboculars,5
viperidae,hemipenis,19
viperidae,sulcus spermaticus,2
viperidae,spines per lobe,1
viperidae,fringes per lobe,1
viperidae,males,4
viperidae,females,2
viperidae,adult males,1
viperidae,dark gray or brown stripe,1
viperidae,mottled dorsal body pattern,1
viperidae,dorsal series of spots,1
viperidae,ventrals and caudals,1
viperidae,upper preocular,6
viperidae,dorsal spots,4
viperidae,lateral spots,2
viperidae,proximal rattle,1
viperidae,head length,3
viperidae,dorsal body scale rows,1
viperidae,tail scale rows,1
viperidae,fringe scales around first rattle,1
viperidae,anterior subocular,2
viperidae,pair of infralabials,1
viperidae,genials,3
viperidae,five gulars,1
viperidae,one row of lateral spots,1
viperidae,proximate rattle,1
viperidae,muzzle,1
viperidae,scales between superciliaries,1
viperidae,frontal plates,1
viperidae,inter superciliary,1
viperidae,scales between the labials and suborbital row,1
viperidae,dorsal rows of scales,1
viperidae,general color,2
viperidae,a series of chestnut-brown transverse lozenges,1
viperidae,centres of lozenges,1
viperidae,anterior nasal,2
viperidae,scales on top of head,2
viperidae,suborbitals,1
viperidae,along the back,1
viperidae,scales exterior to the lozenges,1
viperidae,superciliaries and scales anterior to them,1
viperidae,individual scale,1
viperidae,scale rows between supraoculars,1
viperidae,large plates between the anterior portion of the supraoculars,1
viperidae,smaller plates behind anterior portion of supraoculars,1
viperidae,a definite suture on top of the head,1
viperidae,number of scales in front of the suture,1
viperidae,postnasals,1
viperidae,upper loreal,1
viperidae,postocular pale stripe,1
viperidae,dorsal body blotches,7
viperidae,dark tail bands,1
viperidae,color of the dark tail bands,1
viperidae,"pale, unicolored scales",1
viperidae,distal dark tail bands,2
viperidae,color of the proximal lobe of rattle matrix,1
viperidae,upper part of proximal lobe of rattle matrix,1
viperidae,crotalus,1
viperidae,first pair of lower labials,1
viperidae,length of body,1
viperidae,supra labials,2
viperidae,inferior labials,1
viperidae,dorsal region,1
viperidae,supraocular,7
viperidae,occiput,2
viperidae,prominent white flashmarks on the head,1
viperidae,dorsal scale count at midbody,1
viperidae,number of subcaudals,4
viperidae,abundance of melanophore fine-stippling on the surfaces of the head,1
viperidae,head and neck distinction,1
viperidae,eye pupil,1
viperidae,circumocular scales,2
viperidae,rows of scales separating the circumocular scales from the upper labials,1
viperidae,longitudinal rows of scales at midbody,2
viperidae,spots or blotches color,1
viperidae,longitudinal stripe,1
viperidae,vertebral and lateral series,1
viperidae,underbelly color,1
viperidae,underbelly markings,1
viperidae,upper head-shields,1
viperidae,frontal,1
viperidae,upper præocular,1
viperidae,postocular and subocular,1
viperidae,lower temporals,1
viperidae,markings,2
viperidae,streak,1
viperidae,below,1
viperidae,spots,1
viperidae,lateral series of blotches,1
viperidae,scale counts,1
viperidae,scales over eyes,1
viperidae,light wavy stripes on the sides,1
viperidae,white stripes on the back,1
viperidae,crosslike figure on top,1
viperidae,costals at midbody,1
viperidae,v,3
viperidae,sc,18
viperidae,circum-orbital scales,1
viperidae,scales separating supraoculars,1
viperidae,scales between eye and labial,1
viperidae,scales between nasal and eye,1
viperidae,numerous dark brown cross spots on the back,1
viperidae,one to three rows of smaller dark brown spots on body sides,1
viperidae,the light wavy line above the smaller dark brown spots,1
viperidae,pholidosis (scale arrangement),1
viperidae,gular scales under the head,1
viperidae,scales around the nostrils,1
viperidae,dark grey blotches on the head,1
viperidae,dark grey blotches on the back,1
viperidae,dark grey blotches on the flanks,1
viperidae,rostro-nasal shield,1
viperidae,body scales,8
viperidae,scale keels,2
viperidae,sub-caudals,1
viperidae,apical pits,3
viperidae,dark transverse bands,4
viperidae,pre-and postoculars,1
viperidae,ventral scales (v+prev),1
viperidae,light bands around the body,1
viperidae,light bands around the body and the tail,1
viperidae,body dorsal surface color,1
viperidae,prefrontals,4
viperidae,canthal shield,1
viperidae,inferior temporals,1
viperidae,v. males,1
viperidae,gemales,1
viperidae,c. males,1
viperidae,tip of hemipenis,1
viperidae,remainder of hemipenis,1
viperidae,spines on hemipenis,1
viperidae,sulcus lips,1
viperidae,color (above),1
viperidae,"spots, wavy cross-bars",1
viperidae,interspaces between the cross-bars,1
viperidae,temporal stripe,1
viperidae,upper lip color,1
viperidae,below color,1
viperidae,total length (qianshanensis),1
viperidae,three palatine teeth,1
viperidae,postorbital stripe width,1
viperidae,mid-body dorsal scales (qianshanensis),1
viperidae,ventral scales (qianshanensis),1
viperidae,subcaudals (qianshanensis),1
viperidae,dorsum color (qianshanensis),1
viperidae,dorsum pattern (qianshanensis),1
viperidae,postorbital stripe color (qianshanensis),1
viperidae,postorbital stripe width (qianshanensis),1
viperidae,stripes over dorsal scales (qianshanensis),1
viperidae,dorsum of the head,2
viperidae,head of l. muta,1
viperidae,dorsal blotches in lachesis muta,1
viperidae,parietals,6
viperidae,distal subcaudals,2
viperidae,distal subcaudal scales,1
viperidae,ventral scales in females,10
viperidae,ventral scales in males,7
viperidae,viper,3
viperidae,length,3
viperidae,scales on the sides of snout and head,1
viperidae,nasal plate,1
viperidae,pit on the nasal plate,1
viperidae,top of the head,1
viperidae,subocular scales,1
viperidae,rows of dorsal scales,2
viperidae,ventral plates,2
viperidae,anal scute,2
viperidae,subcordals,1
viperidae,overall coloration,9
viperidae,marbled colors,1
viperidae,body spots,1
viperidae,head side,1
viperidae,subcaudals male,1
viperidae,subcaudals female,1
viperidae,maximum length,2
viperidae,relative tail length in male,1
viperidae,relative tail length in female,1
viperidae,dorsal scale rows,10
viperidae,microornamentation,1
viperidae,vomerine process of premaxilla,1
viperidae,skull ectopterygoid,1
viperidae,postorbital bone,2
viperidae,splenial,2
viperidae,scales on head,2
viperidae,intemasals,1
viperidae,interocunasals,2
viperidae,scale,1
viperidae,scales forming inner edge of pit,1
viperidae,rows between pit and eye,1
viperidae,"""horn""",1
viperidae,rows of scales between horns,1
viperidae,supralabials and infralabials,4
viperidae,one pair of chinshields,1
viperidae,general ground color,1
viperidae,blotches,2
viperidae,upper surface of head,2
viperidae,dorsal surface of tail,1
viperidae,ventral and caudal counts,1
viperidae,tails,2
viperidae,scale above eye,1
viperidae,supralabial,3
viperidae,distance from the mouth,1
viperidae,upper head scales,3
viperidae,upper body color,1
viperidae,lower body color,1
viperidae,stripe behind the eye,1
viperidae,tail length,9
viperidae,ventrals in paratype,1
viperidae,subcaudals in paratype,1
viperidae,first upper labial,7
viperidae,longitudinal rows at midbody,2
viperidae,ventrals and subcaudals in different areas,1
viperidae,total length (males),4
viperidae,total length (females),3
viperidae,tail length (males),2
viperidae,tail length (females),2
viperidae,third supralabial,5
viperidae,sharp raised angle,1
viperidae,upper head-scales,3
viperidae,number of scales between supraoculars,1
viperidae,temporal scales,10
viperidae,ventral,3
viperidae,cross-bands,2
viperidae,surface of head,1
viperidae,sides of head,2
viperidae,temple,1
viperidae,lower parts color,1
viperidae,blackish blotches,1
viperidae,fourth supralabial,2
viperidae,ventral count,2
viperidae,dark dorsal blotches,2
viperidae,blotch outline color,1
viperidae,vertebral line color,1
viperidae,head mark,1
viperidae,side of head color,2
viperidae,side of head line color,1
viperidae,chin color,1
viperidae,scale rows at midbody,4
viperidae,ventral in males,1
viperidae,ventral in females,1
viperidae,interna• sals characteristic,1
viperidae,intercanthals,5
viperidae,postcanthals,1
viperidae,interictals,2
viperidae,oculabials,1
viperidae,the loreal,1
viperidae,hemipenis features,1
viperidae,other anatomical features,1
viperidae,canthal,1
viperidae,scale rows at vent,1
viperidae,thermosensitive pit,1
viperidae,p. ophryomegas,1
viperidae,supraocular scale,2
viperidae,scales row between chinshields and first preventral,1
viperidae,p. ophryomegas tail,1
viperidae,dorsal surfaces,2
viperidae,superciliary scales,2
viperidae,dorsal scale rows at midbody,12
viperidae,canthals on each side,1
viperidae,tip of snout,1
viperidae,lower preoculars,1
viperidae,scutes on top of head,1
viperidae,bands on body,1
viperidae,supraocular shields,1
viperidae,intrapulmonary bronchus,1
viperidae,supraocular shield,1
viperidae,circumorbital scales,1
viperidae,scales between supraoculars,5
viperidae,outermost row,1
viperidae,ventral smooth,1
viperidae,"organ, below bifurcation",1
viperidae,basal half,1
viperidae,distal half,1
viperidae,tip of organ,1
viperidae,sulci,1
viperidae,terminal awn at tip of organ,1
viperidae,snout length,1
viperidae,head above,1
viperidae,first labial,1
viperidae,small scales,2
viperidae,ventral scales - males,1
viperidae,ventral scales - females,1
viperidae,subcaudals - males,1
viperidae,subcaudals - females,1
viperidae,total length - males,1
viperidae,total length - females,1
viperidae,tail length - males,1
viperidae,tail length - females,1
viperidae,scales at midbody,4
viperidae,canthus rostralis,10
viperidae,upper labial,1
viperidae,second upper labial,4
viperidae,spots on sides,1
viperidae,vertebral spot,1
viperidae,lower parts,1
viperidae,scales on upper surface of head,1
viperidae,scales on line between upper preocular and nasal,1
viperidae,small scales between upper labials and subocular,1
viperidae,rows of temporal scales above upper labials,1
viperidae,rows of temporal scales,1
viperidae,dorsal series of large brown spots or blotches,1
viperidae,lateral series of smaller spots,1
viperidae,snout to vent length (svl),3
viperidae,anterior dorsal scale rows (dsr),2
viperidae,mid body scale rows (msr),2
viperidae,posterior scale rows (psr),3
viperidae,dorsal surface of the head,5
viperidae,subocular,5
viperidae,nasal scale,5
viperidae,anal scale,6
viperidae,subcaudals scales,5
viperidae,terminal scale on the tail,4
viperidae,preocular/temporal stripe,1
viperidae,post ocular stripe,1
viperidae,ventrals color,2
viperidae,nape markings,1
viperidae,scale-covered horn-like projections,1
viperidae,scale-covered tubercle,1
viperidae,tip of tail,1
viperidae,greatest body diameter,1
viperidae,diameter of neck,1
viperidae,greatest width of head,1
viperidae,pupil of eye,1
viperidae,keels on body scales,1
viperidae,diameter of the eye,1
viperidae,scales on top of the head,1
viperidae,erect horn-like scale above the eye,1
viperidae,scales between the horns,1
viperidae,scales round the eye,1
viperidae,a pair of large anterior genials,1
viperidae,snout-vent length,1
viperidae,crown shields,3
viperidae,supralabial number,1
viperidae,animal size,1
viperidae,dark dorsal body blotches,1
viperidae,rows of dark spots on sides,1
viperidae,vertebral stripe,2
viperidae,individuals,1
viperidae,bar from eye,1
viperidae,stripes on the back of the head,1
viperidae,scale rows near the vent,1
viperidae,side of the head,2
viperidae,males ventrals,2
viperidae,males subcaudals,1
viperidae,males dark tail bands,1
viperidae,males tls,1
viperidae,females ventrals,2
viperidae,females subcaudals,1
viperidae,females dark tail bands,1
viperidae,females tls,1
viperidae,color (miliarius),1
viperidae,head pattern (miliarius),1
viperidae,lateral spots (miliarius),1
viperidae,anterior and midbody scale rows (miliarius),1
viperidae,ventral spots (miliarius),1
viperidae,coloration (barbouri),1
viperidae,head pattern (barbouri),1
viperidae,rows of dark blotches on each side of the main series (barbouri),1
viperidae,ventral surface (barbouri),2
viperidae,number of ventrals (barbouri),1
viperidae,scale row formula (barbouri),1
viperidae,total length (barbouri),1
viperidae,length of tail (barbouri),1
viperidae,top of head (barbouri),2
viperidae,shields on the top of the head (barbouri),1
viperidae,rostral (barbouri),1
viperidae,preoculars (barbouri),1
viperidae,loreal (barbouri),1
viperidae,subocular on each side (barbouri),1
viperidae,supralabials (barbouri),1
viperidae,infralabials (barbouri),1
viperidae,temporals (barbouri),1
viperidae,chin shields (barbouri),1
viperidae,ventral scute (barbouri),1
viperidae,caudals (barbouri),1
viperidae,anal plate (barbouri),1
viperidae,dorsal ground color (barbouri),1
viperidae,labials (barbouri),1
viperidae,stripe from the eye to the back of the head (barbouri),1
viperidae,mid-dorsal series of blotches from neck to base of tail (barbouri),1
viperidae,anterior scale rows (streckeri),1
viperidae,pattern (streckeri),1
viperidae,ventral surface (streckeri),2
viperidae,average number of ventrals (streckeri),1
viperidae,crown (streckeri),1
viperidae,rostral (streckeri),1
viperidae,anterior subocular (streckeri),1
viperidae,postoculars (streckeri),1
viperidae,supralabials (streckeri),1
viperidae,infralabials (streckeri),1
viperidae,temporals (streckeri),1
viperidae,ventral scutes (streckeri),1
viperidae,subcaudal scales (streckeri),1
viperidae,total length (streckeri),1
viperidae,length of tail (streckeri),1
viperidae,dorsal pattern (streckeri),1
viperidae,cheek stripe (streckeri),1
viperidae,body pattern (streckeri),1
viperidae,total prefoveals,3
viperidae,dorsoventral width of proximal rattle segment,1
viperidae,tail bands,4
viperidae,parietal scales,3
viperidae,tail bands in males,2
viperidae,tail bands in females,2
viperidae,dorsal scales usually at midbody,1
viperidae,ventrolateral stripe,17
viperidae,end of tail color,1
viperidae,ventrals: males,1
viperidae,ventrals: females,1
viperidae,subcaudals: males,1
viperidae,subcaudals: females,1
viperidae,total length: males,1
viperidae,total length: females,1
viperidae,tail length: males,1
viperidae,tail length: females,1
viperidae,cephalic scales,13
viperidae,female color,1
viperidae,male color,1
viperidae,overall pattern,1
viperidae,males' background colour,1
viperidae,males' dorsolateral blotches,1
viperidae,females' pattern,2
viperidae,dsr at midbody,12
viperidae,2nd supralabial,3
viperidae,ven,17
viperidae,occipital and temporal scales,7
viperidae,il of the first pair,4
viperidae,adult females,1
viperidae,overall brown coloration,1
viperidae,darker crossbands,3
viperidae,elongated darker dorsolateral blotches,1
viperidae,subrectangular or subtriangular dark greyish-brown blotche,1
viperidae,ventral tips and 1st–2nd dsr,1
viperidae,loreal pit,5
viperidae,supralabial below the eye,1
viperidae,head spots,1
viperidae,scales in a line between supraoculars,1
viperidae,ventrals (males),3
viperidae,ventrals (females),3
viperidae,subcaudals (males),3
viperidae,subcaudals (females),3
viperidae,paired shields,1
viperidae,ventrolateral stripe color (males),1
viperidae,scales on head and chin,2
viperidae,light stripe,2
viperidae,outer scale row,1
viperidae,hematopenes,1
viperidae,ventral scale count,3
viperidae,anterior dorsal scale rows(dsr),1
viperidae,mid-body scale rows (msr),1
viperidae,head/dorsum color,1
viperidae,saddle shaped markings on the dorsum,1
viperidae,preocular/ temporal stripe,1
viperidae,possession of hemipenis,1
viperidae,dorsolateral spots,1
viperidae,pale ventrolateral stripe,1
viperidae,1st supralabial,11
viperidae,tail ratio tal/tl,1
viperidae,postocular streak,7
viperidae,anterior part of body and tail color,1
viperidae,body color variation,1
viperidae,total length of species,1
viperidae,ratio tal/tl,1
viperidae,dsr,8
viperidae,dorsum color in juveniles,1
viperidae,genus peltopelor,1
viperidae,v. male,2
viperidae,v. female,2
viperidae,c. male,2
viperidae,c. female,2
viperidae,interstitial skin and under surface of the scales,1
viperidae,a line along scale-row 1,1
viperidae,upper lip,1
viperidae,total length male,1
viperidae,length of male tail,1
viperidae,total length female,1
viperidae,length of female tail,1
viperidae,lateral stripe,2
viperidae,first supralabial and nasal scale,2
viperidae,population,1
viperidae,divergence at cyt b and 16s,1
viperidae,neotype,1
viperidae,svl,13
viperidae,temporal scales and cephalic scales in the posterior sides above the mandibular joint,1
viperidae,first pair of genials,1
viperidae,colours,1
viperidae,psr,2
viperidae,supplabials,1
viperidae,colour morphs,1
viperidae,first upper labials,3
viperidae,bicolored ventrolateral stripe,1
viperidae,tail sides,1
viperidae,19 msr,1
viperidae,facial pit,1
viperidae,internasal scale,1
viperidae,vertebral spots,3
viperidae,female p. buniana,1
viperidae,21 msr,2
viperidae,overall color,2
viperidae,overall coloration in males,1
viperidae,vertebral row,2
viperidae,occipital scales,4
viperidae,overall grey or brown pattern,1
viperidae,males pattern,1
viperidae,females pattern,1
viperidae,male pattern compared to female,1
viperidae,2nd supralabials,3
viperidae,last costal row,1
viperidae,first upper labial scale,1
viperidae,dorsal body color,4
viperidae,ventral body color,2
viperidae,number of ventral scales in males,1
viperidae,number of ventral scales in females,1
viperidae,number of subcaudal scales in males,1
viperidae,number of subcaudal scales in females,1
viperidae,total length of males,1
viperidae,total length of females,1
viperidae,tail length of males,1
viperidae,tail length of females,1
viperidae,distinct light stripe,1
viperidae,indistinct dark bars or zig-zag lines,1
viperidae,color above,3
viperidae,color below,3
viperidae,ventral shield,1
viperidae,colors,1
viperidae,longitudinal rows of scales on neck,1
viperidae,single narrow supraocular,1
viperidae,number of rows of scales,1
viperidae,colour,1
viperidae,dorso-lateral spots,1
viperidae,pale green below,1
viperidae,temporal streak,1
viperidae,"tip of snout, end of tail",1
viperidae,the paratype,1
viperidae,body colour in adult females,1
viperidae,body colour in males and juveniles,1
viperidae,yellow crossbands,1
viperidae,white crossbars,1
viperidae,postocular stripe in adult females,1
viperidae,postocular stripe in males and juveniles,1
viperidae,belly in adult females,1
viperidae,belly in males and juveniles,1
viperidae,dorsal scale rows at midbody (dsr),1
viperidae,ventrals (ven),1
viperidae,subcaudals (sc),1
viperidae,nasal pore,2
viperidae,snout and head,1
viperidae,coloration in juveniles,1
viperidae,colouring,1
viperidae,♂♂ (males),1
viperidae,♀♀ (females),1
viperidae,dorsal scales at mid-trunk,1
viperidae,reduction in linear size of the trunk and in body volume,1
viperidae,diet,1
viperidae,snakes,1
viperidae,species length,1
viperidae,largest scutes,1
viperidae,nasal scute,1
viperidae,ventral scutes,3
viperidae,subcaudal,1
viperidae,species,1
viperidae,melanistic morphs,1
viperidae,dorsal blotch,1
viperidae,ventral count in females,1
viperidae,ventral count in males,1
viperidae,apicals,2
viperidae,scales in first circumocular rings,1
