family,trait,count
amphisbaenidae,head size,1
amphisbaenidae,tails,1
amphisbaenidae,second row of postgenials,3
amphisbaenidae,caudal annular counts,1
amphisbaenidae,"""difference counts"" of body annuli",1
amphisbaenidae,posterior body annuli,1
amphisbaenidae,length of the annular segments,1
amphisbaenidae,hemipenes,2
amphisbaenidae,postmalar row,13
amphisbaenidae,dorsal pigmentation on the anterior third of the body,1
amphisbaenidae,dorsal pigmentation on the posterior third of the body,1
amphisbaenidae,ventral side,1
amphisbaenidae,ventral side segments,1
amphisbaenidae,maximum total length,1
amphisbaenidae,lateral sulci,30
amphisbaenidae,median scale sutures,1
amphisbaenidae,frontal,8
amphisbaenidae,upper labials,19
amphisbaenidae,behind the ocular,1
amphisbaenidae,symphysial,7
amphisbaenidae,postgenials,17
amphisbaenidae,intersegmental sutures,5
amphisbaenidae,belly,4
amphisbaenidae,ventral aspect of tail,1
amphisbaenidae,head color,7
amphisbaenidae,ocular and second supralabial,1
amphisbaenidae,postmalar chin shields,2
amphisbaenidae,precoacal scales,1
amphisbaenidae,postcloacal scales,3
amphisbaenidae,temporal,13
amphisbaenidae,color on head,2
amphisbaenidae,color on tail,2
amphisbaenidae,white segments,1
amphisbaenidae,scales around midbody,2
amphisbaenidae,dorsal scales,1
amphisbaenidae,ventral scales,1
amphisbaenidae,row of postgenials,1
amphisbaenidae,row of postmalars,1
amphisbaenidae,belly color,1
amphisbaenidae,underside of tail color,1
amphisbaenidae,snout-vent length,23
amphisbaenidae,maximum tail length,1
amphisbaenidae,form of amphisbaena,1
amphisbaenidae,anterior pigment emphasis,1
amphisbaenidae,lateral countershading,1
amphisbaenidae,dorsal surfaces of the head and tail,1
amphisbaenidae,chin,3
amphisbaenidae,head segmentation,1
amphisbaenidae,temporal musculature,1
amphisbaenidae,trunk,13
amphisbaenidae,dorsal segments to a midbody annulus,5
amphisbaenidae,pore cores,1
amphisbaenidae,ventral surface of tail,1
amphisbaenidae,head shields,16
amphisbaenidae,color of preserved specimens,6
amphisbaenidae,segments,4
amphisbaenidae,middorsal groove,1
amphisbaenidae,rows of post-genials,2
amphisbaenidae, row of postmalar chin shields,1
amphisbaenidae,body color pattern,1
amphisbaenidae,venter color,9
amphisbaenidae,pigment on ventral segments,1
amphisbaenidae,juvenile color,1
amphisbaenidae,maximum body length,1
amphisbaenidae,head sutures,1
amphisbaenidae,anal flap,3
amphisbaenidae,postanal rim,1
amphisbaenidae,dorsal head color,1
amphisbaenidae,lateral sulcus color,1
amphisbaenidae,ventral belly color,1
amphisbaenidae,tail color,5
amphisbaenidae,row postmalar chin shields,1
amphisbaenidae,precloacal scales,3
amphisbaenidae,throat color,1
amphisbaenidae,"scattered, dark mottling",1
amphisbaenidae,first body annulus,2
amphisbaenidae,color,13
amphisbaenidae,sutures on head,1
amphisbaenidae,dorsal shields,3
amphisbaenidae,species,6
amphisbaenidae,snout variant,1
amphisbaenidae,head width,3
amphisbaenidae,sulci,6
amphisbaenidae,midventral sulcus,1
amphisbaenidae,segments around midbody,1
amphisbaenidae,melanophore,1
amphisbaenidae,longitudinal sulcus,1
amphisbaenidae,anterior edge of frontals,1
amphisbaenidae,second upper labials,1
amphisbaenidae,post-symphysial,3
amphisbaenidae,second lower labial,1
amphisbaenidae,third lower labial,1
amphisbaenidae,lateral genials,1
amphisbaenidae,median genials,1
amphisbaenidae,post-genials,1
amphisbaenidae,tip of tail,3
amphisbaenidae,color pattern,4
amphisbaenidae,head coverage,1
amphisbaenidae,precloacal pores in male,2
amphisbaenidae,precloacal pores in female,2
amphisbaenidae,segmental surface color,1
amphisbaenidae,head shield fusion,1
amphisbaenidae,swelling of the rostral tip,1
amphisbaenidae,bulging of the temporal muscles,1
amphisbaenidae,parietal segments,1
amphisbaenidae,postocular region segments,1
amphisbaenidae,median numbers of ventral segments to a midbody annulus,1
amphisbaenidae,color contrast,1
amphisbaenidae,central rectangle of each segment,1
amphisbaenidae,pigmented area below the lateral line,1
amphisbaenidae,genial,1
amphisbaenidae,cloacal pores,2
amphisbaenidae,overall coloration,1
amphisbaenidae,ventralmost segment rows,1
amphisbaenidae,species (snout to vent),1
amphisbaenidae,snout to vent,1
amphisbaenidae,autotomy level on tail,1
amphisbaenidae,segments around midbody above the lateral sulci,1
amphisbaenidae,segments around midbody below the lateral sulci,1
amphisbaenidae,dorsal segments of the trunk,1
amphisbaenidae,pairs of scales on top of the head,1
amphisbaenidae,scales on the head,1
amphisbaenidae,labials,5
amphisbaenidae,post-anal scales,1
amphisbaenidae,precoacal pores,1
amphisbaenidae,head and tail color,2
amphisbaenidae,color on head and tail,1
amphisbaenidae,segment centers color,1
amphisbaenidae,midventral segments of each annulus,3
amphisbaenidae,pre-cloacal segments,3
amphisbaenidae,color dorsally,1
amphisbaenidae,color ventrally,1
amphisbaenidae,posterior 15% of a segment,1
amphisbaenidae,intersegmental raphes,3
amphisbaenidae,body,15
amphisbaenidae,precloacal row,1
amphisbaenidae,head and neck color,1
amphisbaenidae,intersegmental raphes and interannular sutures,1
amphisbaenidae,head anterior to the fifth body annulus and the distal tip of the tail,1
amphisbaenidae,trunk diameter,2
amphisbaenidae,second body annulus,3
amphisbaenidae,impression of the segment centers,1
amphisbaenidae,postgenial row,2
amphisbaenidae,the middorsal segments,1
amphisbaenidae,the midventral segments,1
amphisbaenidae,body type,1
amphisbaenidae,rostro-anal length,3
amphisbaenidae,broken tails,1
amphisbaenidae,median dorsal sutures of the head,1
amphisbaenidae,postsymphysial,2
amphisbaenidae,genials,1
amphisbaenidae,ventral and dorsal sulci,1
amphisbaenidae,preanal flap,2
amphisbaenidae,underside of tail,1
amphisbaenidae,rostral and nasal,1
amphisbaenidae,darker centers of segments,1
amphisbaenidae,nasals,34
amphisbaenidae,postocular and parietal head scales,1
amphisbaenidae,infralabial on each side,1
amphisbaenidae,postgenial and postmalar rows of chin shields,1
amphisbaenidae,color at rectangular centers of each segment,1
amphisbaenidae,color in the neck and caudal regions,1
amphisbaenidae,second infralabials and third infralabials,1
amphisbaenidae,malars,7
amphisbaenidae,middle body annulus,1
amphisbaenidae,dorsal midbody segments,3
amphisbaenidae,ventral midbody segments,2
amphisbaenidae,occipitals,22
amphisbaenidae,postocular,8
amphisbaenidae,ventral sulcus,9
amphisbaenidae,sutures between annuli,1
amphisbaenidae,on the posterior third of the back color,1
amphisbaenidae,posterior margin of the segments,1
amphisbaenidae,pre-cloacal pores,7
amphisbaenidae,caudal annuli (up to autotomy constriction),1
amphisbaenidae,caudal annuli (from cloaca to tip),1
amphisbaenidae,caudal tip,8
amphisbaenidae,dorsal surface,7
amphisbaenidae,head or tail color,1
amphisbaenidae,segments on the tip of the tail,1
amphisbaenidae,postmalar shields,2
amphisbaenidae,segments on the midbody annulus,1
amphisbaenidae,svl in adults,2
amphisbaenidae,distance between ocular shields,3
amphisbaenidae,supralabial shields,4
amphisbaenidae,frontal shield,3
amphisbaenidae,back and tail dorsal surface,1
amphisbaenidae,ventral parts and middle tail color,1
amphisbaenidae,tail length,11
amphisbaenidae,postrostral head shield,1
amphisbaenidae,precloacal segments,6
amphisbaenidae,segment border color on the sides,1
amphisbaenidae,lower jaws,1
amphisbaenidae,back's segmental margins and intersegmental raphes,1
amphisbaenidae,ventral surface's segmental margins,1
amphisbaenidae,first two body annuli,1
amphisbaenidae,numbers of dorsal and ventral half-annuli,1
amphisbaenidae,midventral line segments,1
amphisbaenidae,prefrontal,4
amphisbaenidae,postocular and parietal segments,1
amphisbaenidae,pores,3
amphisbaenidae,dorsal surface color,2
amphisbaenidae,caudal annuli color,1
amphisbaenidae,pattern,1
amphisbaenidae,dorsal surfaces of head and tail,1
amphisbaenidae,the head,1
amphisbaenidae,pectoral region,11
amphisbaenidae,muscle masses over the parietal portion of the skull,1
amphisbaenidae,angles of the mouth,1
amphisbaenidae,neck region,1
amphisbaenidae,folding lines/grooves,1
amphisbaenidae,lateral lines,1
amphisbaenidae,post-cloacal segments,2
amphisbaenidae,pores of males,1
amphisbaenidae,pores of females,1
amphisbaenidae,large first and second parietals,1
amphisbaenidae,neck,4
amphisbaenidae,tip of tail and snout color,1
amphisbaenidae,pigmentation of segments,1
amphisbaenidae,nasalsutur,1
amphisbaenidae,schwanzringel or tail rings,1
amphisbaenidae,one body annuli,1
amphisbaenidae,analsegmente or anal segments,1
amphisbaenidae,praeanalpores,1
amphisbaenidae,third supralabiale,1
amphisbaenidae,color of most segments of the upper side,1
amphisbaenidae,temporal scales,1
amphisbaenidae,ventral surface,2
amphisbaenidae,ventral countershading,3
amphisbaenidae,rostral plate,2
amphisbaenidae,common suture of nasals,1
amphisbaenidae,nasofrontals,1
amphisbaenidae,labial,2
amphisbaenidae,annuli,2
amphisbaenidae,"lower jaw, chin and part of pectoral region and a postanal crescent",1
amphisbaenidae,parietal shields,7
amphisbaenidae,pre-frontal and frontal shields,1
amphisbaenidae,praemaxillary teeth,2
amphisbaenidae,maxillaries,7
amphisbaenidae,mandibulars,7
amphisbaenidae,subocular,1
amphisbaenidae,lower border of second labial,1
amphisbaenidae,chin-shield,1
amphisbaenidae,lower labials,13
amphisbaenidae,divisions of the annuli,1
amphisbaenidae,divisions above the lateral line,1
amphisbaenidae,divisions below the lateral line,1
amphisbaenidae,anal shields,1
amphisbaenidae,prœanal pores,1
amphisbaenidae,uniform color,1
amphisbaenidae,lateral sulcus,8
amphisbaenidae,dorsal segments on a midbody annulus,2
amphisbaenidae,ventral segments on a midbody annulus,2
amphisbaenidae,tail surface,1
amphisbaenidae,prefrontal suture,1
amphisbaenidae,"dorsal sulcus, ventral sulcus",1
amphisbaenidae,autotomy,5
amphisbaenidae,rows of genials,1
amphisbaenidae,post-malar row,4
amphisbaenidae,post-ocular,1
amphisbaenidae,dorsal segments at a midbody annulus,1
amphisbaenidae,ventral segments at a midbody annulus,1
amphisbaenidae,row of post-malar scales,1
amphisbaenidae,dorsal sulcus,7
amphisbaenidae,vertical keel at tail tip,1
amphisbaenidae,row of postmalar chin shields,1
amphisbaenidae,square segmental centers,1
amphisbaenidae,intersegmental raphes color,1
amphisbaenidae,general color,1
amphisbaenidae,segment edge color,1
amphisbaenidae,ventral edge,1
amphisbaenidae,"chin, cloacal region, anterior portion of ventral surface colors",1
amphisbaenidae,head scalation,1
amphisbaenidae,first body annuli correspond to two dorsal half-annuli,1
amphisbaenidae,the segments of the first,1
amphisbaenidae,midventral line,1
amphisbaenidae,dorsal segments at midbody,1
amphisbaenidae,parietal,5
amphisbaenidae,body coloration,1
amphisbaenidae,midbody dorsal/ventral segment counts,1
amphisbaenidae,midbody ventral segments,3
amphisbaenidae,major fusion of head shields,2
amphisbaenidae,enlarged postlabials,1
amphisbaenidae,postocular and parietal,1
amphisbaenidae,caudal annuli from the cloaca to the caudal spine,1
amphisbaenidae,variegation or differentiation of the head or tail,1
amphisbaenidae,suture between prefrontals,3
amphisbaenidae,eye,14
amphisbaenidae,an annulus in the middle of the body,1
amphisbaenidae,dorsal segments on distal half of tail,1
amphisbaenidae,lateral line,5
amphisbaenidae,anal segments,5
amphisbaenidae,dorsal segment spots,1
amphisbaenidae,length to vent,1
amphisbaenidae,body diameter,1
amphisbaenidae,mental and postmental,2
amphisbaenidae,oculars and infraoculars,1
amphisbaenidae,midbody dorsal surface color,1
amphisbaenidae,infracaudal segment's anterior half,1
amphisbaenidae,infracaudal segments of the ninth postcloacal annulus,1
amphisbaenidae,supralabial scales,2
amphisbaenidae,infralabial scales,2
amphisbaenidae,number of body annuli,2
amphisbaenidae,location of caudal autotomy,1
amphisbaenidae,nasal size,1
amphisbaenidae,number of upper labials,1
amphisbaenidae,size of symphysial,1
amphisbaenidae,number of lower labials,1
amphisbaenidae,size of anterior genials,1
amphisbaenidae,size of lateral genials,1
amphisbaenidae,number of posterior genials,1
amphisbaenidae,number of scales on preanal fold,1
amphisbaenidae,supralabial size,1
amphisbaenidae,post-symphysial shape,2
amphisbaenidae,internasal and interfrontal sutures,1
amphisbaenidae,symphysial size,1
amphisbaenidae,medio-ventral segment measurements,1
amphisbaenidae,preanal segments,2
amphisbaenidae,tail description,1
amphisbaenidae,transition from dorsum to venter,1
amphisbaenidae,nasals and frontals,1
amphisbaenidae,rectangular segmental centers,1
amphisbaenidae,belly color in surinam a. vanzolinii,1
amphisbaenidae,back color in surinam a. vanzolinii,1
amphisbaenidae,form size,1
amphisbaenidae,caudal annuli from the cloaca to the tip of the tail,1
amphisbaenidae,"autotomy constriction, tail",1
amphisbaenidae,ventral pigmentation,1
amphisbaenidae,temporal region color,1
amphisbaenidae,snout color and posterior one-half of edge of lower jaw color,1
amphisbaenidae,midbody annulus,3
amphisbaenidae,median ventrals,2
amphisbaenidae,nostril,7
amphisbaenidae,"ocular, preocular, postocular",1
amphisbaenidae,sublinguals,1
amphisbaenidae,scales,1
amphisbaenidae,sublabials,3
amphisbaenidae,ventral segment,1
amphisbaenidae,snout color,2
amphisbaenidae,head and body color,1
amphisbaenidae,segments in a midbody annulus,17
amphisbaenidae,median ventral,1
amphisbaenidae,anals,17
amphisbaenidae,total length of holotype male,1
amphisbaenidae,total length of larger paratype female,1
amphisbaenidae,total length of juvenile paratype,1
amphisbaenidae,premaxilla,2
amphisbaenidae,part of the parietal plate,1
amphisbaenidae,superior aspect of keel,1
amphisbaenidae,posterior aspect,1
amphisbaenidae,basipterygoid processes,1
amphisbaenidae,partes posteriores choanarum,1
amphisbaenidae,supratemporals,1
amphisbaenidae,quadrate,2
amphisbaenidae,stapes,1
amphisbaenidae,rostral shield,4
amphisbaenidae,second infralabials,3
amphisbaenidae,rostral keel,1
amphisbaenidae,shield,3
amphisbaenidae,segments anterior to the ocular,1
amphisbaenidae,menial and postmental,1
amphisbaenidae,first plus second infrajabials,1
amphisbaenidae,posterior margin of rostral shield,1
amphisbaenidae,second and third supralabials,2
amphisbaenidae,posterior margin of rostral shield (and of nasal where present),1
amphisbaenidae,the second infralabial,1
amphisbaenidae,mental and postmental(s),1
amphisbaenidae,a pair of very large infralabials,1
amphisbaenidae,sharply defined post-cephalic fold or folds,1
amphisbaenidae,rostral scale,3
amphisbaenidae,mandibular symphysis,2
amphisbaenidae,lateral and ventral sulci,1
amphisbaenidae,anterior dorsal sulcus,1
amphisbaenidae,rostral supported by prefrontals scale,1
amphisbaenidae,frontalis scale,1
amphisbaenidae,post-frontal annulus scales,1
amphisbaenidae,ocular scale,2
amphisbaenidae,nasal scale,1
amphisbaenidae,genialis,1
amphisbaenidae,large button on the tail tip,1
amphisbaenidae,post-anal rim,1
amphisbaenidae,physical form,1
amphisbaenidae,posterior rim of the anus,1
amphisbaenidae,nasal,15
amphisbaenidae,praefrontals,1
amphisbaenidae,median chin shield,1
amphisbaenidae,chin shields,15
amphisbaenidae,pectoral shields,13
amphisbaenidae,precloacalpore,1
amphisbaenidae,nostrils,12
amphisbaenidae,gular region,2
amphisbaenidae,segments of the anterior third of the body,1
amphisbaenidae,posterior segments,1
amphisbaenidae,crown,1
amphisbaenidae,upper labial shields,1
amphisbaenidae,second upper labial,1
amphisbaenidae,body and chest,1
amphisbaenidae,skin,1
amphisbaenidae,a pair of parietals,1
amphisbaenidae,precloacal segments (anals),1
amphisbaenidae,width,1
amphisbaenidae,colour,3
amphisbaenidae,the species turns,1
amphisbaenidae,pore-bearing scales of the anal flap,2
amphisbaenidae,ventral parts color,1
amphisbaenidae,bronia bedai,1
amphisbaenidae,bronia brasiliana,1
amphisbaenidae,nasal shields,3
amphisbaenidae,front pair shields,1
amphisbaenidae,hinder shields,1
amphisbaenidae,eye-shield,1
amphisbaenidae,labial shields,1
amphisbaenidae,ventral shields,1
amphisbaenidae,"short, rounded head",1
amphisbaenidae,maxilla,1
amphisbaenidae,dentary,1
amphisbaenidae,dorsal and ventral sulci,4
amphisbaenidae,dorsal region of body and tail,1
amphisbaenidae,median pair of preanal segments,1
amphisbaenidae,each pore-bearing row,1
amphisbaenidae,nasals size,1
amphisbaenidae,prefrontals size,1
amphisbaenidae,fourth supralabial shape,1
amphisbaenidae,symphysial shape,1
amphisbaenidae,postsymphysial shape,1
amphisbaenidae,dorsal segments on median third of the body,1
amphisbaenidae,specimen,1
amphisbaenidae,nuchal region,1
amphisbaenidae,rostral rip,2
amphisbaenidae,autotomy site,31
amphisbaenidae,postcoculars,1
amphisbaenidae,nuchal constriction,3
amphisbaenidae,dorsal pigmentation,3
amphisbaenidae,pigmentation in the center of a segment,1
amphisbaenidae,second parietals,1
amphisbaenidae,dorsal surface of the head,3
amphisbaenidae,head diameter,1
amphisbaenidae,rostral tip,2
amphisbaenidae,dorsal surface pattern,1
amphisbaenidae,(autotomy) constriction,1
amphisbaenidae,dorsal and lateral sulci,1
amphisbaenidae,dorsal and lateral segment,1
amphisbaenidae,nasorostral suture,1
amphisbaenidae,posterior prolongation of the frontals,1
amphisbaenidae,postoculars,5
amphisbaenidae,specimens color,1
amphisbaenidae,postfrontals,10
amphisbaenidae,upper labial,3
amphisbaenidae,median ventral segments,15
amphisbaenidae,preanal pores in male,1
amphisbaenidae,preanal pores in female,1
amphisbaenidae,premaxillary teeth,6
amphisbaenidae,majority measurement,1
amphisbaenidae,female measurement,1
amphisbaenidae,large shields,3
amphisbaenidae,chin-shields,2
amphisbaenidae,annuli on body,13
amphisbaenidae,annuli on tail,12
amphisbaenidae,dorsal and lateral segments,2
amphisbaenidae,median rows of ventrals,1
amphisbaenidae,caudal segments,1
amphisbaenidae,h&b,1
amphisbaenidae,diameter of body,2
amphisbaenidae,first labial,1
amphisbaenidae,second labial,1
amphisbaenidae,scales bordering the upper lip,1
amphisbaenidae,body segments,1
amphisbaenidae,midbody annuli,1
amphisbaenidae,body segments (paratype),1
amphisbaenidae,preanal pores (paratype),1
amphisbaenidae,male coloration,1
amphisbaenidae,female coloration,1
amphisbaenidae,head and body length (type male),1
amphisbaenidae,tail length (type male),1
amphisbaenidae,head and body length (paratype female),1
amphisbaenidae,tail length (paratype female),1
amphisbaenidae,coloration in life,1
amphisbaenidae,coloration in alcohol,1
amphisbaenidae,"largest a (type. mcz. 47,951)",1
amphisbaenidae,"paratype. mcz. 47,952",1
amphisbaenidae,ocular shield,1
amphisbaenidae,teeth,1
amphisbaenidae,upper temporals,1
amphisbaenidae,an annulus,1
amphisbaenidae,median ventral rows,1
amphisbaenidae,"preocular supralabials, nasal, preocular, and prefrontal",2
amphisbaenidae,blind suture,2
amphisbaenidae,frontal and larger parietal,1
amphisbaenidae,supralabials and infralabials,5
amphisbaenidae,dorsal segments and ventral segments,1
amphisbaenidae,anterior head shields,1
amphisbaenidae,full body color,1
amphisbaenidae,occipital,5
amphisbaenidae,blinded suture,1
amphisbaenidae,trunk shape,2
amphisbaenidae,caudal tip shape,1
amphisbaenidae,middorsal sulcus,6
amphisbaenidae,median ventral segment,1
amphisbaenidae,above color,2
amphisbaenidae,below color,2
amphisbaenidae,midbody segments,11
amphisbaenidae,snout-vent plus tail length,1
amphisbaenidae,4 postgenials,1
amphisbaenidae,6 precloacal segments,1
amphisbaenidae,small median azygous shield,1
amphisbaenidae,2 supralabials,1
amphisbaenidae,2 infralabials,1
amphisbaenidae,head shields and first five to seven dorsal half-annuli,1
amphisbaenidae,"1st and 2nd supralabials, nasal, prefrontal, frontal, preocular and ocular shields",1
amphisbaenidae,interparietals,2
amphisbaenidae,1st and 2nd supralabials,3
amphisbaenidae,3rd supralabial,1
amphisbaenidae,1st and 2nd infralabials,2
amphisbaenidae,3rd infralabial,1
amphisbaenidae,constriction for autotomy,1
amphisbaenidae,body proportions,3
amphisbaenidae,pigment density,1
amphisbaenidae,annulus at midbody,2
amphisbaenidae,discrete ocular,1
amphisbaenidae,caudal autotomy site,4
amphisbaenidae,"preocular supralabials, nasal, prefrontal, preocular, and ocular",2
amphisbaenidae,first postocular supralabial,5
amphisbaenidae,type,1
amphisbaenidae,"1st and 2nd supralabials, nasal, prefrontal, frontal, preocular shields",1
amphisbaenidae,ocular shields,1
amphisbaenidae,"1st and 2nd supralabials, 1st and 2nd infralabials",1
amphisbaenidae,"3rd supralabial, 3rd infralabial",1
amphisbaenidae,malar shields,1
amphisbaenidae,precloacal pores in the male,1
amphisbaenidae,precloacal pores in the female,1
amphisbaenidae,"precloacal segments, postcloacal segements",1
amphisbaenidae,specimens,2
amphisbaenidae,"body proportions, head shields",1
amphisbaenidae,lower jaw,6
amphisbaenidae,seventh annulus,1
amphisbaenidae,colar region,1
amphisbaenidae,anterior head,1
amphisbaenidae,"nasal, preocular, and prefrontal",1
amphisbaenidae,median azygous shield,5
amphisbaenidae,preocular and one postocular supralabials,1
amphisbaenidae,most specimens,1
amphisbaenidae,preserved specimens' color,1
amphisbaenidae,both the dorsal and the ventral surfaces,1
amphisbaenidae,darker specimens show an,1
amphisbaenidae,the dorsal pigmentation,1
amphisbaenidae,the dorsal surfaces of the top of the head(particularly the frontals) of the posterior quarter of the trunk and of the caudal,1
amphisbaenidae,caudal rosette,1
amphisbaenidae,ventral portion of the tail,1
amphisbaenidae,the mental,1
amphisbaenidae,there are,1
amphisbaenidae,the pore-bearing row corresponds to,1
amphisbaenidae,the snout,1
amphisbaenidae,ventral segments of the first five body annuli,1
amphisbaenidae,the trunk,1
amphisbaenidae,"dorsal sulcus, see around the body",1
amphisbaenidae,diagrammatically placed ocular,1
amphisbaenidae,a small median azygous shield,1
amphisbaenidae,frontal and parietal,2
amphisbaenidae,large temporal,1
amphisbaenidae,mental and first infralabials,3
amphisbaenidae,"meristic characters, anterior fused shield, supralabials color",1
amphisbaenidae,"median azygous shield, the oculars, and the frontal-parietals color",1
amphisbaenidae,"description of physical traits of several anatomical parts (snout, supralabials, infralabials, temporal, mental, first postocular supralabial, fused head shields, rostral, malars, ventral segments, nasal suture, annuli etc.)",1
amphisbaenidae,anterior trunk,1
amphisbaenidae,midbody,1
amphisbaenidae,postsupralabials,4
amphisbaenidae,males of all species,1
amphisbaenidae,distal tip of original tail,1
amphisbaenidae,"two preocular supralabials, preocular and ocular",1
amphisbaenidae,nasal and prefrontal,1
amphisbaenidae,"frontals, parietals, and occipitals",2
amphisbaenidae,first infralabials,6
amphisbaenidae,ventral surface of the tail,3
amphisbaenidae,collagen fibers of the extracolumellar attachment,1
amphisbaenidae,cross section,1
amphisbaenidae,"preocular supralabials, nasal and prefrontal",2
amphisbaenidae,precloacal pores in males,2
amphisbaenidae,enlarged malars,1
amphisbaenidae,the cloacal shields,1
amphisbaenidae,shields,1
amphisbaenidae,first postsupralabial,3
amphisbaenidae,enlarged median ones in the first postgenials,1
amphisbaenidae,ventral segments of the first six body annuli,1
amphisbaenidae,"at midbody, an annulus",1
amphisbaenidae,cap,1
amphisbaenidae,temporal region,4
amphisbaenidae,"preocular supralabial, nasal, preocular, and prefrontal",1
amphisbaenidae,"midbody segments, dorsal",1
