Species,auricular lobes,supranasals,frontal scales,internasals,canthals,temporal markings,parietal angle,occipital,head scales,superciliary,supralabial size,preauriculars,postmentals,supra-auricular scales,frontonasal scale,postoculars,supralabials,preauricular scales,temporal scales,arm width,lateral fold,supraauricular scales,frontonasal,parietals,supercilliary,suboccular,infralabials,temporals,subocular,nuchal scales,dorsal scale rows,dorsal scales,primary temporals,supraoculars,collar scales,ventral scales,femoral pores,digit lamellae,maxillary teeth,jaw size,head size,eye size,nostril scale,midbody size,dorsal scale keels,lower tail scales,apical pits,pileus color,eye-nostril distance,snout scales,tail size,snout-vent length,head width,orbital diameter,tympanum size,preocular scale,ventrals,caudal vertebrae,anal plate,flank scales,max SVL,supraoculars-supraciliaries scales,occipitals,gular scales,mesoptychial scales,postbrachials,interparietals-base of tail scales,prefrontal scales,nasal,nostrils,loreal,preocular,mental scale,subcaudals,infralabial size,body bands
Achalinus spinalis,,,,,,,,, the loreal extending from the nasal to the eye,,,,,,,,,,,,,,,,,,,,,, dorsal scales in 23 rows,,,,,,,,22, mandibular teeth equal, head not or only scarcely distinct from neck, with round or vertically subelliptical pupil, divided by a vertical suture, cylindrical, keeled, subcaudals single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrochordus arafurae,,,, nasal bones tapering to a median anterior point,,,,, no transversely enlarged scale behind nasal,, between eye and edge of lip,,,,,,,,,,,,,,,,,,,,, flanked by much smaller cusps,,,,,,, long pterygoid row of 11-16 teeth, absence of coronoid process on lower jaw,,,,,,, without spines or papillae, pattern with intricate network of dark markings that are connected with one another but isolate spots of the brown or tawny ground colour, separated from eye by 11-14 scales,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acutotyphlops kunuaensis,,, frontorostral present, nasal incompletely divided,,,,, head scale arrangement non-circular,,,,,,,, or none,,,,,,,,,,,,,, scale row reduction present,,,,,,,,,,,1 eye,,,,,,,, snout acuminate or rounded, mm,,,,,,,,,,,,,,,,,,,,,,,,,
Thamnophis copei,,,, 1 or 2 nasals,, 1 temporal, crown strongly arched in profile,,,, 5th much larger,,,,, 2 postoculars, 5 supralabials,,,,,,,,,, 5 or 6 infralabials,,,,,,,,,,,,,,moderately slender, moderate size eyes,,,,,,,, snout subconical,, 479 mm, head barely wider than neck, of head length, round pupil, 1 preocular, 132-139 ventrals in males, 50-64 subcaudals in males, undivided anal plate,,,,,,,,,,,,,,,,,
Thamnophis foxi,,,, semidivided nasal,, two posterior temporals,,,,, 4th and 5th supralabials of nearly equal size,,,,,, discrete loreal scale,,,,,,,,,, six infralabials,,,, no dorsal scale row reduction, pair of dark paravertebral stripes,,,,,,, 20 or 21 maxillary teeth,,,,,,, 52-64 in males,,,,, in males, proportionately longer muzzle,,,,, 133-139 in males,, undivided anal plate, no light lateral stripe,,,,,,,,,,,,,,,,
Ameiva ameiva,,, Frontal usually single,,,,,, Dorsal head scales smooth,,,,,,,,,,,,,,, Frontoparietal and parietal plates in contact with interparietals,,,,,,,,187 dorsal scales across mid-body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maximum SVL in males 174 mm, usually in single row between supraoculars and supraciliaries, usually subequal to first dorsal row, occasionally only moderately enlarged, Enlarged mesoptychial scales subequal or larger than largest gulars, Postbrachials moderately to distinctly enlarged,339 scales between interparietals and base of tail,,,,,,,,,
Hebius modestus,,,,,, rectangular and elongate,,,,,,,,,,,,, 1 or rarely 2 anterior temporals,,,,,,,,,,,,19-19-17 dorsal scale rows, smooth on 1st DSR,,,, rarely entirely dark except on its most anterior part,,, the last two moderately enlarged,, head moderately distinct from the neck, eye large,,, barely or weakly keeled at midbody and on the posterior part of the body,,, brown or dark brown,,,32 in males,,,,,,163,122,,,,,,,,,, prefrontal scales 2,,,,,,,,
Hebius octolineatus,,,, internasals narrowed anteriorly,,,,,,,,,,,, postoculars three, supralabials usually eight,,,,,,,,,, first-fifth infralabials in contact with anterior chin shields,,,, dorsal scale rows reduced from 19 to 17 at position of third and fourth dorsal scale rows and from 81st to 86th ventrals,,,,,,,,,,,,,,,,,,,,,,,,,, ventrals 150-154,, anal divided,,,,,,,,,, each half in contact with each other, nostrils lateral, not entering orbit, preocular one or two, mental triangles, paired,,
Hebius parallelus,,,,,, producing a very irregular ventrolateral stripe,,,,,,,,,,,,,,,,,,,,,,,,,7th dorsal scale rows from the occipital region along the whole of the body, producing a faint reticulation or irregular streaks,,,,,,,,,,,,,,,, more or less dark greyish-brown or dark yellowish-grey in preservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hebius sauteri,,,,,,,,,,,3rd touches the loreal,,,,,,8,,,,,,,,,,9,,,, dorsal scales rows 17-17-17,,,,,133,,,27, without diastema, head moderately distinct from neck,,,, all weekly keeled or smooth at outmost one or two rows, paired,, with or without single series of white spots or short band on lateral,,, maximum ToL 455 mm,,,,, occasionally two,,,,,,,,,,,,,,,,,,, mostly edged with black at their posterior border, single white to orange stripe extended from angulus oris to neck
Hebius venningi,,,,,, narrowing anteriorly,,,,,,,,,,,,,,,,,,,,,,,,,17 dorsal scale rows,,,,, with outer parts of ventrals heavily and broadly clouded with darker hues of brown or dark brown,,, the last two moderately enlarged,, head moderately distinct from the neck, eye rather large,,, scales around the base of the tail strongly keeled,,,,,,30,,,,,,172,129,,,,,,,,,, prefrontal scales 2,,,,,,,,
