Species,supra-auricular scales,supranasals,frontonasal scale,internasals,canthals,temporals,supraocular contact,occipital,posterolateral head scales,superciliary,subocular,preauriculars,postmental,infralabials,nuchal scale rows,dorsal transverse scale rows,dorsal longitudinal scale rows,ventral longitudinal scale rows,body color,juvenile pattern,circumorbital region,primary temporals,parietal-median supraocular contact,anterior superciliary,posterior subocular,preauricular scales,posteriormost infralabial,longitudinal nuchal scale rows,dorsal coloration,orbital region,color pattern,posterior internasals,posterior infralabial,temporal scales,limbs,lateral fold,supraauricular scales,frontonasal,parietal,head scales,supercilliary,suboccular,postmentals,dorsal scale rows,ventral scale rows,dorsal bands,temporal,head width,head length,infralabial scales,postoculars,parietals,infralabial,crossbands,dorsal midline contact,frontal contact,anterior internasals,anterior temporals,postocular contact,parietal contact,scale length,orbit,adult color,juvenile color,juvenile color pattern,occipital scale,dorsal midline,frontal,supraoculars,temporal scale,scales in series,nuchal scales,transverse rows,longitudinal scale rows,ventral scales,dorsum,subadults,granules,collar scales,femoral pores,scales on fingers,dorsal scales,dorsal colour pattern,colouration,teeth,teeth size and shape,head shape,eye shape,nostril shape,loreal shape,body shape,subcaudals,nasal bones,hemipenis,coronoid process,dentary teeth,scales,nostrils,scales of lips,pterygoid teeth,scale behind nasal,tail,anal scute,cloacal region,maxillary teeth,palatine teeth,palatine-pterygoid teeth,nasals and septomaxillae,frontal-prefrontal contact,eye,snout,head scale arrangement,frontorostral,nasal,preocular-labial contact,scale row reduction,maximum total length,ventral color,overall pattern,length,snout shape,eye size,pupil shape,nasals,loreal,preocular,supralabials,ventrals,anal plate,tail length,dorsal nasal laminae,frontal bones,parietal bone,quadrate,supratemporal,prefrontal,interorbital foramen,basioccipital process,parasphenoid,loreal scale,genials,muzzle,paravertebral stripes,lateral stripe,dorsal scale row reduction,dorsal pattern,maxilla,ventrolateral stripe,vertebral row,supraciliary,subdigital lamellae,ventrals and subcaudals,preanal spurs,SVL,dorsal head scales,frontoparietal and parietal plates,scales between supraoculars and supraciliaries,occipitals,anterior gulars,middle anterior gulars,posterior gulars,mesoptychial scales,postbrachials,scales between interparietals and base of tail,dorsal scales across mid-body,bicolored,throat,keeling,smoothness,enlargement,tail ratio,prefrontal scales,shape,ventral edging,ventral darkness,dorsal color,dorsal spots,dorsolateral stripe,postocular streak,neck streak,nape streak,sexual dimorphism,height,contact,chin shields,mental,reduced scale rows,anal,dorsal stripes,lateral line,venter,dorsal background,preservative color,edging,extension,dorsal edging,reticulation,blackish-brown edging,gap,chevron,venter color,ventral tips,diastema,1st dorsal row,body size,maximum ToL,dorsal scales rows,body stripe,dorsal body,head,rostral,internasal,prefrontals,keeled scales,teeth size,subcaudal scales,temporal shape,neck pattern
Achalinus spinalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, keeled,,,22, mandibular teeth equal, head not or only scarcely distinct from neck, with round or vertically subelliptical pupil, divided by a vertical suture, the loreal extending from the nasal to the eye, cylindrical, subcaudals single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrochordus arafurae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, intricate network of dark markings connected with one another but isolate spots of the brown or tawny ground colour,,,,,,,,, nasal bones fused anteriorly to form pointed median anterior process, without spines or papillae, compound bone of lower jaw without coronoid process, posterior dentary teeth resembling other teeth in form, flanked by much smaller cusps, separated from eye by 11-14 scales, between eye and edge of lip, pterygoid teeth 11-16, no transversely enlarged scale behind nasal, about 13-20 percent of total length, no anal scute, the arms of the U directed backward as a pair of pockets into which anal glands open, maxillary teeth shortest posteriorly, palatine teeth 8-10, palatine-pterygoid teeth gradually diminishing in length from before backward, nasals and septomaxillae not in contact with frontal, frontal-prefrontal contact confined to region dorsal to lachrymal foramen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acutotyphlops kunuaensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, dorsum darker than venter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 eye, snout acuminate or rounded, head scale arrangement non-circular, frontorostral present, nasal incompletely divided, or none, scale row reduction present, mm, ventral color yellowish or gold, overall either patternless or with bars or longitudinal lines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thamnophis copei,,,,,,,,,,,,,, 5 or 6 infralabials,,,,,,,,,,,,,,,,,,,,,,,,,, head scales generally normal for colubrids,,,,,,, 1 temporal,,,, 2 postoculars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, and slightly notched posteriorly without apical pits,,,,, crown strongly arched in profile,,,,moderately slender, 50-64 in males,,,,,,,,,,,,, moderately slender and slightly recurved,,,,,,,,,,,,,,, 479 mm, snout subconical, of head length, pupil round, 1 or 2 nasals, no loreal, 1 preocular, 5th much larger, 132-139 in males, anal plate undivided, of total length in adult males, lanceolate, combined frontal bones nearly one-third again as long as they are broad, parietal bone with well-defined shield, quadrate greatly expanded dorsally, supratemporal reduced, prefrontal as long as it is high, interorbital foramen large, basioccipital process very low, no ventral keel on parasphenoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thamnophis foxi,,,,,, two posterior temporals,,,,,,,, six infralabials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-17-17 dorsal scale rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, center and posterior edge of ventral scales corn yellow overlaid with buff,,,,,,,,,,,,,,,,, 52-64 in males,,,,,,,,,, proportionately longer tail,,, 20-21 maxillary teeth,,,,,,,,, semidivided nasal,,,,,,,,,,,,, 4th and 5th supralabials of nearly equal size, 133-139 in males, undivided anal plate, in males,,,,,,,,,, discrete loreal scale, longer anterior than posterior genials, proportionately longer muzzle, pair of dark paravertebral stripes, no light lateral stripe, no dorsal scale row reduction, dorsal pattern with 1 pale stripe and 4 dark stripes on a grayish brown or olive brown ground color, decreasing slightly in size posteriorly, rows 5 and 6 gray stone, vertebral row gray with yellow pigment at anterior end of each scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ameiva ameiva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, frontal usually single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, and 10 longitudinal rows,,,,,,,, prefrontal separated from the nasal,,,,,,,,,,,,,,first supraciliary short, homogeneous manual subdigital lamellae, smooth ventrals and subcaudals, males lacking preanal spurs, maximum SVL in males 174 mm, dorsal head scales smooth, frontoparietal and parietal plates in contact with interparietals, usually in single row between supraoculars and supraciliaries, usually subequal to first dorsal row,32 anterior gulars, less often only moderately enlarged,16 posterior gulars between antegular and gular folds, enlarged mesoptychial scales subequal or larger than largest gulars, postbrachials moderately to distinctly enlarged, 339 scales between interparietals and base of tail,187 dorsal scales across mid-body, with pale lateral ocelli, throat in adults cream colored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hebius modestus,,,,,, 1 or rarely 2 anterior temporals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19-19-17 dorsal scale rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, head moderately distinct from the neck,,,,,122,,,,,,,,,,,,,30,,,,,,,,,,,,, venter pale ochre-brown or pale brown on a wide central area,,,, eye large,,,,,,163,, tail long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, barely or weakly keeled at midbody and on the posterior part of the body, smooth on 1st DSR, last two moderately enlarged,32 in males, prefrontal scales 2, rectangular and elongate, broadly edged with dark brown or blackish on the outer quarter of ventrals, rarely entirely dark except on its most anterior part, brown or dark brown, dorsum usually scattered with blackish-brown or black spots or blotches, orange-brown or reddish-brown stripe, no postocular streak, pale yellowish-brown streak on the sides of the neck before the dorsolateral stripe, plus a streak on the nape behind the parietals,TL and number of subcaudals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hebius octolineatus,,,, internasals narrowed anteriorly,,,,,,,,,, infralabials nine or ten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, dorsal scales rows 19-19-17,,,,,,, postoculars three,,,,,,,,,,, not entering orbit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, paired,,,,,, nostrils lateral,,,,,,,,,,,,,,,, nasal divided,,,,,,,,,,, loreal almost quadrilateral, preocular one or two, supralabials usually eight,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, higher than wide, first pair in contact with each other,fifth infralabials in contact with anterior chin shields, mental triangles, dorsal scale rows reduced from 19 to 17 at position of third and fourth dorsal scale rows and from 81st to 86th ventrals, anal divided, two yellow and two grayish-black, formed by outer edges of ventral shields, and venter pale yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hebius parallelus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17 dorsal scale rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22 maxillary teeth,,,,,,,,,,,,,,,,,,,,,, spotted,173 ventrals,,,,,,,,,,,,,,,,,,,, producing a very irregular ventrolateral stripe,,,,,,,,,,,,,,,,,,,,9th dorsal and vertebral scale rows,,,,,,,, dark reddish-brown or probably dark chestnut-brown in life,, dorsolateral stripe, blackish-brown postocular streak extending from behind the eye to the corner of the mouth,,,,,,,,,,,,,dark dorsal background in life, more or less dark greyish-brown or dark yellowish-grey in preservative, narrowly edged on its both sides with dark brown or black,7th dorsal scale rows from the occipital region along the whole of the body, many dorsal scales longitudinally edged with dark brown, producing a faint reticulation or irregular streaks, upper edge of scales of the 1st dorsal scale row and lower edge of those of 2nd row blackish-brown, usually separated by a wide gap from the dark line edging the lower side of the dorsolateral stripe, no chevron on the upper part of the neck, beige or yellowish-brown, with the outer edge of ventral tips blackish-brown, the last two moderately enlarged and separated from anterior teeth by a distinct diastema, smooth or at best feebly keeled 1st dorsal row,,,,,,,,,,,,,,
Hebius sauteri,,,,,,3,,,,,,,, mostly edged with black at their posterior border,,,,,,,,,,,,,,,,,,,,,,,,, much longer than width,,,,,,,,,,,, rarely 4,,,,,,,,,,,,,,,,, embedded into parietal posteriorly,,,,,,,133,,,,,,, all weekly keeled or smooth at outmost one or two rows,,,,,,,,,, paired,,,,,,,,,,,,, without diastema,,,,, pupil round,,,,2nd supralabials,,,,,,,,,,, rarely divided, occasionally two,3rd touches the loreal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, posterior pair longer,,,,,,,,,,,,,,,,,,,,body size small to medium, maximum ToL 455 mm, dorsal scales rows 17-17-17, single white to orange stripe extended from angulus oris to neck, with or without single series of white spots or short band on lateral, head moderately distinct from neck, visible from above, not in contact with loreal, preocular and supraocular posteriorly,,,,,
Hebius venningi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17 dorsal scale rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,,,,,,,,,,,, head moderately distinct from the neck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, clouded venter posteriorly,,,, eye rather large,,,,,,,,30,,,,,,,,,,,,,,,, usually vanishing after midbody,,,,,,,,,,,,,,,,,,,,,,,,,, prefrontal scales 2,,,,,,, a dark postocular streak usually present,,,length of the portion of tail with 4 dorsal scale rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, scales around the base of the tail strongly keeled, the last two moderately enlarged,129, narrowing anteriorly, and an ochre-yellow or yellowish-brown streak on each side of the neck and nape forming an incomplete collar
