family,trait,attribute,count
Pythonidae,species,glossy black or deep reddish-brown hood,1
Pythonidae,Largest specimen,3023 mm,1
Pythonidae,head size,1.5-2.1 times as long as wide,1
Pythonidae,Rostral size,1.5-2.0 times as wide as high,1
Pythonidae,pairs of prefrontals,two,1
Pythonidae,loreal,one,1
Pythonidae,preoculars,two,1
Pythonidae,postoculars,three or four (mostly four),1
Pythonidae,anterior temporals,"3, 4, 5 or 6",1
Pythonidae,upper labials,"10, 11 or 12",1
Pythonidae,lower labials,"14, 15, 16, 17 or 18",1
Pythonidae,ventral,315-359,1
Pythonidae,Subcaudals,"63-69, mostly entire",1
Pythonidae,ventral plus subcaudals,380-427,1
Pythonidae,scale rows at midbody,50-60,1
Pythonidae,scale rows at neck,"37-46, decreasing by 6-17",1
Pythonidae,scale rows at tail,"35-37, decreasing by 15-20",1
Pythonidae,head color,glossy black or deep reddish-brown,1
Pythonidae,back color,light brown to reddish-brown,1
Pythonidae,bands,"dark brown to black, irregular, 2-4 scales wide",1
Pythonidae,ventrals and subcaudals,creamish,1
Pythonidae,bands,vague blotches and smudges on ventrals and subcaudals,1
Pythonidae,head of juveniles,black or dark reddish-brown,1
Pythonidae,dark hood,absent,1
Pythonidae,Largest specimen,2260 mm,1
Pythonidae,Head size,1.2-2.0 times as long as wide,1
Pythonidae,Rostral size,1.0-2.0 (mostly 1.5) times as wide as high,1
Pythonidae,prefrontals,two pairs,1
Pythonidae,loreals,2 (rarely 3),1
Pythonidae,Preoculars,"1 (4% of specimens), 2 (91% of specimens) or 3 (5% of specimens)",1
Pythonidae,Postoculars,3 - 6,1
Pythonidae,Anterior temporals,4 - 9,1
Pythonidae,Upper labials,11 - 14,1
Pythonidae,Lower labials,14,1
Pythonidae,Ventral,273-304,1
Pythonidae,Subcaudals,43-53,1
Pythonidae,Ventral plus subcaudals,317-346,1
Pythonidae,Scale rows at midbody,43-63,1
Pythonidae,Scale rows at neck,32-42,1
Pythonidae,Scale rows before vent,33-51,1
Pythonidae,"Adult head, body, & tail color",uniform brown,1
Pythonidae,Ventral color,yellow with irregular pinkish-brown markings,1
Pythonidae,Juvenile supraoculars and snout tip color,dark brownish-black,1
Pythonidae,Juvenile back and top of tail color,pale brown with many dark brown bands,1
Pythonidae,Juvenile ventrals color,brown,1
Pythonidae,Rostral,"about twice as broad as deep, not visible from above",1
Pythonidae,internasals,"more broad than long, two fifths to one third the length of the prefrontals",1
Pythonidae,praefrontals,one pair,1
Pythonidae,frontal,as long as broad or a little more long,1
Pythonidae,parietals,two pair,1
Pythonidae,loreal,small,1
Pythonidae,praeocular,one large,1
Pythonidae,postoculars,two (three),1
Pythonidae,upper labials,nine to twelve,1
Pythonidae,posterior lower labials,three or four,1
Pythonidae,Scales,in 35-39 rows,1
Pythonidae,ventral,245-267,1
Pythonidae,anal,entire,2
Pythonidae,subcaudals,47-52,1
Pythonidae,Body color,Brown with black rings or uniform blackish-brown,1
Pythonidae,Spot behind the eye,light,1
Pythonidae,Young specimens,with black and orange rings,1
Pythonidae,Length of head and body,830 mm,1
Pythonidae,Tail,120 mm,1
Pythonidae,Largest specimen known,1540 mm,1
Pythonidae,pairs of parietals,two,1
Pythonidae,large scales,separate from median line,1
Pythonidae,postocular spots,whitish,1
Pythonidae,Dorsal color,lighter,1
Pythonidae,Flank,yellowish,1
Pythonidae,average body size,smaller,1
Pythonidae,Average subcaudal,"71.5 +/- 2.85 range = 65�79, N = 30",1
Pythonidae,Supralabial scale counts,"12.9 +/- 0.28; range = 12�13, N = 30",1
Pythonidae,Number of supralabials entering the eye,3.0 +/- 0.18,1
Pythonidae,Dorsal color,dark yellow or golden,1
Pythonidae,Parietal scale pairs,generally two,1
Pythonidae,Head size relative to the body,shorter and narrower,1
Pythonidae,Number of dorsal midbody rows and ventral scales,"259�283 versus 258�275, respectively",1
Pythonidae,Head,black or dark brown dorsally,1
Pythonidae,Jaws,white ventrally with thin black bars,1
Pythonidae,Body,dark yellow or golden dorsally,1
Pythonidae,Ventral surface color,white or cream,1
Pythonidae,Head and body,strongly iridescent,1
Pythonidae,labials entering the orbit,only two,1
Pythonidae,Ventral scale counts,lower,1
Pythonidae,posterior parietals,large and wide,1
Pythonidae,Scale arrangement,"small, irregular scales posterior to the parietal scales",1
Pythonidae,Ventral scale counts,lower average,1
Pythonidae,Rostral,more broad than deep,1
Pythonidae,internasals,more long than broad,1
Pythonidae,praefrontals,half the length of praefrontals,1
Pythonidae,frontal,"about one time and a half as long as broad, slightly shorter than its distance from the tip of the snout",1
Pythonidae,parietals,one or two pair,1
Pythonidae,loreal,single large,1
Pythonidae,prae-postoculars,one prae- and two postoculars,1
Pythonidae,upper labials,"ten to twelve upper labials, first with a shallow pit",1
Pythonidae,posterior lower labials,three or four posterior lower labials pitted,1
Pythonidae,scales,in 47 or 49 rows,1
Pythonidae,ventrals,275-291,1
Pythonidae,Anal,entire,3
Pythonidae,subcaudals,65-72,1
Pythonidae,Body color (above),Brown,1
Pythonidae,Body color (below),yellowish,1
Pythonidae,length of head and body,1 140 mm,1
Pythonidae,tail,190 mm,1
Pythonidae,Head,"distinct from neck, covered with symmetrical shields",1
Pythonidae,Nostril,in a semi-divided nasal,1
Pythonidae,Internasals,"a pair, separating the nasals",1
Pythonidae,Rostral and upper labials,pitted or without pits,1
Pythonidae,Lower labials,some pitted,1
Pythonidae,Eye,rather small,1
Pythonidae,Body,"cylindrical or little compressed, small smooth scale",1
Pythonidae,Tail,"moderate or short, not or very slightly prehensile",1
Pythonidae,Subcaudals,in two rows or the greater part only,1
Pythonidae,Rostral,"more broad than deep, scarcely visible from above, with a feeble pit on each side",1
Pythonidae,Internasals,a little more long than broad,1
Pythonidae,Praefrontals,"separating the posterior, smaller pair of",1
Pythonidae,Frontal,"about one time and a half as long as broad, as long as its distance from the tip of the snout",1
Pythonidae,Parietals,"a pair, followed by smaller shields",1
Pythonidae,Loreal,large,1
Pythonidae,Upper labials,"eleven, first and second pitted, fifth and sixth entering the eye",1
Pythonidae,Lower labials,"five posterior, pitted",1
Pythonidae,Scales,49 -55 rows,1
Pythonidae,Ventrals,267-302,1
Pythonidae,Subcaudals,64--49,1
Pythonidae,Top color,Brown,1
Pythonidae,Top Color,"scattered, small, yellowish and dark brown spots",1
Pythonidae,Lower surface color,yellowish or brownish,1
Pythonidae,Length of head and body,1420 mm,1
Pythonidae,Tail length,260 mm,1
Pythonidae,Rostral,"visible from above, slightly longer than broad",1
Pythonidae,Sensory pits on Rostral,a pair of oblique,1
Pythonidae,Supralabials,"14, Seventh and eighth entering orbit, first three with prominent sensory pits, fourth with an obscure elongate mark",1
Pythonidae,Infralabials,"20, ninth to fifteenth with deep rectangular sensory pits",1
Pythonidae,Internasl and postinternasal scutes,unfragmented and obvious,1
Pythonidae,Head scutes,fragmented into small subequal scales,1
Pythonidae,Orbit,orbited by 15 scales,1
Pythonidae,Scales in median line between orbits,11,1
Pythonidae,Mental groove,bordered by 12 scales on each side,1
Pythonidae,Dorsal scales,"smooth, weakly imbricate, rhomboidal posteriorly; first row large, slightly more than half as broad as ventrals",1
Pythonidae,ventrals,293,1
Pythonidae,Subcaudals,"90, all divided",1
Pythonidae,Maxillary teeth,"7 on right maxilla (estimated nine missing), 8 on left (estimated eight missing), estimated total maxillary teeth 16",1
Pythonidae,Palatine teeth,"6 on left (estimated four missing), 10 on right (intact series)",1
Pythonidae,Dentary teeth,"10 on left (estimated six missing), 16 on right (intact series)",1
Pythonidae,Dorsal coloration,"reddish to dark brown with numerous irregular, pale fawn to yellow, dark edge blotches, stripes and bars",1
Pythonidae,Vental surface,"creamish white, posterior ventral irregularly edged with black on anterior margins and sides",1
Pythonidae,Head coloration,"same as dorsum; supralabial area creamish, with brown blotches",1
Pythonidae,Infralabials and gulars coloration,as for ventral surface,1
Pythonidae,Hatchlings,brighter colouration,1
Pythonidae,Dorsal patterning of Northern Territory P. s. variegatus,indistinct patterning,1
Pythonidae,Median ventrals scale rows,54,1
Pythonidae,Dorsal scales at fifteenth ventral,46,1
Pythonidae,Dorsal scales 15 ventral anterior to cloaca,26 rows,1
Pythonidae,Cloacal spurs,present,2
Pythonidae,Tooth on left side of premaxilla,one,1
Pythonidae,Tooth on right side of premaxilla,missing,1
Pythonidae,Ventral,half as broad as dorsal scales,1
Pythonidae,dorsal scales,keeled,1
Pythonidae,tail,not prehensile,1
Pythonidae,Rostral,"angular apex, a pair of oblique sensory pits",1
Pythonidae,internasals,separated by 2 small median scales,1
Pythonidae,Anterior prefrontals,broken into 4 symmetric parts,1
Pythonidae,Frontal,oval (9 x 8 mm),1
Pythonidae,supraoculars,four,1
Pythonidae,Loreals,"small, numerous",1
Pythonidae,Upper labials,14 and 15,1
Pythonidae,Lower labials,16 and 17,1
Pythonidae,Mental groove,deep,1
Pythonidae,Ventrals,298,1
Pythonidae,Subcaudals,83,1
Pythonidae,Scale rows at midbody,45,1
Pythonidae,Scale rows at neck,41,1
Pythonidae,Scale rows at tail,30,1
Pythonidae,Dorsal imbricate,"scales in first and last 4 or 5 rows smooth, remainder with a short, blunt keel",1
Pythonidae,Total length,1975 mm,1
Pythonidae,SVL,"1760 mm, tail 215 mm",1
Pythonidae,Tail percentage of SVL,12.2%,1
Pythonidae,Head color,brownish,1
Pythonidae,Ground color of dorsum,brownish -white with dark brown variegation and blotches,1
Pythonidae,Ventrals color,"mostly off-white, every second to fifth smudged brown",1
Pythonidae,lineage,endemic to northern Australia,1
Pythonidae,snakes,"slender, long",1
Pythonidae,adults,up to over 4 meters in total length,1
Pythonidae,coloration,pale brownish to olive,1
Pythonidae,longitudinal rows of large dark blotches,no adjective,1
Pythonidae,"nasal, internasal, anterior pre-frontals, supraocular and frontal symmetrical head shields",enlarged,1
Pythonidae,posterior prefrontals,usually several smaller asymmetrical scales,1
Pythonidae,Heat pits,present,1
Pythonidae,"rostral, first three supralabials and posterior infralabial scales",no adjective,1
Pythonidae,ventral scales,over 400,1
Pythonidae,elongate pythons,large,1
Pythonidae,tails,strongly prehensile,1
Pythonidae,anterior labials,deeply pitted,1
Pythonidae,parietal shield formation and dorsal head scale,almost total fragmented,1
Pythonidae,loreals,fragmented,1
Pythonidae,body scales,"smooth, in 70 rows",1
Pythonidae,ventral scutes,about 425 to 450,1
Pythonidae,anal scale,entire,1
Pythonidae,subcaudals,155 to 165,1
Pythonidae,reproduction,oviparous,1
Pythonidae,maximum size,around 5 metres,1
Pythonidae,This genus (Morelia spilota),large size,1
Pythonidae,Adult lengths,> 2 m to 5.5 m,1
Pythonidae,Thermoreceptive pits on supralabials and rostral (in Simalia),"two large, deep",1
Pythonidae,Subloreal scales (in Simalia),no adjective,1
Pythonidae,Loreal scales (in Simalia),> 4,1
Pythonidae,Prehensile tail (Simalia),strongly,1
Pythonidae,Head scalation (in Simalia),large plate-like,1
Pythonidae,Frontal (in M. carinata),"single, round",1
Pythonidae,Morelia spilota (this species),medium to large python,1
Pythonidae,Ventral scales (in this species),"longitudinally split, half, transversely divided, remnant or partially inserted, incompletely formed",1
Pythonidae,Dorsal scales (in this species),more rhomboidal-shaped,1
Pythonidae,Dorsal color pattern (in Morelia mippughae sp. nov.),"pale reddish brown, with broad transverse black-edged patches",1
Pythonidae,Top of the back (in Morelia mippughae sp. nov.),a wide pale lateral zone for about a third of its length,1
Pythonidae,Species difference (Morelia mippughae sp. nov.),"coloration and patterns, comparative DNA properties, and distribution",1
Pythonidae,Size of posterior dorsals (in P . spilotus imbricatus),"less imbricate, rhomboidal (not lanceolate)",1
Pythonidae,Ventrals and subcaudals (in this species),259-294 (mean 280) and 75-89 (mean 84.1),1
Pythonidae,Sum of ventrals plus subcaudals (in this species),336-385 (mean 364),1
Pythonidae,juvenile morph,yellow,1
Pythonidae,vertebral scales,"white, tightly knitted row",1
Pythonidae,vertebral ridge,"white �rosettes� in the Aru Islands population, dark shade of green along the vertebral ridge",1
Pythonidae,tail,"short, stubby, long, tapering",1
Pythonidae,subcaudal scale counts,"lower, high",1
Pythonidae,iris band,"single, running horizontally through the eye, triple",1
Pythonidae,tail tip,darkened,1
Pythonidae,pattern following vertebral ridge,"broken, continuous",1
Pythonidae,color change in adulthood,"relatively rapid, uniform green, delayed with variable coloration",1
Pythonidae,dorsum of the head,same color as the body,1
Pythonidae,Two stripes,a yellow one with a black one beneath it,1
Pythonidae,upper and lower labials,pale,2
Pythonidae,venter,whitish,2
Pythonidae,nasal,may be single or divided,1
Pythonidae,preoculars,4-5,1
Pythonidae,postoculars,2 or more,1
Pythonidae,supraoculars,1 or more,1
Pythonidae,suboculars,2-3,2
Pythonidae,perioculars,15-18,1
Pythonidae,interoculars,about 10,1
Pythonidae,upper labials,12-15,1
Pythonidae,upper labials with sensory pits,4-5,1
Pythonidae,lower labials,15-16,1
Pythonidae,Dorsal scales,arranged in 55-61 straight rows,1
Pythonidae,ventrals,253-267,1
Pythonidae,divided subcaudals,46-57,1
Pythonidae,cloacal scale,may be single or divided,2
Pythonidae,Top of body color,brownish grey,1
Pythonidae,longitudinal dark blotches,"irregular sub-rectangular, sometimes as broad as body",1
Pythonidae,flanks,have a longitudinal series of large blotches with black edges,1
Pythonidae,sides of snout,have dark stripes,1
Pythonidae,post-ocular pattern,"comprises black triangular blotches, widening to 4-6 scales at angle of jaws and coalescing with anterior labial blotch of neck",1
Pythonidae,post-ocular stripe,pale with dark smudges,1
Pythonidae,chin and belly colors,plain cream or white,1
Pythonidae,Body shape,short and robust,1
Pythonidae,Head,"elongate, flat and distinct from neck",1
Pythonidae,vertebral region,ridged,3
Pythonidae,Tail,short,1
Pythonidae,cloacal spurs,present,4
Pythonidae,"Maxillary, palatine and pterygoid bones",movable,1
Pythonidae,trans-palatine,present,1
Pythonidae,pterygoid,extending to quadrate or mandible,1
Pythonidae,supratemporal,"present, attached scalelike to skull, suspending quadrate",1
Pythonidae,Both jaws,with teeth,1
Pythonidae,anterior teeth of both jaws,elongated and curved,1
Pythonidae,coronoid,present,1
Pythonidae,vestiges of pelvis and legs,terminating in a clawlike spur visible on each side of vent,1
Pythonidae,Head,with enlarged scales,1
Pythonidae,part of labials,bearing pits,1
Pythonidae,scales,"numerous, in 60-75 scalerows",1
Pythonidae,Body,"thick-bodied, smooth-scaled",1
Pythonidae,Head,broader than neck,1
Pythonidae,snout tip and first two upper lip scales,have heat sensitive pits,1
Pythonidae,upper surface of eye,vertical pupil,1
Pythonidae,scale of head,large scales of different shapes and sizes,1
Pythonidae,Body color,Yellowish to brown,1
Pythonidae,Blotches,"asymmetrical dark brown, black-edged",1
Pythonidae,Arrowhead mark,indistinct in adults,1
Pythonidae,Tongue and parts of head color,pale pink,1
Pythonidae,Streaks on side of head,two dark,1
Pythonidae,Underside,white or yellowish,1
Pythonidae,Scales,"60-75 rows, smooth",2
Pythonidae,Ventral,"253-270, distinctly narrower than width of belly",1
Pythonidae,anal,undivided,2
Pythonidae,subcaudals,"58-73, paired",1
Pythonidae,Rostral and first 2 supralabials,pitted,1
Pythonidae,supralabials,11-13 (6th or 7th touching eye),1
Pythonidae,Dark patch in front of and posterior to the eye,"paler, narrower",1
Pythonidae,Overall coloration,drabber,1
Pythonidae,Scales on the dorsum of the head,small and medium sized,1
Pythonidae,Nasal,may be single or divided,1
Pythonidae,Preoculars,2-3,1
Pythonidae,Postoculars,3-4,1
Pythonidae,Supraoculars,2-3,1
Pythonidae,Suboculars,variable number,1
Pythonidae,Perioculars,8-13,1
Pythonidae,Interoculars,6-10,1
Pythonidae,Upper labials,10-16,1
Pythonidae,Sensory pits,"on two of the upper labials, smaller ones on three of the lower labials",1
Pythonidae,Lower labials,17-20,1
Pythonidae,Dorsal scales,arranged in 76-99 straight rows,1
Pythonidae,Ventrals,260-291,1
Pythonidae,Divided subcaudals,63-84,1
Pythonidae,Cloacal scale,may be single or divided,1
Pythonidae,dorsal coloration,dark,1
Pythonidae,pattern on dorsum,large round or oval yellow spots outlined in black,1
Pythonidae,dorsum of the head,black,1
Pythonidae,stripe from nostril to eye,yellow,1
Pythonidae,stripes posterior to the eye,yellow,1
Pythonidae,nasal,single,1
Pythonidae,preoculars,2-4,2
Pythonidae,postoculars,3-4,2
Pythonidae,supraoculars,1-2,2
Pythonidae,upper labials,"9-12(5) or (5,6) or (6)",1
Pythonidae,upper labials with sensory pits,Three or four,1
Pythonidae,lower labials,15 or so,1
Pythonidae,dorsal scales,arranged in 51-63 straight rows,1
Pythonidae,ventrals,191-207,1
Pythonidae,divided subcaudals,28-37,1
Pythonidae,Adult total length,reportedly to 10 m,1
Pythonidae,Supralabial thermoreceptive pits,less well defined,1
Pythonidae,Infralabial pits,set in a longitudinal groove,1
Pythonidae,suborbital supralabial region,similar to the rest of the supralabials,1
Pythonidae,Medial anterior process of the ectopterygoid,elongate,1
Pythonidae,Suborbital portion of the maxilla,without any lateral flare or projection,1
Pythonidae,Mandibular foramen of the compound bone,lies below the posterior end of the dentary tooth row,1
Pythonidae,frontal,large medially divided,1
Pythonidae,Midbody scale count,54 or more,1
Pythonidae,anterior supralabials,"4, deeply pitted",1
Pythonidae,anterior infralabials,"2 or 3, feebly pitted",1
Pythonidae,posterior infralabials,"5 or 6, feebly pitted",1
Pythonidae,supra-labial touching the eye,6th or 7th,1
Pythonidae,Scales,70 to 80 rows,1
Pythonidae,V,297-332,1
Pythonidae,C,75-102,1
Pythonidae,Light brown or yellowish,"color above with a dorsal series of large darker brown, circular, oval or rhomboidal spots",1
Pythonidae,Spot,edged with black and outside again with yellow,1
Pythonidae,Vertical bars or V-shaped upon marks,each one of which encloses a white spot,1
Pythonidae,Whitish or yellowish below,the outer scale rows spotted or dappled with brown,1
Pythonidae,Black streak,along the middle of the head,1
Pythonidae,Black streak,one on each side from the eye to the angle of the jaw,1
Pythonidae,Total length,It reaches a length of 27 or 28 feet,1
Pythonidae,coloration,dark,1
Pythonidae,dorsal pattern,"black, brown, and yellow, round, oval or irregular blotches with dark centers and pale edges",1
Pythonidae,stripe on the sides of the head,yellow,1
Pythonidae,blotch on the side of the head,"broad, dark",1
Pythonidae,upper labials,dark with pale edges,1
Pythonidae,lower labials,pale,1
Pythonidae,venter,whitish with dark spots,1
Pythonidae,scales on dorsum of the head,medium and large sized,1
Pythonidae,nasal,semi-divided,1
Pythonidae,perioculars,9-12,1
Pythonidae,interoculars,4,1
Pythonidae,upper labials,"11-17, none of which is in contact with the eye",1
Pythonidae,sensory pits,"on two of the upper labials, and smaller ones on three of the lower labials",1
Pythonidae,lower labials,15-23,1
Pythonidae,dorsal scales,arranged in 71-99 straight rows,1
Pythonidae,ventrals,259-294,1
Pythonidae,divided subcaudals,55-80,1
Pythonidae,cloacal scale,usually single but sometimes divided,1
Pythonidae,Rostral,as broad as deep,1
Pythonidae,Rostral,just visible from above,1
Pythonidae,Rostral,with a deep pit on each side,1
Pythonidae,internasals,much more long than broad,1
Pythonidae,internasals,as long as the anterior praefrontals,1
Pythonidae,praefrontals,a second pair,1
Pythonidae,loreal region,covered with small shields,1
Pythonidae,praocular,a large and a small,1
Pythonidae,postoculars,three,1
Pythonidae,upper labials,twelve,1
Pythonidae,upper labials,four anterior deeply pitted,1
Pythonidae,sixth upper labial,entering the eye,1
Pythonidae,lower labials,five,1
Pythonidae,lower labials,pitted,1
Pythonidae,scales,in 60 rows,1
Pythonidae,ventrals,288,1
Pythonidae,subcaudals,22+,1
Pythonidae,last 9 subcaudals,single,1
Pythonidae,Body color,reddish-brown,1
Pythonidae,body color,with blotches of dark scales,1
Pythonidae,head,with a median dark line,1
Pythonidae,lower surface,yellow,1
Pythonidae,length of head and body,793 mm,1
Pythonidae,tail,45 mm,1
Pythonidae,Top of body,"red, reddish brown, charcoal-grey, pale grey, brown",1
Pythonidae,stripe along middle of forehead,"narrow, dark",1
Pythonidae,supralabials,dark,1
Pythonidae,post-ocular stripe,"pale, narrow",1
Pythonidae,dorsal pattern,vertebral spots,1
Pythonidae,blotches on flanks,"rounded, dark, set within paler areas",1
Pythonidae,belly,"anteriorly cream and posteriorly dark, with grey smudges and blotches",1
Pythonidae,Body,short and robust,1
Pythonidae,head,"elongate, flat and distinct from neck",1
Pythonidae,tail,short,2
Pythonidae,dorsal colour,"brown, orange, red or yellow",1
Pythonidae,blood pythons at hatching,brown or orange-brown,1
Pythonidae,adult colours,gradually developed,1
Pythonidae,red snakes,substantially larger and heavier than yellow snakes,1
Pythonidae,ventral scale count,>167 in P. brongersmai but <165 in the other forms,1
Pythonidae,top of body,pale yellow or tan,1
Pythonidae,blotches on top of body,"dark, sub-rectangular, about as wide as body, becoming darker towards tail",1
Pythonidae,dark top,turns black posteriorly,1
Pythonidae,pale spots on vertebral region,"scattered, more numerous at back of body, elongate, form a vertebral stripe",1
Pythonidae,black stripe,"between internasals and occipital, fusing with dark pattern on neck",1
Pythonidae,sides of head,"darker than forehead, with dark flecks and a broad dark post-ocular stripe",1
Pythonidae,post-ocular stripe,"pale, runs to angle of jaws",1
Pythonidae,chin and belly,"plain cream, sometimes with brown spots",1
Pythonidae,body,short and robust,1
Pythonidae,head,"elongate, flattened and distinct from neck",1
Pythonidae,eyes,small with a vertical pupil,1
Pythonidae,some infralabials,have weak pits,1
Pythonidae,anterior parietals in P. breitensteini,broadly in contact,1
Pythonidae,L. meridionalis,"dark grey, brown, black",1
Pythonidae,postocular scales,absence of small specks of white patterning,1
Pythonidae,parietal scales,single pair,1
Pythonidae,dorsal midbody scales,higher mean number,1
Pythonidae,ventral scales,fewer,1
Pythonidae,L. meridionalis body length,longer and wider head,1
Pythonidae,L. meridionalis,larger maximum body size,1
Pythonidae,L. meridionalis,"> 2.5 m in total length, ~ 3.5 kg in mass",1
Pythonidae,L. meridionalis head,black dorsally,1
Pythonidae,Jaws of L. meridionalis,"white ventrally, thin black bars on the anterior edges of the supralabial and infralabial scales",1
Pythonidae,L. meridionalis body,"dark grey, brown to black, becomes lighter laterally, fading to white or cream on the ventral surface",1
Pythonidae,L. meridionalis head and body,strongly iridescent,1
Pythonidae,Leiopython hoserae parietals,only one pair,1
Pythonidae,Leiopython hoserae dorsal midbody rows,lower average number,1
Pythonidae,Leiopython hoserae,no whitish postocular spot,1
Pythonidae,Leiopython hoserae,"larger adult and hatchling body size, darker in color",1
Pythonidae,Leiopython hoserae loreals and prefrontals,distinctive number,1
Pythonidae,Leiopython bennettorum,"higher loreal scale count, second pair of small lateral prefrontals",1
Pythonidae,Leiopython bennettorum,higher midbody scale row and postocular scale counts,1
Pythonidae,Leiopython bennettorum,"only one pair of parietals, absence of the whitish postocular spot",1
Pythonidae,Leiopython montanus,"higher loreal scale count, second pair of small lateral prefrontals",1
Pythonidae,Leiopython fredparkeri,"absence of the whitish postocular spot, higher infralabial counts, lower ventral counts",1
Pythonidae,labials,separated from eye by sub-oculars,1
Pythonidae,Arrow-shaped mark on head,distinct,1
Pythonidae,Top of body color,dark brown or yellowish grey,1
Pythonidae,Series of patches on top and sides of body,"30-40, large, irregular squarish, black-edged, dark chocolate-grey",1
Pythonidae,Dorsal and lateral spots,dark and dark grey,1
Pythonidae,sub-ocular stripe,no adjective,1
Pythonidae,Belly color,grey with dark spots on outer scale rows,1
Pythonidae,"Body, head shape","thick and cylindrical, lance-shaped",1
Pythonidae,Neck,distinct from head,1
Pythonidae,sensory pits,present in rostrals and on some supralabials and infralabials,1
Pythonidae,Spurs,small,1
Pythonidae,Tail,short and prehensile,1
Pythonidae,Top surface of head mark,distinct (even in adults),1
Pythonidae,Tongue color,blue-black,1
Pythonidae,Dark streaks on side of head,"one below, the other through/ behind the eye",1
Pythonidae,Underside color,white or yellowish,1
Pythonidae,Ventrals,"245-270, distinctly narrower than width of belly",1
Pythonidae,Subcaudals,"58-73, paired",1
Pythonidae,supralabials,"11-13, separated from eye by suboculars",1
Pythonidae,subocular scale,present,1
Pythonidae,eye-supralabial contact,prevented,1
Pythonidae,ventral scales,180 or more,1
Pythonidae,tan ocelli,present,1
Pythonidae,trunk's middorsal stripe,anteriorly,1
Pythonidae,juvenile morph,"single, yellow",1
Pythonidae,vertebral scales,"white, tightly knitted",1
Pythonidae,vertebral ridge,dark shade of green coloration,1
Pythonidae,tails,"short, stubby",1
Pythonidae,subcaudal scale counts,lower,1
Pythonidae,iris band in juveniles,"single, running horizontally through the eye",1
Pythonidae,tail tip in juveniles,darkened,1
