trait,count
dorsolateral keel development,1
ear,1
elliptical carapace,1
entoplastron,3
entoplastron location,1
epipterygoid extension,1
ethmoid fissure,1
ethmoid fissure shape,1
ethmoidalis fissure,1
exoccipital,1
exposed limb surfaces,1
eye,1
eyelid pigment,1
facial markings,1
facial stripes,1
female carapacial pattern,1
female characteristics,2
female m. macrocephala,1
female plastron,1
femoral mid-seam length,3
fifth vertebral,1
first four vertebrals,1
fore lobe,1
forearm scales,3
foreclaw size,1
forefoot scale size,1
forefoot webbing,1
foreleg scalation,1
foreleg scales,3
forelimb scale shape,1
forelimb webbing,1
forelobe,1
forelobe size,1
four distinct ocelli,1
frontal bone,1
frontal bones,1
growth annuli,2
hatchling,2
hatchling central figure,1
hatchling diagnostic similarity,1
hatchling head and neck color,1
hatchling head and neck stripes,3
hatchling ocellate pattern,2
hatchling plastron color,2
hatchling shell color,2
hatchling throat color,2
hatchling throat pattern,1
head,6
head and neck color,1
head and neck stripes,3
head color,17
head crown color,1
head crown color comparison,1
head features,2
head markings,1
head shape,10
head size,15
head skin,4
head stripe color,1
head stripe presence,1
head surface,1
heel color,1
hexagonal neurals,1
hind leg shape,1
hind limb shape,1
hind lobe,3
hind lobe closure,1
hind lobe length,2
hind lobe shape,2
hind lobe size,1
hind lobe width,1
hind marginals,1
hindfoot heel scale size,1
hindfoot webbing,1
humero-pectoral seam,5
humero-pectoral seam angle,3
inferior parietal process,1
infraorbital stripe,2
infraorbital stripe extension,1
infraorbital stripe length,1
infraorbital stripe shape,1
infraorbital stripes,1
ingual scute size,1
inguinal buttress,1
inguinal buttress attachment,1
inguinal buttresses,1
inguinal extension,1
inguinal length,1
inguinal scute length,1
inguinal scute presence,1
inguinal scute size,4
inguinal scutes,4
inguinals,3
interanal seam,2
intergular seam,1
iris color,4
jaw and chin color,1
jaw color,1
jaw serration,1
juvenile coloration,2
juvenile dorsal keel development,1
juvenile dorsal keels,1
juvenile keels,1
juvenile scute pattern,1
keel,1
keel color,1
keel development,1
keel height,1
keel location,1
keel presence,1
keel shape,2
keels,2
knob color,1
lateral edges of the jaws,1
lateral keel,2
lateral keel length,1
lateral keels,4
lateral marginals,4
lateral plastral margins,1
lateral stripes,1
light seams,1
limb and tail color,1
limb color,6
limb scales,1
limb sockets and undersides of the limbs,1
limb webbing,1
limbs,2
limbs and soft parts,1
limbs and tail,1
loreal stripe,1
lower 2/3 to 3/4 of the pleurals,1
lower edge of the upper jaw,1
lower marginal scutes,1
lower triturating surface,1
m. m. kami,1
male carapacial pattern,1
male characteristics,2
male femoral scutes,1
male m. macrocephala,1
male plastron,2
male plastron shape,1
male tail,1
male tail length,1
marginal border,1
marginal color,1
marginal scutes,3
marginal shape,2
marginal stripe,1
marginals,1
margins,1
maximum size,1
medial carapacial keel,1
medial keel,18
medial keel length,1
medial keel shape,1
medial stripe,5
medial vertebral keel development,1
median keel,1
mottled spots,1
mouth color,1
mouth-to-neck stripe,1
nasal stripes,2
neck,1
neck color,2
"neck, limbs, and tail",1
"neck, limbs, and tail color",1
neural bone shape,1
neural bones,3
neural bones length,1
neural bones shape,1
neural elongation,1
neural length,2
neurals,3
nostrils,1
notch above tail,1
nuchal,1
number of keels,1
number of longitudinal keels,1
orbit,1
orbital border,1
orbital stripe,1
orbito-nasal foramen,1
orbito-nasal foramen location,2
orbito-nasal foramen shape,1
palate and tongue color,2
palate color,1
pale streak,1
pangshura sylhetensis,1
parietal blotches,1
plastral buttresses,1
plastral color,1
plastral formula,28
plastral hinge,1
plastral hinges,1
plastral pattern,2
plastron,14
plastron and bridge color,9
plastron anterior lobe,1
plastron anterior lobe shape,1
plastron attachment,1
plastron bridge presence,1
plastron bridges,1
plastron color,19
plastron development,3
plastron formula,4
plastron hinge,1
plastron lacking,1
plastron length,8
plastron notch,1
plastron notching,1
plastron pattern,2
plastron posterior lobe,1
plastron posterior lobe shape,1
plastron presence,1
plastron shape,15
plastron size,4
plastron suturation,2
plastron width,1
"plastron, bridge, and undersides of the marginals color",1
"plastron, bridges, and undersides of the marginals color",1
pleural 4 size,1
pleurals,1
"pointed, projecting corner (marginal scutes)",1
posterior anal notch,2
posterior border,1
posterior border of the anals,1
posterior carapace,1
posterior carapacial marginals,1
posterior dorsal head skin,1
posterior head skin,1
posterior lobe length,1
posterior lobe shape,1
posterior margin,1
posterior margin of the carapace,1
posterior marginal rim,1
posterior marginal serration,2
posterior marginals,2
posterior medial keels,1
posterior neural bones,1
posterior notch,2
posterior part of carapace,1
posterior part of head and temporal region,1
posterior plastral notch,1
posterior projections,2
posterior rim,2
posterior rim serration,2
posteriormost marginals,1
postlagenar hiatus,1
postlagenar hiatus shape,1
postorbital,1
ray pattern,1
recognition,1
round spot,1
scl,2
scute blotch,1
scute markings,1
scutes,1
seam between anal scutes,1
seam between vertebrals 3 and 4,2
seam length,1
sexual dichromatism,1
sexual dimorphism,1
shell elongation,1
shell shape,3
skin color,1
skull,1
skull features,1
skull postorbital bone,1
skull squamosal bone presence,1
skull temporal arch,1
snout,3
snout length,1
snout shape,12
snout spot,1
soft parts,1
spikelike posterior projection,1
spine at the posterior margin of each pleural scute,1
spinelike posterior projection,1
spinelike projection (juveniles),1
squamosal,1
squamosal bones position,1
squamosals,1
stripes,1
stripes or light spots,1
subocular stripe,1
subspecies,1
subspecies separation,1
supracaudal marginals,1
supracaudal plates,1
supraocular stripe,2
supraorbital stripe,1
tail,1
tail color,1
tail features,1
tail length,7
temporal arch,1
temporal blotches,1
temporal region color,2
temporal stripe,1
throat color,1
throat pattern,1
toes,1
toes webbing,1
tongue color,1
toothlike projection presence,1
triturating surface,2
triturating surface of upper jaw,1
triturating surfaces,1
triturating surfaces of the jaws,1
tympanic ring,1
underside of the head and neck,1
undersides of the marginals,2
upper jaw,5
upper jaw color,2
upper jaw medial notch,1
upper jaw notch,1
upper jaw profile,1
upper jaw shape,3
upper surfaces of the marginals,1
vent location,1
vertebral 1,5
vertebral 1 shape,2
"vertebral 1, 2, and 5",1
"vertebral 1, 2, and 5 size",1
"vertebral 1, 3, and 4",1
vertebral 1-3,2
vertebral 2,3
vertebral 2 and 5,1
vertebral 2 shape,1
vertebral 2 size,1
vertebral 2-4,1
vertebral 2-4 shape,1
vertebral 3,3
vertebral 3 and 4,1
vertebral 3 and 4 size,1
vertebral 3 shape,1
vertebral 3-5 shape,1
vertebral 4,5
vertebral 4 shape,2
vertebral 4 size,1
vertebral 5,5
vertebral 5 shape,2
vertebral and pleural scute color,1
vertebral keel,5
vertebral projection,1
vertebral scute,1
vertebral scute shape,1
vertebral scute size,2
vertebral scutes,3
vertebral shape,2
vertebral shields,1
vertebral size,1
vertebrals,7
vertebrals 1 and 5,1
vertebrals 2-4,1
vertebrals 2-5,1
vertebrals shape,1
webbing,1
yellow band,1
yellow bridge,1
yellow line,1
yellow or orange bands,1
yellow orange stripes,1
yellow plastron,1
yellow seam lines,1
yellow stripes,1
yellow to cream-colored stripe,1
yellowish orange stripes,1
yellowish pigment,1
yellowish seam,1
yellowish stripe,1
young,1
young adult carapace and plastron color,1
young individual markings,1
