species,1st and 4th vertebrals,1st and 5th vertebrals,1st vertebral,2d to 4th vertebrals,2d vertebral shape,2nd neural bone,4th vertebral covering,4th-6th neural bones,5th vertebral,6th vertebral,adult carapace color,adult size,adult vertebrals,aged adult carapace and plastron color,anal notch,anal notch shape,anal notch width,anal scute notching,anal scutes,anterior and lateral marginal shape,anterior border of the 4th,anterior lobe length,anterior marginals,anterior part of head,axillary and inguinal buttresses,axillary and inguinal scutes,axillary and inguinal scutes presence,axillary and marginal scutes,axillary attachment,axillary buttress,axillary buttress attachment,axillary buttresses,axillary buttresses attachment,axillary length,axillary scute presence,axillary scutes,batagur kachuga,black bridge,black ovoid shape,bony buttresses presence,border color,bridge,bridge and plastron color,bridge color,bridge dark bar,bridge length,bridge scutes,bridge width,bridges,brown bridge,brownish-red blotch,buttress strength,buttresses,carapace,carapace arching,carapace border,carapace color,carapace color comparison,carapace dorsal surface,carapace features,carapace ground color,carapace height,carapace keel,carapace keels,carapace lateral marginals,carapace length,carapace marginal scutes,carapace pattern,carapace posterior,carapace posterior marginals,carapace posterior serration,carapace rim and keels color,carapace scutes,carapace serration,carapace shape,carapace shape (juveniles),carapace size,carapace texture,carapace widest point,carapace width,carapacial color,carapacial ground color,carapacial scute surface,carapacial scutes,carotid canal,central blotch,cervical scute,cervical scute shape,cervical scute size,chin,chin and throat color,chin color,choanae,choanæ,claw length,cloacal bursae,color,colouration and pattern of shell,comparison with diagnostic characters,costal scutes,costals,crown color,dark color,dark-brown to olive stripe,differential diagnosis,dorsal markings,dorsal shape,dorsal surface color,dorsolateral keel development,ear,elliptical carapace,entoplastron,entoplastron location,epipterygoid extension,ethmoid fissure,ethmoid fissure shape,ethmoidalis fissure,exoccipital,exposed limb surfaces,eye,eyelid pigment,facial markings,facial stripes,female carapacial pattern,female characteristics,female m. macrocephala,female plastron,femoral mid-seam length,fifth vertebral,first four vertebrals,fore lobe,forearm scales,foreclaw size,forefoot scale size,forefoot webbing,foreleg scalation,foreleg scales,forelimb scale shape,forelimb webbing,forelobe,forelobe size,four distinct ocelli,frontal bone,frontal bones,growth annuli,hatchling,hatchling central figure,hatchling diagnostic similarity,hatchling head and neck color,hatchling head and neck stripes,hatchling ocellate pattern,hatchling plastron color,hatchling shell color,hatchling throat color,hatchling throat pattern,head,head and neck color,head and neck stripes,head color,head crown color,head crown color comparison,head features,head markings,head shape,head size,head skin,head stripe color,head stripe presence,head surface,heel color,hexagonal neurals,hind leg shape,hind limb shape,hind lobe,hind lobe closure,hind lobe length,hind lobe shape,hind lobe size,hind lobe width,hind marginals,hindfoot heel scale size,hindfoot webbing,humero-pectoral seam,humero-pectoral seam angle,inferior parietal process,infraorbital stripe,infraorbital stripe extension,infraorbital stripe length,infraorbital stripe shape,infraorbital stripes,ingual scute size,inguinal buttress,inguinal buttress attachment,inguinal buttresses,inguinal extension,inguinal length,inguinal scute length,inguinal scute presence,inguinal scute size,inguinal scutes,inguinals,interanal seam,intergular seam,iris color,jaw and chin color,jaw color,jaw serration,juvenile coloration,juvenile dorsal keel development,juvenile dorsal keels,juvenile keels,juvenile scute pattern,keel,keel color,keel development,keel height,keel location,keel presence,keel shape,keels,knob color,lateral edges of the jaws,lateral keel,lateral keel length,lateral keels,lateral marginals,lateral plastral margins,lateral stripes,light seams,limb and tail color,limb color,limb scales,limb sockets and undersides of the limbs,limb webbing,limbs,limbs and soft parts,limbs and tail,loreal stripe,lower 2/3 to 3/4 of the pleurals,lower edge of the upper jaw,lower marginal scutes,lower triturating surface,m. m. kami,male carapacial pattern,male characteristics,male femoral scutes,male m. macrocephala,male plastron,male plastron shape,male tail,male tail length,marginal border,marginal color,marginal scutes,marginal shape,marginal stripe,marginals,margins,maximum size,medial carapacial keel,medial keel,medial keel length,medial keel shape,medial stripe,medial vertebral keel development,median keel,mottled spots,mouth color,mouth-to-neck stripe,nasal stripes,neck,neck color,"neck, limbs, and tail","neck, limbs, and tail color",neural bone shape,neural bones,neural bones length,neural bones shape,neural elongation,neural length,neurals,nostrils,notch above tail,nuchal,number of keels,number of longitudinal keels,orbit,orbital border,orbital stripe,orbito-nasal foramen,orbito-nasal foramen location,orbito-nasal foramen shape,palate and tongue color,palate color,pale streak,pangshura sylhetensis,parietal blotches,plastral buttresses,plastral color,plastral formula,plastral hinge,plastral hinges,plastral pattern,plastron,plastron and bridge color,plastron anterior lobe,plastron anterior lobe shape,plastron attachment,plastron bridge presence,plastron bridges,plastron color,plastron development,plastron formula,plastron hinge,plastron lacking,plastron length,plastron notch,plastron notching,plastron pattern,plastron posterior lobe,plastron posterior lobe shape,plastron presence,plastron shape,plastron size,plastron suturation,plastron width,"plastron, bridge, and undersides of the marginals color","plastron, bridges, and undersides of the marginals color",pleural 4 size,pleurals,"pointed, projecting corner (marginal scutes)",posterior anal notch,posterior border,posterior border of the anals,posterior carapace,posterior carapacial marginals,posterior dorsal head skin,posterior head skin,posterior lobe length,posterior lobe shape,posterior margin,posterior margin of the carapace,posterior marginal rim,posterior marginal serration,posterior marginals,posterior medial keels,posterior neural bones,posterior notch,posterior part of carapace,posterior part of head and temporal region,posterior plastral notch,posterior projections,posterior rim,posterior rim serration,posteriormost marginals,postlagenar hiatus,postlagenar hiatus shape,postorbital,ray pattern,recognition,round spot,scl,scute blotch,scute markings,scutes,seam between anal scutes,seam between vertebrals 3 and 4,seam length,sexual dichromatism,sexual dimorphism,shell elongation,shell shape,skin color,skull,skull features,skull postorbital bone,skull squamosal bone presence,skull temporal arch,snout,snout length,snout shape,snout spot,soft parts,spikelike posterior projection,spine at the posterior margin of each pleural scute,spinelike posterior projection,spinelike projection (juveniles),squamosal,squamosal bones position,squamosals,stripes,stripes or light spots,subocular stripe,subspecies,subspecies separation,supracaudal marginals,supracaudal plates,supraocular stripe,supraorbital stripe,tail,tail color,tail features,tail length,temporal arch,temporal blotches,temporal region color,temporal stripe,throat color,throat pattern,toes,toes webbing,tongue color,toothlike projection presence,triturating surface,triturating surface of upper jaw,triturating surfaces,triturating surfaces of the jaws,tympanic ring,underside of the head and neck,undersides of the marginals,upper jaw,upper jaw color,upper jaw medial notch,upper jaw notch,upper jaw profile,upper jaw shape,upper surfaces of the marginals,vent location,vertebral 1,vertebral 1 shape,"vertebral 1, 2, and 5","vertebral 1, 2, and 5 size","vertebral 1, 3, and 4",vertebral 1-3,vertebral 2,vertebral 2 and 5,vertebral 2 shape,vertebral 2 size,vertebral 2-4,vertebral 2-4 shape,vertebral 3,vertebral 3 and 4,vertebral 3 and 4 size,vertebral 3 shape,vertebral 3-5 shape,vertebral 4,vertebral 4 shape,vertebral 4 size,vertebral 5,vertebral 5 shape,vertebral and pleural scute color,vertebral keel,vertebral projection,vertebral scute,vertebral scute shape,vertebral scute size,vertebral scutes,vertebral shape,vertebral shields,vertebral size,vertebrals,vertebrals 1 and 5,vertebrals 2-4,vertebrals 2-5,vertebrals shape,webbing,yellow band,yellow bridge,yellow line,yellow or orange bands,yellow orange stripes,yellow plastron,yellow seam lines,yellow stripes,yellow to cream-colored stripe,yellowish orange stripes,yellowish pigment,yellowish seam,yellowish stripe,young,young adult carapace and plastron color,young individual markings
Cuora galbinifrons,,,wide anteriorly and overall is as long as or a little longer than wide,as broad as or broader than long,,,,,much broader posteriorly than anteriorly,,,,,,,,,,,,,,,,short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"high domed, widest just behind the middle, and smooth bordered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,covers the rest of the vertebrals and upper portions of the pleurals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,downturned,,,,,,,,,,,,,"usually plain white, cream, or yellow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abd > an > pect > gul > fem > hum,,,,large and can completely close,,,,,,,"dark brown or black, but some yellow pigment may occur along the seam connecting the carapace and plastron, and the undersides of each marginal may bear yellow spot or border",,,,,,,,,,,,,,,,,,,wider than their corresponding vertebrals,,,,rounded and unnotched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown to olive with lighter mottlings,,,,,,,,,,,,,,,,,,,,,,,,,present in juveniles but disappears entirely in adults,,,,,,,,,,,,,,,,,,,,,,,runs the length of the vertebrals,,,,,,,
Malayemys khoratensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tricarinate, blackish-brown",,,,,,,,,below 20 cm,,,,,,,,,straight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,distinct yellowish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blackish-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,"thin, often discontinuous, never reaches the loreal seam",,,"not or rarely reaching the loreal seam, not broadened at the suture","slightly curved below of tyrosine (t) at positions 111, 387, 388,615, 616 of the 1078-bp-long reference alignment of the cyt b gene",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8–12 with a pattern of diagonal to cone-shaped blackish brown blotches originating from the outer posterior corner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,only two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absence,,,,,,,uninterrupted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,first vertebral scute roughly square and not tapered posteriorly,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuora mccordi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domed,,,,,,"reddish brown with dark seams, a dark wedgelike mark on each marginal, and a yellow border",,,,,,,longer than broad,,,,,,,,,,,,,,,,,,,,,,,to 13.4 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"flared anteriorly and posteriorly, laterally somewhat downturned with reverted rims, and only slightly serrated posteriorly",,,,,most pronounced on vertebrals 2-4,"low, blunt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow with an extensive medial black mark and two black blotches on the yellow bridge,,,,,shallow anal notch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow to orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,,,,extending laterally no farther than the seam separating marginals 1-2,flared anteriorly,,,,,,,longer than wide,,,,,,,,broader than long,,,,,flared,,,,,,,,,,,,,,,,,,,,,,large medial black pattern,,,,,,,,,,
Cyclemys fusca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,see table 3 in fritz et al. 2009,,,,dark coloured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,,,,,,,,,,,,light crown of the head in life with distinct greenish-yellow tinge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,see table 3 in fritz et al. 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclemys oldhamii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rectangular,,,,,,,,,,,,,,,,,,,,,,,,,,,light brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extensive dark,,,distinctive,submarginal seams,brownish,,dark,,,,"absent in adults from the western part of the range, present in adults from the eastern part of the range",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclemys gemeli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,elongated to rectangular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,,,,,,,,,,,,,uniform brown,not lighter coloured than temporal region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclemys enigmatica,,,,,,,,,,,,,,uniform dark brown and black,,,wide and obtuse-angled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uniform brown,,,,,,,,,,,,,,,,,,,,,,,,,,longer than or equal to anal mid-seam,,,,,,,,,,,,,,,,,,,,,uniform dark,,,,"brownish-yellow, mottled with small darker brown specks",,,,,absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pure white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,distinctly lighter coloured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dense black radiating pattern,
Cyclemys atripons,,,,,,,,,,,,,,,,small to wide and acute-angled to obtuse-angled,,,,,,,,,,,,,,,,,,,,,,,,,,,,solid black in some aged adults,,,,,,,,,,,,,light brown,,,,,,,,,,,a similar radiating pattern may occur on the light brown carapace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shorter than or equal to anal mid-seam,,,,,,,,,,,,,,,,,,,,very similar to c. pulchristriata and cannot be reliably distinguished,,wide,ocellate pattern at submarginal seams,"mainly yellow, with few large black spots",,light coloured,,,,,top of the head with small dark specks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wide yellow to salmon stripes or unpatterned light coloured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mainly or entirely yellow,,,,,,,,"if a radiating dark plastral pattern is present, it consists of few thin black lines on each scute",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,elongated in aged adults,ovoid to heart-shaped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wide yellow to salmon stripes,,unpatterned light coloured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclemys dentata,,,,,,,,,,,,,,,,narrow and acute-angled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"darker brown, bridge never black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shorter than anal mid-seam,,,,,,,,,,,,,,,,,,,,,,narrow,,,brownish-yellow,,striped,,,narrower and red-dish coloured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ovoid to heart-shaped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,distinctly striped or mottled with dark pattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclemys pulchristriata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not known to occur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,short wide black lines or stout black specks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuora zhoui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,without black or dark-brown stripe on both sides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-6 times longer than that between the two humerals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,,,large medial yellow pattern and some small marginal yellow patches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extending laterally far beyond or close to the seam separating marginals 1-2,,,,,,,,,,,,,,,,,,,,,,,without or with a part of vertebral keel on carapace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malayemys macrocephala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relatively longer anl and shorter vert5l and pecl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relatively wide at the loreal seam,does not extend or extends only slightly superior to the loreal seam,98%of infsw/hw=0.07-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"relatively longer ppll and abdl, shorter pleu1l and pecl, and greater rlatk values",,,,,,,,,,,,,,,,,,,,,,,four or fewer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuora lineata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dark brown to black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoemyda japonica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sometimes present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valid character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauremys rivulata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,totally black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abd > fern> pect > gul > an > hum,,,,,,,,,,,totally black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siebenrockiella leytensis,,,,,,,,,,,,,,,,,,,,,,,"touching nuchal, extending far anterior to nuchal and about five times as large as nuchal",covered with smooth undivided skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"smooth above, rather flattened, with no trace of a keel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,between eyes,,,,,,,"four on each side normally, much broader than long, much broader than vertebrals",,,,,,,,,slightly farther from eye than eye from end of snout,,,,,,,,,,"rather small, slit diagonally",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eleven on each side,,,,,,,,,,,,,,,,,,,,,,,,,"anterior, separated by a distance equal to or greater than diameter of a single nostril",,"triangular, broadest posteriorly",,,diameter distinctly less than length of snout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deeply notched and serrate,divided into scalelike elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bluntly pointed,,,,,,,,,,,,,,,,,,"not or but slightly notched, partially fused",,,,,,,,,,,,,,,,,,"narrow, with an indistinct short ridge or keel near inner edge",,,,,,"with a distinct hook, slightly bicuspid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"all wider than long (fifth anomalous and very irregular and broken, forming an extra costal between it and fourth costal on left side)",,,,,,,,,,,,,,,,,,,,,,,
Mauremys nigricans,usually broadest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,much smaller than the inguinals,,,,,,,,totally brown,,,,narrower than the length of the posterior plastral lobe,,,,,,,,,"brown to chestnut brown, unmarked",,,,,,,,,to 20 cm,,,,,,,,,"elongated, slightly domed, unserrated posteriorly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brown to mahogany, narrow yellow vermiculations",,,,,"broad, pointed, projecting snout",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,may be upturned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"single, pronounced",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abd > pect >< fem > gul ≥ an > hum,,,,,,,,,,,"yellowish with brown, irregularly shaped markings on each scute",,,,,"elongated, notched posteriorly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broad and ridgeless,,,,,,,,,"medial, anterior concave, not straight",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1, 4, and 5 are broader than long; 2 and 3 may be or are as broad as long",,,,,,,,,,,,,,,,may occur along the marginal seams,,,,,
