trait,count
eye size,0
eyes,9
facial pit,1
faixa negra,1
female,1
female color,1
female dorsal surface color,1
female tail length,1
female total length,1
females,3
first and occasionally second rows,1
first circumocular rings,1
first dorsals,1
first infralabials,2
first pair of genials,1
first supralabial,5
first three rows of scales,1
first three supralabials,1
first upper labial,3
first upper labial separated from nasal,1
first upper labials,1
flanken,1
fleckchen,1
forked,1
four canthal scales,1
fourth supralabial,2
frontal plate,1
frontal region,1
frontal scale,2
frontal scales,1
frontal shield,1
frontals,1
fused,0
gemales,1
general coloration,1
genetic divergence,1
green,1
green colored eye in females,1
ground color,2
groundcolor,1
gular scales,4
gularenreihen,1
gularia,1
gulars,3
h-shaped marking,1
hatchlings,1
head,40
head above,1
head color,3
head coloration,1
head dorsally,1
head length,2
head length/head width,1
head scales,6
head scales keeled,1
head shape,5
head side,1
head size,2
head width,1
hemi-penis,1
hemipenes,18
"hemipenial body ornamented by numerous dense, large, and strongly calcified mesial spines arranged in oblique lines",1
hemipenial body ornamented by numerous mesial spines that increase in size from the center to periphery of the hemipenial body and arranged in oblique lines,1
"hemipenial lobes slim and cylindrical, moderately capitate distally, weakly ornamented toward the apex with large and scarce calyces with weakly spinulate edges",1
hemipenial lobes subconical and ornamented toward the apex by large and dense calyces with spinulate edges,1
hemipenis,6
hemipenis shape,1
hemipenis spines,1
hemipenis tip,1
hl/tr,1
horizontal diameter of the eye,1
horn,1
il,1
il of the first pair,1
"in sulcate view, lateral and mesial spines of the hemipenial body homogeneous in size",1
"in sulcate view, lateral and mesial spines of the hemipenial body variable in size",1
individuals,1
inferior labials,1
inferior temporals,1
infralabial scales,1
infralabials,34
initial rattles,1
inner groove,1
intercanthal scales,1
intercanthals,4
intercanthals and inter-supraoculars,1
interictals,1
internasal scales,3
internasal scales in contact or separated by a single small scale,2
internasalia,1
internasals,24
internasals separated by,1
internasal–prefrontal region and supraoculars,1
interoculabial,1
interoculabials,2
interocular scales,2
interoculars,1
interocunasals,1
interorbital scales,2
interorbitals,1
interpreocular scale,1
interrictals,6
interspaces,1
interstitial skin,3
interstitial skin and under surface of the scales,1
intersulcar region,1
intersupraocular row,1
intersupraocular scales,1
intersupraoculares,1
intersupraoculars,12
interval between successive rhomboids,1
intra-pulmonary bronchus,2
intrapulmonary bronchus,1
intrasupraoculars,1
iris,5
iris color,1
jet black (color 300) c-shaped pattern,1
juveniles,1
juxtaposed scales,1
keeled,1
keeled body scales,0
keeled scales,1
keels,3
keels on body scales,1
kiele,1
kinnschildpaar,1
kopf + rumpf,1
kopfoberseite,1
kopfschuppen,2
labial,0
labials,6
labials 18 above,1
lacunal(s),1
lacunal-supralabial scales contact,1
lacunolabial,1
lacunolabial scale usually present,1
lacunolabials,1
large plates between the anterior portion of the supraoculars,1
last ventral shield,1
lateral,1
lateral blotches of body,1
lateral body blotches,1
lateral color,1
lateral decussation,1
lateral dorsal caudal scales,1
lateral dorsal scales,1
lateral head color,1
lateral rhomboids,1
lateral rumpfschuppen,1
lateral scales,2
lateral series,2
lateral stripe,1
lateral trapezoidal marks,1
lateral white stripe,0
lcd,1
length,2
length of paravertebral stripes,1
light areas,2
light medial spots,1
light stripe,2
lighter green,0
long spines,1
longitudinal rows,5
longitudinal rows of scales at midbody,1
loreal,15
loreal pit,1
loreals,5
low subcaudal counts,1
low ventral counts,1
lower jaw stripes,1
lower labials,2
lower part of the tail color,1
lower parts,1
lower preoculars,1
lower side,1
lower ventral scale count,2
male color,1
males,1
mancha marrom muito escura,1
maxillary fang,1
maximum length,1
maximum size,3
maximum total length,1
maximum transverse head scales,1
median frontal plate,1
median scale,1
median scale rows,1
mental,2
mental scales,1
mesial ventral surfaces become heavily mottled with dark brown pigment toward the tail,1
mid body scale rows,4
mid body scale rows (msr),2
mid-body dorsal rows,1
mid-dorsal scale count,1
mid-dorsal scale rows,1
mid-dorsal scales,1
mid-dorsal zig-zag band,1
midbody dorsal scale rows,3
midbody dorsal scales,1
midbody dorsals,1
midbody lateral rows,1
midbody scale rows,5
midbody scales,2
middle row,1
middorsal blotches,1
middorsal body blotches,1
middorsal dorsal scale rows,1
middorsal region,1
middorsal scale rows,2
middorsal scales,1
minimum scale rows between supraoculars,1
mitochondrial characters,1
mottling,1
msr,6
muzzle,1
narrow lines,1
nasal,8
nasal aperture,1
nasal plate,1
nasal scale,1
nasal separation,1
nasal shield,3
nasal suture,10
nasals,2
nasorostral scales,1
nasorostrals,1
nd4,1
neck,3
neck spots,1
nostril,10
nostril size,1
nucleotides,1
number of half-bands,1
number of rattles,1
number of scales surrounding each eye,1
number of subcaudals in females,1
number of subcaudals in males,1
number of ventrals in females,1
number of ventrals in males,1
oberseite,1
oblique black stripe,1
oblique series of scales,1
occipital and temporal scales,3
occipital scales,3
occipital spots,1
occipital stripe,1
olive horn color,1
one or two postloreal scales,1
one prelacunal scale,1
outermost row of scales,1
overall color,1
p-distance,1
paired,1
paired apical pits,1
paired shields,1
paired subcaudals,1
paired subcaudals in females,1
paired subcaudals in males,1
palatine,1
palatine teeth,4
palatine-pterygoid articulation,4
pale bar,1
pale borders,1
pale green,1
pale line,1
papillae,1
paravertebral stripes,1
parietal,1
parietal region,1
parietal scales,1
parietals,3
pattern,4
pattern of dark grey blotches,1
perioculars,1
pholidosis,1
pigmentation,1
pigments,1
pileus colouration,1
pit,0
plates on head,1
post-ocular stripe,2
post-orbital stripe,1
postcanthal,1
posterior body crossbands,1
posterior border of the supraoculars,1
posterior dorsal scales,1
posterior genial shields,1
posterior scale rows,4
posterior scale rows (psr),2
postfoveals,2
postocular,1
postocular line,1
postocular pale stripe,1
postocular streak,1
postocular stripe,19
postocular stripes,3
postocular white stripe,0
postocularia,1
postoculars,10
postoculars + suboculars,4
postocularstreif,1
postorbital,2
postorbital bone,1
postorbital stripe,3
postorbital stripe width,1
postorbital stripes,2
postrostral scale,1
postsupraloreal scale,1
precoacal pores,10
prefoveals,7
prefrontal bar,1
prefrontals,2
prehensile tail,2
prehensile tail of length (tl),1
prelacunal,4
prelacunal scale,1
preocular,1
preocular shape,1
preoculars,9
presence of dark spots on ventral scale,1
presupraloreal,1
pro,1
proximal rattle and underside of tail,1
proximal rattle segment,1
präokularia,1
psr,1
pterygoid teeth,1
pterygoideum articulation,1
pterygoideum teeth,1
pto,1
punctuations,1
punctuations on dorsals and outer portions of ventrals,1
pupil,4
pupil shape,1
quadratum direction,1
rattle,3
rattle size,1
rattles,2
recorded location (t. monticola),1
region,1
related species,1
rhomboid dorsal body blotches,1
roastral,2
roastral scale,2
rostral,6
rostral scale,3
rostral shield,2
rows of postgenials,10
rows of scales,5
rows of scales between supralabials and eye,1
rows of scales between supraocular plates,1
rows of scales between their anterior angles,1
rows of suboculars,1
rust colored eye in males,1
rusty red on tail,1
rückenzeichnung,1
sc,10
scale,0
scale above eye,1
scale between 3rd sl and subocular,1
scale character,1
scale keels,1
scale obliquity,1
scale reduction,0
scale rows,9
scale rows around the tail,0
scale rows at midbody,1
scale rows at midbody (edwardsii),1
scale size,1
scales,15
scales across the top of the head,1
scales around nostrils,1
scales around the eye,1
scales between ey and labial,1
scales between eye and supralabials,1
scales between mid-section of supraoculars,1
scales between prenasals and rostral,1
scales between superciliaries,1
scales between supraoculars,1
scales between upper labials and subocular,1
scales in 25 longitudinal rows,1
scales in a line,2
scales in front of supraocular,1
scales on a line between the horns,1
scales on dorsal side of head,1
scales on head,2
scales on head and chin,1
scales on the snout,2
scales on top of head,1
scales round the eye,1
scales separating the circumocular scales from the upper labials,1
scales surrounding the eye,1
scd,2
schildehen,1
schnauzenspitze,1
schuppen,3
schuppenreihen,1
schwanz,2
schwanzlänge,1
scutellation,1
scutes,1
second circumocular rings,1
second dorsals,1
second infralabials,1
second pair of genials,1
second supralabial,1
second supralabial fused to the prelacunal,1
second upper labial,3
separated,1
sex (paratype),1
sexual dimorphism,1
side of head below eyes,1
side of the head,1
size,9
skull,1
sl,1
sl/hl ratio,1
snout,17
snout bordered,1
snout length,1
snout shape,6
snout stripes,1
snout to vent length,1
snout to vent length (svl),1
snout–vent length,1
so,1
spinose,1
splenial,2
spleniale size,1
spots,3
spotted patches,1
sq,1
sq2,1
sq3,1
sql,1
stripe,2
stripes,1
strongly keeled temporal scales,1
sub caudalia,1
sub-caudais,1
sub-caudal scales,1
sub-caudals,1
subcaudal,1
subcaudal scale,1
subcaudal scale count,2
subcaudal scales,9
subcaudalia,2
subcaudals,81
subcaudals (females),1
subcaudals (paratype),1
subcaudals 40,1
subcaudals paired,1
subcordals,1
subequal suprarostral scales,1
subfoveal,1
subfoveal rows,1
subfoveals,2
subhexagonal patches,1
sublabial,0
sublabial position,1
sublabial scales,1
sublabialen,1
sublabialia,2
sublabials,2
sublinguals,3
subo,1
subocular,5
subocular blotch,1
subocular scales,2
subocular spot,1
suboculare,1
suboculars,1
suborbitals,1
sulcus,1
sulcus lips,1
sulcus spermaticus,1
sulcus spermaticus walls weakly defined,1
superciliar scale,1
superciliaries,1
supra,1
supra labials,1
supralabiais,1
supralabial,2
supralabial number,1
supralabial position,1
supralabial row,1
supralabial scales,2
supralabialen,1
supralabialia,1
supralabials,53
supralabials (c. angelensis),1
supralabials (females),1
supralabials (mainland populations of c. pyrrhus),1
supralabials (males),1
supralabials 10 to 12,1
supralabilia,1
supraocular,4
supraocular coronets,1
supraocular scales,1
supraoculars,29
supraoculars divided,1
suprarostral,2
suprarostrals,3
svl,20
symphysial,1
tail,39
tail (paratype),1
tail bands,4
tail blotches,1
tail color,3
tail end,1
tail length,26
tail length (tl),1
tail length females,1
tail length males,1
"tail long, with a ratio tal/tl between 0.201 and 0.210 in males and 0.144 and 0.180 in females",1
tail pattern,1
tail plates,1
tail ratio,1
tail shape,10
tail spots,1
tail tip,3
tail tip white,0
tail tips,1
tail to total length,2
tail to total length ratio,2
tal/svl ratio,2
tal/tl,3
tal/tl ratio,1
talgtl,1
temperature relationship,1
temporal,11
temporal scale rows,2
temporal scale rows (mainland populations of c. pyrrhus),1
temporal scales,6
temporal scales above upper labials,1
temporals,8
third dorsals,1
third supralabial,3
three palatine teeth,1
throat,1
throat color,1
tiny rattle,1
tip,1
tip of snout,1
tip of the tail,1
tip visible from above,2
tl,9
tl/svl,1
tongue,2
top of head,1
top of the head,1
total length,27
total length (edwardsii),1
total length females,1
total length males,1
totallänge,1
transverse bands,4
transverse bands color,1
transverse bands on tail,1
transverse dorsal scale rows,3
transverse light line,1
transverse markings,1
transverse suture,1
trunk vertebrae,1
ttl,1
two external rows,1
two inter superciliary,1
two lower rows of scales,1
ultimate supralabial scale,1
uncorrected p-distance,1
unpaired shields,1
upper end,1
upper head scales,3
upper head-scales,1
upper labials,14
upper lip,1
upper loreal,1
upper preocular,3
upper preocular and nasal,1
upper side,1
upper side color,1
upper surface of head,1
usually 2 supralabials,1
usually 3 anterior intersupraocular scales,1
usually 31 dorsal body blotches,1
usually more than 28 dark-brown bands and/or opposite or juxtaposed trapezoid-shaped blotches with paler centers dorsally,1
v,2
v. male,2
v. males,1
ven,10
vent length,1
vent length (svl),1
venter,12
venter color,1
ventr,1
ventral,6
ventral (edwardsii),1
ventral body color,1
ventral color,2
ventral count,2
ventral plates,1
ventral scale,3
ventral scale count,2
ventral scale counts,1
ventral scale rows,0
ventral scales,22
ventral scales (females),1
ventral scales count,1
ventral scutes,2
ventral segments/midbody annulus,10
ventral shape,1
ventral surface,1
ventral surface of the tail uniformly bright reddish or orange-reddish speckles with black spots without a regular pattern,1
ventral surfaces of the tail with bright reddish or orange-reddish speckles with black spots without a regular pattern,1
ventralia,2
ventrals,69
ventrals (c. angelensis),1
ventrals (females),1
ventrals (mainland populations of c. pyrrhus),1
ventrals (paratype),1
ventrals 146,1
ventrals and supralabials,1
ventralschuppen,1
ventre,1
ventrolateral line,1
ventrolateral spots,1
ventrolateral stripe,8
ventrum,2
vertebral and paravertebral scale rows,1
vertebral line,1
vertebral series,1
vertebral spinous processes,1
vertebral spots,1
vertebral stripe,1
vertical diameter of the eye,1
vomerine process of premaxilla,1
western mediterranean coastal plain color,1
white stripe,0
white temporal streak,1
whiteness,1
yellow line,1
yellow paraventral stripe,1
yellow-green,0
yellowish lines,1
zeichnungsmuster,1
zigzag,2
zigzag (females),1
zigzag (males),1
zigzag pattern,1
zigzag pattern color,1
