species,11th marginal,11th marginals,1st vertebral,2d and 3d vertebrals,4 claws on each forelimb,4th vertebral,5th vertebral,abdominal scutes (asl/cl),adult size,affinities,alveolar ridge,anal scute notch,antebrachial scales,antebrachium scales,anterio-lateral corner,anterior bridge strut,anterior bridge struts,anterior carapace,anterior lobes of the plastron rounded,anterior marginal length,anterior plastron,anterior/posterior black spots,antero-medial distal tibial scale,antero-medial row of tibial scales,atlas (c1) not elongated,atlas elements fused,atlas length,axillary buttresses,barbels,barbels length,base color,basisphenoid,blunt,blunt snout,body shape,bridge,bridge length,bridge shape,bright yellow coloration,bright yellow marking,bright yellow stripe,bright yellow stripes,brown to black,brownish or blackish speckling,carapace,carapace border,carapace central portion,carapace color,carapace color (angkibaanya),carapace depth,carapace depth/length,carapace elongation,carapace keel,carapace length,carapace margin reduction,carapace markings,carapace oblong to oval,carapace of elseya dentata,carapace ornamentation,carapace pattern,carapace posterior rim,carapace sculpturing,carapace scutes,carapace shape,carapace size,carapace strongly convex,carapace texture,carapace width,carapace width/length,carapacial color,carapacial median groove,carapacial median keel,carapacial opening,carapacial scute surface,casque,central vertebral keel,cervical,cervical scute,cervical vertebrae 2–4,cervical vertebrae length,chelodina,chelodina longicollis,chin barbels,cloacal bursae,color phases,color retention (female),cornubranchiale,costal bones,cream or yellow plastron,creamish or whitish,dark markings through eye,dark markings through iris,dark to black circular spots,dentary bones enlarged,dentary symphysis,difference from elseya purvisi,distal caudal vertebrae,distinct vertebral groove,distribution,dorsal color,dorsal coloration,dorsal head color,dorsal scutes,dorsum of neck,dorsum of the head,egg size,eleventh marginal width,entoplastron,epibranchials cartilaginous,exposed neural bones,eye,eye color,eye position,eye size,eyes,face color,face shape,facial coloration,facial coloration fades with age,facial scales,female head,femoral scutes (fsl/cl),first and second marginal plates width,first and second marginal scutes,first neural bone,first pair of costals,flat head,flat uncornified temporal scales,fluid secretion,fore lobe shape,forearm scales,forelobe,forelobe size,four claws,fourth and rest of marginal plates width,front cavity shape,frontal bones,frontal scutes,g - ig scute sulcus length,genetic distinctiveness,gular scutes,gular shields in contact in front of the intergular,habitat,hard palate shape,head,head and neck length,head background color,head casque,head color,head color pattern,head features,head features (young),head robusticity,head shape,head shield,head shield (casque) color,head shield (casque) shape,head shield blotches,head shield color,head shield lateral extensions,head shield width,head size,head width,head width to head length ratio,hind lobe,hind lobe shape,holotype,horny head shield,horny plate,humerus and femur,hyolaryngeal assemblage,hyolaryngeal complex modified,ih sulci length,ilium contact,ilium in contact with 8th pleural,ilium sutures,incubation period,inguinal and axillary buttresses,inguinal buttresses,inguinal musk glands present,inter-orbital band,interanal plastral seam,interanal seam,interanal seam length,intergular,"intergular at least twice, or more than twice the length of the pectoral suture",intergular scute,intergular scute length,intergular scute posteriorly tapered,intergular scute shape,intergular scute size,intergular width,interlateral seam,interorbital width to head width ratio,ip sulcus length,iris,iris color,iris color (angkibaanya),iris ring,irregularly sculptured in surface pattern,jaw coloration,jaws,juvenile coloration,juvenile pattern,keel form,large,large broad palate,lateral band,lateral borders,lateral borders of the carapace,lateral edge of the head shield,lateral marginal scutes,lateral marginals,lateral margins,lateral sulcus of the first vertebral scute,laterally directed,length of head and neck,light brown band,lingual ridge,long neck,lower jawline/throat skin border,m1 and m2 size,m1 protrusion,m1/m2 sulcus,m2 size,m3-m7,male size,mandible color,mandibular rhamphotheca,mandibular symphysis,marbled light plastron,marginal plates,marginal scutes,marginal serration,marginal serrations,marginal shape,marginal undersides,maxilla color,maxillary rhamphotheca,maxillary tomial edge,maxillary triturating surface,maximum carapace length,maximum carapace length (male),maximum known length,medial depression,medial division of palate,medial groove,medial keel,medial ridge,medium to large freshwater turtles,mesoclemmys jurutiensis,mid-caudal aspect,middle of the fourth and eleventh,moderately deep body-form,moderately depressed,moderately large,mouth,mouth size,narrower less robust skull,neck,neck dorsum,neck dorsum texture,neck features,neck length,neck morphology,neck scales,neck thickness,neural bones,neural series,neurals,nictitating membrane,no central groove on carapace,nose shape,nuchal,nuchal bone,nuchal scute,number of barbels,number of facial scales,osteology,oval-shaped,paired barbels,palate shape,palatines,pale band on head and neck,parietal,parietal arch,parietal arch absent,parietal crest,parietal roof width,parietals,parieto-squamosal arches,pectoral-abdominal seam,pelvis bone strength,peripheral bones,periphery of carapace,phrynops geoffroanus,plastral formula,plastral patch,plastral seam formula,plastral sulcus formula,plastron,plastron and bridge color,plastron broad,plastron color,plastron coverage,plastron greatly expanded anteriorly,plastron length,plastron markings,plastron shape,plastron size,"plastron, bridge, and undersides of the marginals color",pleural scute #1 (p1) – vertebral scute #1 (v1) sulcus,pleural scutes,post-orbital stripe color,posterior bridge strut,posterior carapace depression,posterior head shield shape,posterior horny head shield,posterior mandibular skin,posterior margin,posterior margin elevation,posterior marginal flaring,posterior marginal smoothness,posterior marginals,posterior to the eye,posterior-center blotch,posteriorly-facing dark brown trident marking,precentral scute,prefrontal bones,proboscis length,proximal suture of strut,red coloration,reticulated ornamentation,rib tips,sclera,sclera color,scute surface,scutes,senescent males,serrated margin,sexual dimorphism,shell color,shell depth,shell shape,similarity to elseya latisternum,similarity to elseya purvisi,size,size differences,skin color,skin flaps,skull,skull anteriorly elongated,skull shape,small to medium-sized,snout orientation,snout shape,splenial bone,sternum shape,sternum width,supraoccipital,supratympanic scale,suture with pleural 1,suture with pleurals,sutures of the plastral plates edged in black,tail,tail length,tail length in adult males,temporal arch,temporal scutes,temporal/post-orbital stripe,third marginal plate width,throat pattern,tibial scales,toes,transverse processes of cervical vertebrae,triturating surface area,tubercles,two pairs of chin barbels,tympanic color,type locality,upper jaw,upper jaw shape,upper mandible color,v1 scute,v1-c1 scute seams,v1-p1 sulcus,v2 shape,ventral color,ventral coloration,ventral extension of the head shield,ventral margin color,vertebral 1,vertebral 1 shape,vertebral 4,vertebral 5,vertebral column shape,vertebral keel,vertebral length,vertebral plates,vertebral scutes,vertebral shape,vertebrals,vertebrals 2-4,vomer and pterygoids,vomer-palatine contact,vomer-pterygoid contact,yellow-faced,young adult males,young description
Chelodina longicollis,,,,,,,,,,,,,,,,,physical,,,,,,,,physical,physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physical,,,,,,,,,,,,,,,,,,,,,,quantitative,,subgenus,genus,,,,,physical,,,,,,,physical,,,,,,,,,,physical,,,,,physical,physical,,,,,,,,,,,,,,,,,,,physical,,,,,physical,,,,,,,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physical,,,physical,,,,,,,,,,,,,,physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,quantitative,,,physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive,,,,,,,,,,,,,,,,physical,,,,,,,,,,,,physical,,,,,,,,,,,,,,,,,,physical,,,,,,,,,,,,,,,,,,,physical,,,,,,,,,,,physical,,,,,,,,,,,,physical,quantitative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elusor macrurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,long and fleshy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bearing distinct haemal arches,,,,,,,,,,,,,,dull and dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,subequallength,,,,,,,,subequal size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vestigial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,laterally compressed,,significantly longer than combined length of head and neck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelodina kuchlingi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,light fawn,,,,,,,,,,,,,,,,evenly oval,,,rugosities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,round,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rounded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelodina novaeguineae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,less sculptured,,more rounded,larger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bmnh 1908.2.25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"black carapace, paler spotting, bright red and black-mottled plastron, bright red on the inside of limbs, jaw, and under the throat",mottling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260 mm,,,,,,,,,,,,,,,,,,,,,,,flat wart-like protuberances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,apparent,,,,,,,,blunt,,,,,,,,,,,,,,,,,,,,,,,,"lower burdekin river, queensland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelodina parkeri,,,,,,,,,,,,,,,,,enlarged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broadly oval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,longer than carapace,,,,,,,,,,,,,,,,,,,,,,,,,"highly modified; extreme elongation of corpus hyoideum along sulcus tracheae; anterior cornubranchiale expanded, elongated, extending beyond posterior cornubranchiale; epibranchials fully ossified in adults, cartilaginous throughout life in species of the other subgenera",,,,,sutures with 8th pleural and pygal and is latero-posteriorly rotated,,,,,,,,,,,,,,rhomboid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,finely reticulated,,,,,,,,,,,,,,,,,"atlas (c1) elongated; cervical vertebrae 2–4 greatly elongated (centrum about three times as long as wide); transverse processes of cervical vertebrae thickened, not bladelike as in subgenera chelodina and macrochelodina",,,,,,,,,,,,,,,,,,,,,,,,,,,,approximately twice as long as its width measured anterior to the bridge,,narrow,,,,,,"enlarged and thickened, but does not contact pleurals",,,,,,,,,,,,,,,,enlarged and also contacts 2nd pleural in very large specimens,,,,,,,,,,,,,,,,,,,,,,dorsoventrally flattened,,,,,,,,,extends half-way across pleural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelodina oblonga,,,,,,,,,,,,,,,,"small, sharply angled posteriorly with minimal suture surface with pleural 1",,,,,,,,,,,moderately elongated,,,,,,,,,,,,,,,,,,,,,,,,,elongated anteriorly and shortened posteriorly giving a narrow carapace with negligible posterior flaring,,,generalised reduction of carapace margins anteriorly and posteriorly,,,,deep reticulated ornamentation of shell often present,,,,,"broadly oblong, flattened dorsally and furrowed along midline",,,,,,,,,,,,,,,,cervical vertebrae 2–4 greatly elongated (centrum about three times as long as wide),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"when fully extended, longer than carapace length",,,,,,,,,,,,,,,,,,,,,,,,,,,,in contact with posterior half of 8th pleural and pygal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"finely reticulated, lacking obvious tubercles",,,,,,,,,5–8 (smales 2019) exposed coffin-shaped neurals present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,covering only about half of anterior orifice of shell in ventral view,,"long, narrow, more than twice as long as width measured immediately anterior to bridge, covering only about half of anterior orifice of shell in ventral view",,,,,,,,"small, does not contact pleurals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thin and bladelike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelodina walloyarrina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most medial one or two pairs being notably long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,olive green to black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5% less than that of m. burrungandjii, 9% less than that of (average) m. rugosa, and 6% more than that of m. kuchlingi",,,,,,,,,,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"equals that of m. burrungandjii, but is 7% less than that of m. rugosa, and 13% less than that of m. kuchlingi",,,olive or green to orange or rust with an inner white to gold ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,three to four pairs,,,,,,,,,,,,"11% narrower than that of m. burrungandjii and that of m. rugosa, and 20% narrower than that of m. kuchlingi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,usually white with olive green mottling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elseya nabire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rusty or chestnut brown,,,,,,,,,,,,,,,,oval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uniquely almost completely darkened black in wild coloration but giving way to a dark chestnut-iris with minimal yellow flecking in captivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,narrow longitudinal (parietal) head casque extensions of the posterior head shield reaching to make contact with the dorsal rim of the tympana at the anterior (‘12 o’clock’) position,,,,,,,"keratinous head shield fully developed, dipping minimally behind posterior eye orbit",,,,,,,,,,,,,,,,,,relatively shortest (posterior-most point of ig scute closest to h-p sulcus) of all currently described elseya species in new guinea (except for e. rhodini),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dark gray,,,,,,,,"all marginals even (level) to one another on the outer edges, hence lacking any noticeable marginal serration",,uniformly dark gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,squared off at its terminus,,,,,minimal,,,,,,,,,,,,,,,,,,,present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"typically octagonal shaped, having four unequal sides on each side of length wise symmetry where v2 meets adjacent scutes sulci",,,,,,,,,,strongest (sharpest) portion of narrow vertebral keel present in adults from the posterior portion of v4 through to the full length of v5,,,,,,,,,,,,
Mesoclemmys nasuta,,,,,,,,,,,,,,,,,,,,,,,,well-developed scale present at distal end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relatively broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,narrower than or equal to the width of the supracaudals,,,,,,,,,,,,,,,,,,absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20% or more of the median straight length of the carapace,,,,,,,,,,,,,,,,,,,,,"usually longer than the interhumeral seam, but sometimes equal or shorter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relatively thin and short,,,,0-5 (usually 3-4),,,,,,,,,,,,,small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pointed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mesoclemmys gibba,narrower than the supracaudals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,covered by many small seales,,,,,,,,,,,,,,,,,,,,absent,contact medially,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-20%,,,,,,,,,,,,,,,,,,,shorter than the interhumeral seam,,,,,,,,,,,,,,,,,,,,,,,,,,,,"narrow mildly, with a strong upward curve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-4,,,,,,reaches the anterior margin of the carapace,,,,,,,short to medium in size,,,,,,,,,broadened above,narrow,,,,,,,,,,anterior end equal to or wider than the posterior end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"no large, round scale present distally on the antero-medial row",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"arched, with the median keel on vertebrals 3, 4, and 5 poorly developed",,,,,,,
Phrynops geoffroanus,,wider than the supracaudals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blunt snout,,,,,,,,,,,relatively flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reduced,,,,,,,,,,,,,,,,,"present, contacting the proneural, and separates the first pair of costals",,flat and wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-20% of the median straight length of the carapace,,,,,,,,,,,,,,,,,,,,longer than the interhumeral seam,,,,,,,,,,,,,,,,,,,,,,,,,,not upturned and without narrowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 to seven neural bones,,,,,,,,,,,,,usually long,,,,,,,,,,,,,,,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mesoclemmys perplexa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ca. 0.25 (juvenile) – 0.28 (adult),,,,,,,,,,,,,,,,,,ca. 0.7 (juvenile) – 0.6 (adult),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,noticeably sculpted by both concentric and radiating ridges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"not bulging, with the frontals making a more or less obvious cruciform figure",,,,,,,,,,,,,,,,,,,,,,,,moderately enlarged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.7 mm (female),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,narrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not upturned,short and pointed,,,,,,,,,,,,,not bulging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elseya kalumburu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,oval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,oval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elseya novaeguineae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oval,,,fine striated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dull pale green with washing of dark green fleckings throughout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minor to no serration in young and adult specimens,,even (level) to one another,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meets the marginals generally at m6 or more specifically at the beginning of m6,,,,,,,,,,,,,,,,,,,,,,,,,,longitudinal extensions of the posterior horny head shield (casque) broad and fully contacting the postero-dorsal rim of the tympanum,,,,,,,,small circular black blotch present on the posterior-center of each vertebra and costal scute,,,,,,,,,,dark gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no vertebral keel present in adults,,,,,,,,,,,,
Chelus orinocensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,strongly three-keeled tuberculate,approximately 53 cm,,,,,,,,,,oval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,,,,,,,,,,,,,,,,,,,,,,,genetically distinct,,,,,,,,,,,,,,wide triangular flattened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extremely wide,,,,,,elongated thick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unpigmented pale yellow,,,,,,,,,,,,,,,,,,,,,,,,,,long tubular,,,,,,,,,,,,,,,,,,,,on head and neck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elseya papua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,forming a significant elevation in relation the anterior and posterior ends of the carapace,uniformly yellowish walnut-brown,,,,,,,,,,,,,,,,,,,,nearly equal to carapace length measured at the respective midpoints,,,,,,,,"peaked, with the posterior portion of each of the first four vertebral scutes being raised (offset) to each subsequent anterior vertebral scute",,,,,,,,,,,,,,,,,complete absence or fading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faded greenishbrown,,,,,,,,,,,,,,,,,,,,,,,,,yellowish circumferential ring at the border,,,nearly equal to each adjoining marginal so as to create a relatively smooth rim to the exterior circumference of the carapace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,strong flaring beginning at m8,,,,,,,,,,,,,,,"vertebral keel lost, carapace becoming smooth and rounded",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dark brown to black,significantly wider than long,,,,,,,,,,,,,,,,,,,,,,,,"smaller, less deep shell, often retain traces of the reddish tinge to the skin in the areas of the upper throat, lateral jaw and lateral sides of the head and head shield",
Elseya auramemoria,,,,,,,,,,,,,,seven enlarged scales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uniformly orange-tinged olive brown,,,,,,,,,,,,,,,free of any defined markings or defined pattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"olive-greenish brown, including the tympanum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,light to mid-brown,does not dip behind the eye post-orbitally and whose lateral extensions over the parietal arch broadly reach the dorso-posterior rim of the tympanum,,,,,,,,,,,,,,,,,,,,,,,,dusky yellowish-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bowed concavely interiorly,twice the size of m1,dorsally-curled exterior marginal edges,,,,,,,,,,,,,,,,,,,,,,"yellowish-brown, extending from posterior v1 to posterior v4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"dark creamy-yellow, free of darker markings or pattern",,,,,,,,,,,,,,,,,,,,,,,"present, runs from behind the orbits and the center to reach the end of the head shield and the extensions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,present,,,,,,,,bowed convexly exteriorly,,,,,,,,,,,,,,,,,,,,,,,
Chelodina kurrichalpongo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oval to pear-shaped,,,"dark brown to jet black, somewhat rugose to dimpled",,,,,,,,,,,,,,,,,,several lighter color phases are documented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dark brown to grayish-black,,,heavily besotted throughout with black dots and with black outlining of the head scales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dark blood-red l f l s circumscribed with a black ring and containing a golden to whitish-yellow iris ring around the pupil,,heavily marked with dull brown blotches and dark vermiculation,,,,,,,,,,,,,,,,,,,,,nearly equal in surface area,,,,,,,,,,,,lack serration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relatively deep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no vertebral keel present,,,,,,,,,,,,
