species,11 marginals,1st vertebral,400 mm,5th vertebral,76 cm,8 kg,abdominals,abruptly descending sides,adult color pattern,adult coloration,adults,anal midline suture length,anal notch,anal scute projections,antcrior marginals,anterior and posterior marginals serrated,anterior marginals,anterior neurals,anterior notch,anterior orbito-nasal foramina,areolae,average mass,axillaries,axillary,axillary and inguinal buttresses,axillary and inguinal scutes,axillary scale,axillary scales,axillary scute,axillary scutes,beak,beak edge,beak shape,bifurcated gulars,black markings,black-brown,body skin color,bridge,bridge characteristics,bridge color,bridge ridge,bridge width,broad bridge,brown,buttock tubercles,carapace,carapace color,carapace features,carapace length,carapace margins,carapace of male,carapace pattern,carapace scutes,carapace shape,carapace size,carapacial color,centrochelys sulcata,cervical indentation,cervical notch,cervical region,cervical scute,chin color,claw distance,clutch size,color,color variation,coloration,colour,concave plastron,contrast,cream or yellow,dark radiations,difference between percentages of heights at third vertebral and at nuchal notch,disrupted keel,distribution,domed carapace,dorsal shields,dorsal surface,elbow mobility,eleven marginals,elongated carapace,elongated cervical,enlarged sub-conical tubercle,expanded 5th vertebral,female size,flared posterior marginals,flared posterior rim,flattened dorsally,fore limb claws,fore limb scales,fore lobe,fore lobe shape,fore-limb scutes,forearm claws,forearm scales,foreclaw number,forefeet,forefoot claws,forefoot scales,forehead shields,forelimb scales,forelimbs,forelobe shape,four claws,fourth cervical vertebra,fourth to fifth vertebral suture,front and rear marginals,front foot size,frontal and prefrontal scales,general size,glans penes,growth annuli,gular,gular area,gular notch,gular projections,gular scutes,gular scutes length,gular shape,gular size,gular size (female),gulars,gulars projection,habitat,hatchling coloration,hatchling mass,hatchling weight,head,head color,head coloration,head physiognomy,head scales,head size,height at nuchal notch,highest point,hind limb claws,hind lobe,hind lobe of plastron,hind lobe shape,hinge,inguinal,inguinal scute,inguinal scutes,inguinals,interhumeral and interpectoral seams ratio,jaw serrations,jaw surface,jaws and throat,juvenile color pattern,juvenile coloration,juvenile pattern,juvenile shape,juveniles and females,laminae,large black blotches,large prefrontal scale,large single frontal scale,length,length over curve in male,length/height ratio,limb scales,longest median suture,male plastron shape,male tail length,male tail shape,males,marginal areolae,marginal color,marginal count,marginal plates,marginal scutes,marginal stripes,marginals,mass,mature males,max. tl,maxillae,maximum length,maximum tl,medial keel,midline pectoral scute,moderate,narrow cervical scute,neurals,no cervical scute,nonprotruding snout,nostril location,nuchal,nuchal scute,nuchal shield,number of marginals,number of species,one or two inguinals,orange-yellow,oval carapace,overall coloration,p. t. tentorius,p. t. verroxii,paired gulars,pectoral midseam length,pectoral plates,pectoral scute,penis length,penis shape,plastral concavity,plastral forelobe,plastral formula,plastral hind lobe,plastral hinge,plastral lobes,plastron,plastron and bridge color,plastron color,plastron development,plastron lacking,plastron length,plastron pattern,plastron shape,plastron shield,plastron size,pleural areolae,pleural color,pleurals,posterior declivity,posterior marginals,posterior marginals upturned,posterior notch,posterior notch on hind lobe,posterior portion,posterior portion of the carapace,posterior rim,posterior slope,postorbital bar,prefrontal scale size,prefrontal scales,prefrontals,premaxillae,projecting gulars,radial pattern development,raised areolae,scute borders,scute color,scute shape,scutes,seam borders,serrated posterior rim,sex ratio,sexual dimorphism,shell color,shell depression,shell length,shell opening size,shell shape,shell width,shorter and narrower hind lobe,sides,single axillary,single undivided supracaudal scute,size,skull shape,smoothshelled,snout,snout shape,space between plastron and carapace,straight length,submarginal scales,submarginal scutes,subspecies,supracaudal,supracaudal scute,supracaudal shape,supracaudals,suprapygal bones,suprapygals,suture color,tail,tail spine,tail spur,tapered forelobe,temporal arch,terminal spine,the elongated carapace,thigh tubercle,tl,top scutes,triturating surfaces,undivided supracaudal,unequal tubercular scales,upper jaw,upper jaw shape,upturned forelobe,vertebral 1,vertebral and pleural areolae,vertebral and pleural areole,vertebral and pleural patterns,vertebral length,vertebral scutes,vertebral shields,vertebral width,vertebrals,vertebrals 2-5,vertebrals and laterals,vertical distance from lower surface of plastron to lower edge of lateral marginals,weak cervical notch,weakly hooked upper jaw,weight,well-defined growth annuli,well-developed plastron,wider than long vertebrals,yellow bar on each marginal,yellow plastron,yellow vertebral and pleural areolae,young tortoise coloration
Psammobates tentorius,,,,,,,,,,,,,,,,,,,,,,,2-3 (rarely 1),,,,,,,,,,"hooked, bi- or tricuspid",,,,,,,,,,,,"present, may be reduced or absent",,,,,,,geometric,raised,domed or flat,,,,,,,,,,,,,varied,,,,,,,,,,,,,,,,,,,,,,,,,,,,"large, abutting",,,,,,,,,,,,,,,,,,,,,,,,,,,"paired, longer than broad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11 (sometimes 10 or 12),,,,,,,,,,,,,,,present,,,,,,,,,"large race, carapace scutes strongly raised, yellow to orange radiating stripes on a black background, plastron with solid mahogany markings","carapace with smooth or faintly raised scutes, drab color, orange stripes on a dark brown background, plastron with diffuse or indistinct dark brown patterning",,,,,,,shallow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"males smaller, rarely exceeding 100 mm",,,,,,,,,,,,,,,,,,,,"p. t. tentorius, p. t. verroxii, p.t. trimeni",,,,,,,,,absent,,,,,,,"80-120 mm; max. tl 150 mm, female",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homopus femoralis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,serrated,tricuspid,,,,"yellow-brown, sometimes orange-pink",,,,,,,,present,,olive or reddish-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,larger than males,,,,,,,,,,"large, overlapping",four,,,,,,,,,,,,,,,,,,,,,,,,,,paired,,,,,,,,,,,,,,,,,,lacking,,,,,,,,,,,,,,,,,,,,,,,not concave,longer,,,,,,,,,11,,,,,,168 mm,,,,,,,,below the level of the eye,present,,,,,,,,,,,,,,,,,,,,,,,,,"uniform dirty yellow-green in adults, often with darker areas restricted to the anterior edge of the scutes in juveniles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lacking,,,,,,,100-130 mm,,,,,,,,,,,,,,,,,,,,,,200-300 g,,,,,,,
Kinixys natalensis,,,,,,,,,,,plastron pattern may fade,,,,,,,,,,,,2-3,,,,,,,,,,tricuspid,,,color,,,,,,,,,absent,,,,,,,"concentric patterning, with the areolae light to dark brown with concentric rings of orange-yellow and black-brown",,slightly convex,,,,,,,,,,,,,,,lacking in males,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"large, overlapping, sometimes pointed",,,,,,,,,,,,,,,,,,,,,,,"combined, more than twice as wide as they are long",,,,,,,,,,,,,,,,,,poorly-developed,,,,,,,,,,,,,,,,,,,,,,,,,,smaller than females; lack a concave plastron,,,,,,,12-13 marginals on each side; not serrated or upturned,,,,,,,,,,,,,,,present,,,,,,color,,,,,,,,,,,,,,,,,,,,,,,similar ringed pattern that may fade in adults,,with a similar ringed pattern that may fade in adults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,usually divided,,,,,,,,,,,,large in males,,,80-120 mm; max. tl 155 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kinixys lobatsiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unicuspid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,well-developed,,,,,,,,,,,,,"broken radiate pattern on each carapace shield, and each shield has a red-brown centre",,,,,,,,,,,,,uniform brown,,,,,,,,,concave plastron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"uniform dirty yellow in adult males, but with sparse, dark, radiating streaks in females and juveniles",,,,,,,,,,,,,,serrated and curve upwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"undivided, with a longitudinal groove on the underside",,,,,,,,,,,,,,,"150-180 mill; max. tl 200 mm, female",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyxis planicauda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reaches 160 mm,,,,,"elongate, flatter on top",,,,,,,,,,,,,"cream to beige, with radiating, geometric, dark brown to black designs on each of the scutes",,,less contrast than in p. arachnoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,strongly serrated,,,,,,,extended and bilobed,,,,,,,,,,,,,,,"dark, usually greenish brown",,,,,,,,,becomes more flexible,,,,,,,,,,,,,,,,,,,,,,,,,,,rather flattened in a horizontal plane,,,,,,,,serrated toward the middle of the series and forming a rounded surface where they connect to the bridges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no plastral hinge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rather flat,,,,,,,,,,,,,,,,,,,,,extremely narrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indotestudo travancorica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fairly large but diffuse and poorly contrasting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chocolate to red-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"creamy white, becoming reddish during the mating season",,,,,,,,,,,,,,,,averages 1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 mm,,,,,,,,,,,never,,,,,,,,,,,,,,,,,,,,,,immaculate or diffuse black markings on each scute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at the rear of the shell, of the fourth vertebral scute or between the fourth and the fifth",,,,,,,,,,,,,,,,,,,,,,,,,,,,conical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astrochelys yniphora,,,up to 400 mm,,,up to 8 kg,,,,uniform cream or whitish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not radiating but tends toward plain yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very extended, in the form of a plowshare",elongated gular is rather thin and upcurved,much smaller,,,,yellowish with large brown markings on each scute,,about 25 g,,beige-yellow to brown,,"more ""smiling"" physiognomy than its southern cousin, a. radiata",well-demarcated scales,,,,,,,,,,,,,,,,,,"yellow and black, with wide, very dark seams, well marked growth rings, and sometimes quadrangular markings on the scutes",,,,,,,,,,,"wide, well-developed scales",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very little plastral concavity in the males,,,,,,,,yellowish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelonoidis niger,,,,,,,,,,,,,,,but little everted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"high, elongate, somewhat dome-shaped but high in front",,,,,slightly saddle-shaped but broad,,,,,,,,,,,,,,,,,,,,,,"6 in male, 24 in female",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biconvex,,,,,moderate,,,,,,,,,,,,paired,,,,,,,,,,,,more than 41% (45%) of straight length,,,,,,,,,,,,,,black in female,,,,,,,,,,,"112%, female 126%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"much reduced, not meeting on mid-line",,,,,,,,,,,,,,,,,,,,,,,beginning about middle of third vertebral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35.25 inches in male, 22.5 inches in female",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"small, 4% in male, 6% in female",,,,,,,,,,
Chersobius signatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"yellow, shaded with brown on the plastron, elegantly freckled and radiated with blackish brown",,,,,,,,,,,,,,,,,"multi-egg in homopus, single-egg in chersobius",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"numerous, small, irregular",3–4 large rows and 5–6 smaller rows,,,,,"narrow in homopus, broad in chersobius",,,,,"v-shaped in homopus, heart-shaped in chersobius",,,,,,,,,,,,,"rupicolous, arid regions",,,,,,,,,,,,,,,,,,"single, large",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12 or more in chersobius, 11 or fewer in homopus",,,,,,,,,,longer,,,,,,,,shorter,,,,,,,,,,,,,,,,present in chersobius males,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,females larger than males,,,10 cm,larger in males than in females,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"large, conical",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chersobius solus,,,,,,,,,,,,longer than femoral,,,,,,,,,,,two,,,,,,,,,,,,,,,,,,well-defined,,,,lacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,11-12,,,,,,,,,,,,,,,"small, narrow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fragmented,,,,,,,,,,,,,,,,,relatively shallower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gopherus morafkai,,,,,,,,,,,,,,shorter projections of the anal scutes,,,,,,,,,,,,,,single axillary scale preceding each bridge,,,,,,,,,,,,,,,,,,,,,,,,,,"flatter, pear-shaped carapace",,,,,,,,,distance from the bases of the first to fourth claws is the same on all feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relatively smaller,,,,,,,,do not normally diverge,,shorter gular scutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relatively narrower shell,,,,,,,,,rounded snout when viewed from above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
