trait,attribute,family
Dorsal scales,"smooth, moderately imbricate, apically rounded",Pythonidae
juveniles,strongly banded and compressed,Pythonidae
species,glossy black or deep reddish-brown hood,Pythonidae
Largest specimen,3023 mm,Pythonidae
head size,1.5-2.1 times as long as wide,Pythonidae
Rostral size,1.5-2.0 times as wide as high,Pythonidae
pairs of prefrontals,two,Pythonidae
loreal,one,Pythonidae
preoculars,two,Pythonidae
postoculars,three or four (mostly four),Pythonidae
anterior temporals,"3, 4, 5 or 6",Pythonidae
upper labials,"10, 11 or 12",Pythonidae
lower labials,"14, 15, 16, 17 or 18",Pythonidae
ventral,315-359,Pythonidae
Subcaudals,"63-69, mostly entire",Pythonidae
ventral plus subcaudals,380-427,Pythonidae
scale rows at midbody,50-60,Pythonidae
scale rows at neck,"37-46, decreasing by 6-17",Pythonidae
scale rows at tail,"35-37, decreasing by 15-20",Pythonidae
head color,glossy black or deep reddish-brown,Pythonidae
back color,light brown to reddish-brown,Pythonidae
bands,"dark brown to black, irregular, 2-4 scales wide",Pythonidae
ventrals and subcaudals,creamish,Pythonidae
bands,vague blotches and smudges on ventrals and subcaudals,Pythonidae
head of juveniles,black or dark reddish-brown,Pythonidae
dark hood,absent,Pythonidae
Largest specimen,2260 mm,Pythonidae
Head size,1.2-2.0 times as long as wide,Pythonidae
Rostral size,1.0-2.0 (mostly 1.5) times as wide as high,Pythonidae
prefrontals,two pairs,Pythonidae
loreals,2 (rarely 3),Pythonidae
Preoculars,"1 (4% of specimens), 2 (91% of specimens) or 3 (5% of specimens)",Pythonidae
Postoculars,3 - 6,Pythonidae
Anterior temporals,4 - 9,Pythonidae
Upper labials,11 - 14,Pythonidae
Lower labials,14,Pythonidae
Ventral,273-304,Pythonidae
Subcaudals,43-53,Pythonidae
Ventral plus subcaudals,317-346,Pythonidae
Scale rows at midbody,43-63,Pythonidae
Scale rows at neck,32-42,Pythonidae
Scale rows before vent,33-51,Pythonidae
"Adult head, body, & tail color",uniform brown,Pythonidae
Ventral color,yellow with irregular pinkish-brown markings,Pythonidae
Juvenile supraoculars and snout tip color,dark brownish-black,Pythonidae
Juvenile back and top of tail color,pale brown with many dark brown bands,Pythonidae
Juvenile ventrals color,brown,Pythonidae
Rostral,"about twice as broad as deep, not visible from above",Pythonidae
internasals,"more broad than long, two fifths to one third the length of the prefrontals",Pythonidae
praefrontals,one pair,Pythonidae
frontal,as long as broad or a little more long,Pythonidae
parietals,two pair,Pythonidae
loreal,small,Pythonidae
praeocular,one large,Pythonidae
postoculars,two (three),Pythonidae
upper labials,nine to twelve,Pythonidae
posterior lower labials,three or four,Pythonidae
Scales,in 35-39 rows,Pythonidae
ventral,245-267,Pythonidae
anal,entire,Pythonidae
subcaudals,47-52,Pythonidae
Body color,Brown with black rings or uniform blackish-brown,Pythonidae
Spot behind the eye,light,Pythonidae
Young specimens,with black and orange rings,Pythonidae
Length of head and body,830 mm,Pythonidae
Tail,120 mm,Pythonidae
Largest specimen known,1540 mm,Pythonidae
pairs of parietals,two,Pythonidae
large scales,separate from median line,Pythonidae
postocular spots,whitish,Pythonidae
Dorsal color,lighter,Pythonidae
Flank,yellowish,Pythonidae
average body size,smaller,Pythonidae
Average subcaudal,"71.5 +/- 2.85 range = 65�79, N = 30",Pythonidae
Supralabial scale counts,"12.9 +/- 0.28; range = 12�13, N = 30",Pythonidae
Number of supralabials entering the eye,3.0 +/- 0.18,Pythonidae
Dorsal color,dark yellow or golden,Pythonidae
Parietal scale pairs,generally two,Pythonidae
Head size relative to the body,shorter and narrower,Pythonidae
Number of dorsal midbody rows and ventral scales,"259�283 versus 258�275, respectively",Pythonidae
Head,black or dark brown dorsally,Pythonidae
Jaws,white ventrally with thin black bars,Pythonidae
Body,dark yellow or golden dorsally,Pythonidae
Ventral surface color,white or cream,Pythonidae
Head and body,strongly iridescent,Pythonidae
labials entering the orbit,only two,Pythonidae
Ventral scale counts,lower,Pythonidae
posterior parietals,large and wide,Pythonidae
Scale arrangement,"small, irregular scales posterior to the parietal scales",Pythonidae
Ventral scale counts,lower average,Pythonidae
Rostral,more broad than deep,Pythonidae
internasals,more long than broad,Pythonidae
praefrontals,half the length of praefrontals,Pythonidae
frontal,"about one time and a half as long as broad, slightly shorter than its distance from the tip of the snout",Pythonidae
parietals,one or two pair,Pythonidae
loreal,single large,Pythonidae
prae-postoculars,one prae- and two postoculars,Pythonidae
upper labials,"ten to twelve upper labials, first with a shallow pit",Pythonidae
posterior lower labials,three or four posterior lower labials pitted,Pythonidae
scales,in 47 or 49 rows,Pythonidae
ventrals,275-291,Pythonidae
Anal,entire,Pythonidae
subcaudals,65-72,Pythonidae
Body color (above),Brown,Pythonidae
Body color (below),yellowish,Pythonidae
length of head and body,1 140 mm,Pythonidae
tail,190 mm,Pythonidae
Head,"distinct from neck, covered with symmetrical shields",Pythonidae
Nostril,in a semi-divided nasal,Pythonidae
Internasals,"a pair, separating the nasals",Pythonidae
Rostral and upper labials,pitted or without pits,Pythonidae
Lower labials,some pitted,Pythonidae
Eye,rather small,Pythonidae
Body,"cylindrical or little compressed, small smooth scale",Pythonidae
Tail,"moderate or short, not or very slightly prehensile",Pythonidae
Subcaudals,in two rows or the greater part only,Pythonidae
Rostral,"more broad than deep, scarcely visible from above, with a feeble pit on each side",Pythonidae
Internasals,a little more long than broad,Pythonidae
Praefrontals,"separating the posterior, smaller pair of",Pythonidae
Frontal,"about one time and a half as long as broad, as long as its distance from the tip of the snout",Pythonidae
Parietals,"a pair, followed by smaller shields",Pythonidae
Loreal,large,Pythonidae
Upper labials,"eleven, first and second pitted, fifth and sixth entering the eye",Pythonidae
Lower labials,"five posterior, pitted",Pythonidae
Scales,49 -55 rows,Pythonidae
Ventrals,267-302,Pythonidae
Anal,entire,Pythonidae
Subcaudals,64--49,Pythonidae
Top color,Brown,Pythonidae
Top Color,"scattered, small, yellowish and dark brown spots",Pythonidae
Lower surface color,yellowish or brownish,Pythonidae
Length of head and body,1420 mm,Pythonidae
Tail length,260 mm,Pythonidae
Rostral,"visible from above, slightly longer than broad",Pythonidae
Sensory pits on Rostral,a pair of oblique,Pythonidae
Supralabials,"14, Seventh and eighth entering orbit, first three with prominent sensory pits, fourth with an obscure elongate mark",Pythonidae
Infralabials,"20, ninth to fifteenth with deep rectangular sensory pits",Pythonidae
Internasl and postinternasal scutes,unfragmented and obvious,Pythonidae
Head scutes,fragmented into small subequal scales,Pythonidae
Orbit,orbited by 15 scales,Pythonidae
Scales in median line between orbits,11,Pythonidae
Mental groove,bordered by 12 scales on each side,Pythonidae
Dorsal scales,"smooth, weakly imbricate, rhomboidal posteriorly; first row large, slightly more than half as broad as ventrals",Pythonidae
ventrals,293,Pythonidae
Subcaudals,"90, all divided",Pythonidae
Maxillary teeth,"7 on right maxilla (estimated nine missing), 8 on left (estimated eight missing), estimated total maxillary teeth 16",Pythonidae
Palatine teeth,"6 on left (estimated four missing), 10 on right (intact series)",Pythonidae
Dentary teeth,"10 on left (estimated six missing), 16 on right (intact series)",Pythonidae
Dorsal coloration,"reddish to dark brown with numerous irregular, pale fawn to yellow, dark edge blotches, stripes and bars",Pythonidae
Vental surface,"creamish white, posterior ventral irregularly edged with black on anterior margins and sides",Pythonidae
Head coloration,"same as dorsum; supralabial area creamish, with brown blotches",Pythonidae
Infralabials and gulars coloration,as for ventral surface,Pythonidae
Hatchlings,brighter colouration,Pythonidae
Dorsal patterning of Northern Territory P. s. variegatus,indistinct patterning,Pythonidae
Median ventrals scale rows,54,Pythonidae
Dorsal scales at fifteenth ventral,46,Pythonidae
Dorsal scales 15 ventral anterior to cloaca,26 rows,Pythonidae
Cloacal spurs,present,Pythonidae
Tooth on left side of premaxilla,one,Pythonidae
Tooth on right side of premaxilla,missing,Pythonidae
Ventral,half as broad as dorsal scales,Pythonidae
dorsal scales,keeled,Pythonidae
tail,not prehensile,Pythonidae
Cloacal spurs,present,Pythonidae
Rostral,"angular apex, a pair of oblique sensory pits",Pythonidae
internasals,separated by 2 small median scales,Pythonidae
Anterior prefrontals,broken into 4 symmetric parts,Pythonidae
Frontal,oval (9 x 8 mm),Pythonidae
supraoculars,four,Pythonidae
Loreals,"small, numerous",Pythonidae
Upper labials,14 and 15,Pythonidae
Lower labials,16 and 17,Pythonidae
Mental groove,deep,Pythonidae
Ventrals,298,Pythonidae
Anal scale,entire,Pythonidae
Subcaudals,83,Pythonidae
Scale rows at midbody,45,Pythonidae
Scale rows at neck,41,Pythonidae
Scale rows at tail,30,Pythonidae
Dorsal imbricate,"scales in first and last 4 or 5 rows smooth, remainder with a short, blunt keel",Pythonidae
Total length,1975 mm,Pythonidae
SVL,"1760 mm, tail 215 mm",Pythonidae
Tail percentage of SVL,12.2%,Pythonidae
Head color,brownish,Pythonidae
Ground color of dorsum,brownish -white with dark brown variegation and blotches,Pythonidae
Ventrals color,"mostly off-white, every second to fifth smudged brown",Pythonidae
lineage,endemic to northern Australia,Pythonidae
snakes,"slender, long",Pythonidae
adults,up to over 4 meters in total length,Pythonidae
coloration,pale brownish to olive,Pythonidae
longitudinal rows of large dark blotches,no adjective,Pythonidae
"nasal, internasal, anterior pre-frontals, supraocular and frontal symmetrical head shields",enlarged,Pythonidae
posterior prefrontals,usually several smaller asymmetrical scales,Pythonidae
Heat pits,present,Pythonidae
"rostral, first three supralabials and posterior infralabial scales",no adjective,Pythonidae
ventral scales,over 400,Pythonidae
elongate pythons,large,Pythonidae
tails,strongly prehensile,Pythonidae
anterior labials,deeply pitted,Pythonidae
parietal shield formation and dorsal head scale,almost total fragmented,Pythonidae
loreals,fragmented,Pythonidae
body scales,"smooth, in 70 rows",Pythonidae
ventral scutes,about 425 to 450,Pythonidae
anal scale,entire,Pythonidae
subcaudals,155 to 165,Pythonidae
reproduction,oviparous,Pythonidae
maximum size,around 5 metres,Pythonidae
This genus (Morelia spilota),large size,Pythonidae
Adult lengths,> 2 m to 5.5 m,Pythonidae
Thermoreceptive pits on supralabials and rostral (in Simalia),"two large, deep",Pythonidae
Subloreal scales (in Simalia),no adjective,Pythonidae
Loreal scales (in Simalia),> 4,Pythonidae
Prehensile tail (Simalia),strongly,Pythonidae
Head scalation (in Simalia),large plate-like,Pythonidae
Frontal (in M. carinata),"single, round",Pythonidae
Morelia spilota (this species),medium to large python,Pythonidae
Ventral scales (in this species),"longitudinally split, half, transversely divided, remnant or partially inserted, incompletely formed",Pythonidae
Dorsal scales (in this species),more rhomboidal-shaped,Pythonidae
Dorsal color pattern (in Morelia mippughae sp. nov.),"pale reddish brown, with broad transverse black-edged patches",Pythonidae
Top of the back (in Morelia mippughae sp. nov.),a wide pale lateral zone for about a third of its length,Pythonidae
Species difference (Morelia mippughae sp. nov.),"coloration and patterns, comparative DNA properties, and distribution",Pythonidae
Size of posterior dorsals (in P . spilotus imbricatus),"less imbricate, rhomboidal (not lanceolate)",Pythonidae
Ventrals and subcaudals (in this species),259-294 (mean 280) and 75-89 (mean 84.1),Pythonidae
Sum of ventrals plus subcaudals (in this species),336-385 (mean 364),Pythonidae
juvenile morph,yellow,Pythonidae
vertebral scales,"white, tightly knitted row",Pythonidae
vertebral ridge,"white �rosettes� in the Aru Islands population, dark shade of green along the vertebral ridge",Pythonidae
tail,"short, stubby, long, tapering",Pythonidae
subcaudal scale counts,"lower, high",Pythonidae
iris band,"single, running horizontally through the eye, triple",Pythonidae
tail tip,darkened,Pythonidae
pattern following vertebral ridge,"broken, continuous",Pythonidae
color change in adulthood,"relatively rapid, uniform green, delayed with variable coloration",Pythonidae
dorsum of the head,same color as the body,Pythonidae
Two stripes,a yellow one with a black one beneath it,Pythonidae
upper and lower labials,pale,Pythonidae
venter,whitish,Pythonidae
nasal,may be single or divided,Pythonidae
preoculars,4-5,Pythonidae
postoculars,2 or more,Pythonidae
supraoculars,1 or more,Pythonidae
suboculars,2-3,Pythonidae
perioculars,15-18,Pythonidae
interoculars,about 10,Pythonidae
upper labials,12-15,Pythonidae
upper labials with sensory pits,4-5,Pythonidae
lower labials,15-16,Pythonidae
Dorsal scales,arranged in 55-61 straight rows,Pythonidae
ventrals,253-267,Pythonidae
divided subcaudals,46-57,Pythonidae
cloacal scale,may be single or divided,Pythonidae
Top of body color,brownish grey,Pythonidae
longitudinal dark blotches,"irregular sub-rectangular, sometimes as broad as body",Pythonidae
flanks,have a longitudinal series of large blotches with black edges,Pythonidae
sides of snout,have dark stripes,Pythonidae
post-ocular pattern,"comprises black triangular blotches, widening to 4-6 scales at angle of jaws and coalescing with anterior labial blotch of neck",Pythonidae
post-ocular stripe,pale with dark smudges,Pythonidae
chin and belly colors,plain cream or white,Pythonidae
Body shape,short and robust,Pythonidae
Head,"elongate, flat and distinct from neck",Pythonidae
vertebral region,ridged,Pythonidae
Tail,short,Pythonidae
cloacal spurs,present,Pythonidae
"Maxillary, palatine and pterygoid bones",movable,Pythonidae
trans-palatine,present,Pythonidae
pterygoid,extending to quadrate or mandible,Pythonidae
supratemporal,"present, attached scalelike to skull, suspending quadrate",Pythonidae
Both jaws,with teeth,Pythonidae
anterior teeth of both jaws,elongated and curved,Pythonidae
coronoid,present,Pythonidae
vestiges of pelvis and legs,terminating in a clawlike spur visible on each side of vent,Pythonidae
Head,with enlarged scales,Pythonidae
part of labials,bearing pits,Pythonidae
scales,"numerous, in 60-75 scalerows",Pythonidae
Body,"thick-bodied, smooth-scaled",Pythonidae
Head,broader than neck,Pythonidae
snout tip and first two upper lip scales,have heat sensitive pits,Pythonidae
upper surface of eye,vertical pupil,Pythonidae
scale of head,large scales of different shapes and sizes,Pythonidae
Body color,Yellowish to brown,Pythonidae
Blotches,"asymmetrical dark brown, black-edged",Pythonidae
Arrowhead mark,indistinct in adults,Pythonidae
Tongue and parts of head color,pale pink,Pythonidae
Streaks on side of head,two dark,Pythonidae
Underside,white or yellowish,Pythonidae
Scales,"60-75 rows, smooth",Pythonidae
Ventral,"253-270, distinctly narrower than width of belly",Pythonidae
anal,undivided,Pythonidae
subcaudals,"58-73, paired",Pythonidae
Rostral and first 2 supralabials,pitted,Pythonidae
supralabials,11-13 (6th or 7th touching eye),Pythonidae
Dark patch in front of and posterior to the eye,"paler, narrower",Pythonidae
Overall coloration,drabber,Pythonidae
Scales on the dorsum of the head,small and medium sized,Pythonidae
Nasal,may be single or divided,Pythonidae
Preoculars,2-3,Pythonidae
Postoculars,3-4,Pythonidae
Supraoculars,2-3,Pythonidae
Suboculars,variable number,Pythonidae
Perioculars,8-13,Pythonidae
Interoculars,6-10,Pythonidae
Upper labials,10-16,Pythonidae
Sensory pits,"on two of the upper labials, smaller ones on three of the lower labials",Pythonidae
Lower labials,17-20,Pythonidae
Dorsal scales,arranged in 76-99 straight rows,Pythonidae
Ventrals,260-291,Pythonidae
Divided subcaudals,63-84,Pythonidae
Cloacal scale,may be single or divided,Pythonidae
dorsal coloration,dark,Pythonidae
pattern on dorsum,large round or oval yellow spots outlined in black,Pythonidae
dorsum of the head,black,Pythonidae
stripe from nostril to eye,yellow,Pythonidae
stripes posterior to the eye,yellow,Pythonidae
upper and lower labials,pale,Pythonidae
venter,whitish,Pythonidae
nasal,single,Pythonidae
preoculars,2-4,Pythonidae
postoculars,3-4,Pythonidae
supraoculars,1-2,Pythonidae
upper labials,"9-12(5) or (5,6) or (6)",Pythonidae
upper labials with sensory pits,Three or four,Pythonidae
lower labials,15 or so,Pythonidae
dorsal scales,arranged in 51-63 straight rows,Pythonidae
ventrals,191-207,Pythonidae
divided subcaudals,28-37,Pythonidae
cloacal scale,may be single or divided,Pythonidae
Adult total length,reportedly to 10 m,Pythonidae
Supralabial thermoreceptive pits,less well defined,Pythonidae
Infralabial pits,set in a longitudinal groove,Pythonidae
suborbital supralabial region,similar to the rest of the supralabials,Pythonidae
Medial anterior process of the ectopterygoid,elongate,Pythonidae
Suborbital portion of the maxilla,without any lateral flare or projection,Pythonidae
Mandibular foramen of the compound bone,lies below the posterior end of the dentary tooth row,Pythonidae
frontal,large medially divided,Pythonidae
Midbody scale count,54 or more,Pythonidae
anterior supralabials,"4, deeply pitted",Pythonidae
anterior infralabials,"2 or 3, feebly pitted",Pythonidae
posterior infralabials,"5 or 6, feebly pitted",Pythonidae
supra-labial touching the eye,6th or 7th,Pythonidae
Scales,70 to 80 rows,Pythonidae
V,297-332,Pythonidae
C,75-102,Pythonidae
Anal,entire,Pythonidae
Light brown or yellowish,"color above with a dorsal series of large darker brown, circular, oval or rhomboidal spots",Pythonidae
Spot,edged with black and outside again with yellow,Pythonidae
Vertical bars or V-shaped upon marks,each one of which encloses a white spot,Pythonidae
Whitish or yellowish below,the outer scale rows spotted or dappled with brown,Pythonidae
Black streak,along the middle of the head,Pythonidae
Black streak,one on each side from the eye to the angle of the jaw,Pythonidae
Total length,It reaches a length of 27 or 28 feet,Pythonidae
coloration,dark,Pythonidae
dorsal pattern,"black, brown, and yellow, round, oval or irregular blotches with dark centers and pale edges",Pythonidae
stripe on the sides of the head,yellow,Pythonidae
blotch on the side of the head,"broad, dark",Pythonidae
upper labials,dark with pale edges,Pythonidae
lower labials,pale,Pythonidae
venter,whitish with dark spots,Pythonidae
scales on dorsum of the head,medium and large sized,Pythonidae
nasal,semi-divided,Pythonidae
preoculars,2-4,Pythonidae
postoculars,3-4,Pythonidae
supraoculars,1-2,Pythonidae
suboculars,2-3,Pythonidae
perioculars,9-12,Pythonidae
interoculars,4,Pythonidae
upper labials,"11-17, none of which is in contact with the eye",Pythonidae
sensory pits,"on two of the upper labials, and smaller ones on three of the lower labials",Pythonidae
lower labials,15-23,Pythonidae
dorsal scales,arranged in 71-99 straight rows,Pythonidae
ventrals,259-294,Pythonidae
divided subcaudals,55-80,Pythonidae
cloacal scale,usually single but sometimes divided,Pythonidae
Rostral,as broad as deep,Pythonidae
Rostral,just visible from above,Pythonidae
Rostral,with a deep pit on each side,Pythonidae
internasals,much more long than broad,Pythonidae
internasals,as long as the anterior praefrontals,Pythonidae
praefrontals,a second pair,Pythonidae
loreal region,covered with small shields,Pythonidae
praocular,a large and a small,Pythonidae
postoculars,three,Pythonidae
upper labials,twelve,Pythonidae
upper labials,four anterior deeply pitted,Pythonidae
sixth upper labial,entering the eye,Pythonidae
lower labials,five,Pythonidae
lower labials,pitted,Pythonidae
scales,in 60 rows,Pythonidae
ventrals,288,Pythonidae
anal,entire,Pythonidae
subcaudals,22+,Pythonidae
last 9 subcaudals,single,Pythonidae
Body color,reddish-brown,Pythonidae
body color,with blotches of dark scales,Pythonidae
head,with a median dark line,Pythonidae
lower surface,yellow,Pythonidae
length of head and body,793 mm,Pythonidae
tail,45 mm,Pythonidae
Top of body,"red, reddish brown, charcoal-grey, pale grey, brown",Pythonidae
stripe along middle of forehead,"narrow, dark",Pythonidae
supralabials,dark,Pythonidae
post-ocular stripe,"pale, narrow",Pythonidae
dorsal pattern,vertebral spots,Pythonidae
blotches on flanks,"rounded, dark, set within paler areas",Pythonidae
belly,"anteriorly cream and posteriorly dark, with grey smudges and blotches",Pythonidae
Body,short and robust,Pythonidae
head,"elongate, flat and distinct from neck",Pythonidae
vertebral region,ridged,Pythonidae
tail,short,Pythonidae
cloacal spurs,present,Pythonidae
dorsal colour,"brown, orange, red or yellow",Pythonidae
blood pythons at hatching,brown or orange-brown,Pythonidae
adult colours,gradually developed,Pythonidae
red snakes,substantially larger and heavier than yellow snakes,Pythonidae
ventral scale count,>167 in P. brongersmai but <165 in the other forms,Pythonidae
top of body,pale yellow or tan,Pythonidae
blotches on top of body,"dark, sub-rectangular, about as wide as body, becoming darker towards tail",Pythonidae
dark top,turns black posteriorly,Pythonidae
pale spots on vertebral region,"scattered, more numerous at back of body, elongate, form a vertebral stripe",Pythonidae
black stripe,"between internasals and occipital, fusing with dark pattern on neck",Pythonidae
sides of head,"darker than forehead, with dark flecks and a broad dark post-ocular stripe",Pythonidae
post-ocular stripe,"pale, runs to angle of jaws",Pythonidae
chin and belly,"plain cream, sometimes with brown spots",Pythonidae
body,short and robust,Pythonidae
head,"elongate, flattened and distinct from neck",Pythonidae
eyes,small with a vertical pupil,Pythonidae
vertebral region,ridged,Pythonidae
some infralabials,have weak pits,Pythonidae
tail,short,Pythonidae
cloacal spurs,present,Pythonidae
anterior parietals in P. breitensteini,broadly in contact,Pythonidae
L. meridionalis,"dark grey, brown, black",Pythonidae
postocular scales,absence of small specks of white patterning,Pythonidae
parietal scales,single pair,Pythonidae
dorsal midbody scales,higher mean number,Pythonidae
ventral scales,fewer,Pythonidae
L. meridionalis body length,longer and wider head,Pythonidae
L. meridionalis,larger maximum body size,Pythonidae
L. meridionalis,"> 2.5 m in total length, ~ 3.5 kg in mass",Pythonidae
L. meridionalis head,black dorsally,Pythonidae
Jaws of L. meridionalis,"white ventrally, thin black bars on the anterior edges of the supralabial and infralabial scales",Pythonidae
L. meridionalis body,"dark grey, brown to black, becomes lighter laterally, fading to white or cream on the ventral surface",Pythonidae
L. meridionalis head and body,strongly iridescent,Pythonidae
Leiopython hoserae parietals,only one pair,Pythonidae
Leiopython hoserae dorsal midbody rows,lower average number,Pythonidae
Leiopython hoserae,no whitish postocular spot,Pythonidae
Leiopython hoserae,"larger adult and hatchling body size, darker in color",Pythonidae
Leiopython hoserae loreals and prefrontals,distinctive number,Pythonidae
Leiopython bennettorum,"higher loreal scale count, second pair of small lateral prefrontals",Pythonidae
Leiopython bennettorum,higher midbody scale row and postocular scale counts,Pythonidae
Leiopython bennettorum,"only one pair of parietals, absence of the whitish postocular spot",Pythonidae
Leiopython montanus,"higher loreal scale count, second pair of small lateral prefrontals",Pythonidae
Leiopython fredparkeri,"absence of the whitish postocular spot, higher infralabial counts, lower ventral counts",Pythonidae
labials,separated from eye by sub-oculars,Pythonidae
Arrow-shaped mark on head,distinct,Pythonidae
Top of body color,dark brown or yellowish grey,Pythonidae
Series of patches on top and sides of body,"30-40, large, irregular squarish, black-edged, dark chocolate-grey",Pythonidae
Dorsal and lateral spots,dark and dark grey,Pythonidae
sub-ocular stripe,no adjective,Pythonidae
Belly color,grey with dark spots on outer scale rows,Pythonidae
"Body, head shape","thick and cylindrical, lance-shaped",Pythonidae
Neck,distinct from head,Pythonidae
sensory pits,present in rostrals and on some supralabials and infralabials,Pythonidae
Spurs,small,Pythonidae
Tail,short and prehensile,Pythonidae
cloacal spurs,present,Pythonidae
Top surface of head mark,distinct (even in adults),Pythonidae
Tongue color,blue-black,Pythonidae
Dark streaks on side of head,"one below, the other through/ behind the eye",Pythonidae
Underside color,white or yellowish,Pythonidae
Scales,"60-75 rows, smooth",Pythonidae
Ventrals,"245-270, distinctly narrower than width of belly",Pythonidae
anal,undivided,Pythonidae
Subcaudals,"58-73, paired",Pythonidae
supralabials,"11-13, separated from eye by suboculars",Pythonidae
subocular scale,present,Pythonidae
eye-supralabial contact,prevented,Pythonidae
ventral scales,180 or more,Pythonidae
tan ocelli,present,Pythonidae
trunk's middorsal stripe,anteriorly,Pythonidae
juvenile morph,"single, yellow",Pythonidae
vertebral scales,"white, tightly knitted",Pythonidae
vertebral ridge,dark shade of green coloration,Pythonidae
tails,"short, stubby",Pythonidae
subcaudal scale counts,lower,Pythonidae
iris band in juveniles,"single, running horizontally through the eye",Pythonidae
tail tip in juveniles,darkened,Pythonidae
pattern following the vertebral ridge,broken,Pythonidae
color change to adulthood,"relatively rapid, uniform green",Pythonidae
ventral and subcaudal scales,higher mean number,Pythonidae
iris band in juvenile specimens,single,Pythonidae
tail tip,dark,Pythonidae
"ventral, supralabial, infralabial and subcaudal scales",lower mean number,Pythonidae
color change,relatively rapid,Pythonidae
head and snout,shorter,Pythonidae
juvenile pattern,fully connected,Pythonidae
tail tip,light,Pythonidae
posterior dorsals,"strongly imbricate, lanceolate",Pythonidae
ventrals,239-276 V. 259-294,Pythonidae
subcaudals,63-82 v. 75-89,Pythonidae
size,small,Pythonidae
maximum recorded SVL,1080 mm,Pythonidae
Maximum tail length,95 mm,Pythonidae
Average TL/SVL,0.094,Pythonidae
Average HL/SVL,0.038,Pythonidae
average HL/HW,1.94,Pythonidae
Maximum mid-body girth,85 mm,Pythonidae
head scalation,large symmetrical shields,Pythonidae
frontal scale,one large roughly hexagonal,Pythonidae
parietal scales,"directly in contact with the frontal, posterior to which scales are largely undifferentified",Pythonidae
supraocular,one large above each eye,Pythonidae
prefrontal scales,Two to four large,Pythonidae
internasal scales,Two,Pythonidae
supralabials,10�12,Pythonidae
infralabials,10�14,Pythonidae
heat pits,four,Pythonidae
preocular scale,"single large, anteriorly pointed",Pythonidae
loreal scales,3�5 irregularly sized,Pythonidae
postocular scales,Two to four,Pythonidae
