trait,count
posterior part,1
posterior part of the back,1
posterior part of the head,1
posterior prolongation of frontals,1
posterior third of the back,2
posterior tip of the parietals,1
posterior to the second supralabial,1
posteriorly,1
postfrontal,2
postfrontal shape,1
postfrontal shield,1
postfrontals,7
postgenial,2
postgenial rows,5
postgenial segments,1
postgenials,21
postlabial edge,1
postlabial shape,1
postlabials,1
postmalar,1
postmalar chin shields,8
postmalar position,1
postmalar row,1
postmalar size,1
postmalars,6
postmental,19
postmental row,1
postmental shape,1
postocular,18
postocular (-temporal),1
postocular shape,7
postocular supralabial,3
postoculars,3
postparietals,1
postrostral,1
postrostral head shields,17
postsupralabial,7
postsupralabials,1
praefrontals,1
praemaxillary teeth,5
pre-cloacal segments,13
preanal pores,35
preanal shields,1
precloacal pores,79
precloacal scales,4
precloacal segments,2
precloacal shield,2
precloacals,1
precoacal pores,3
prefrontal,31
prefrontal size,1
prefrontal suture,3
prefrontals,18
prefrontals size,1
premental,1
preocular,25
preocular region,2
preocular shape,1
preocular supralabials,27
preoculars,1
prognathous snout,2
prœanal pores,1
purplish color,1
quadrate,2
range of snout-vent length,1
rectangular nasals,1
rectangular ocular,2
robustness,1
rohral,2
rostral,32
rostral plate,2
rostral rip,1
rostral scale,6
rostral shape,8
rostral shield,3
rostral size,1
rostral tip,5
rostral visibility,1
"rostral, nasals, and superlabials",1
"rostral, nasals, upper labials, and chin region",1
round pores,1
rounded head,4
row of postmalar shields present,1
rows of post-genials,2
rows of postgenials,16
rumpfringel,2
scale shape,1
scales,1
scales around midbody,4
scales on nape and side of neck,1
second (and third) postsupralabials,1
second body annulus,1
second infralabial,6
second infralabials,6
second labial,2
second lower labial,1
second postgenial row,1
second postgenials,3
second postocular supralabial,1
second postsupralabial,5
second row,2
second row of medial genials,1
second row of postgenials,1
second supralabial,8
second upper labial,1
segment pigmentation,1
segmental margins,2
segments,1
segments around midbody,4
segments in a midbody annulus,1
segments of median ventral row,2
segments of the gular region,2
segments per midbody annulus,1
segments to a mid-body annulus,2
segments to a midbody annulus,16
seventh and eighth body annuli,1
sexual dimorphism,1
shallow blind suture,1
shields,1
short anterior dorsal sulcus,3
"short, blind suture",1
shorter snout,1
size,16
skin,1
slender body and small svl in adults,1
small rostral,3
smooth scales in the tip of the tail,1
smooth segments,1
smooth segments on the tip of the tail,2
snout,19
snout and posterior one-half of edge of lower jaw,1
snout shape,16
snout width,1
snout-vent length,3
stapes,2
sublabial,1
sublabials,1
subrectangular frontal,1
superior aspect of keel,2
supra- and infralabials,1
supralabial,1
supralabial shape,2
supralabial sutures,1
supralabials,33
supraocular,1
supraoculars,1
suture,3
suture defining the posterior edges of the very large mental and the flanking first infralabials,1
sutures,1
sutures on the dorsal aspect of the head,1
svl,9
symphysial,2
symphysial trapezoid,2
tail,28
tail annuli,32
tail base,1
tail color,3
tail cylindrical,3
tail length,4
tail shape,34
tail terminus,1
tail tip,10
tail tip shape,1
temples,2
temporal,22
temporal bulges,4
temporal shape,3
temporal shield,3
temporals,9
third infralabial,5
third infralabials,1
third labial,1
third postgenials,1
third row,2
third supralabial,3
three rows of postgenials,2
total half-annular segments of head,1
total length,2
total number of scales around midbody,1
totallänge,1
transition color,1
trunk,3
trunk diameter,2
trunk shape,4
two large and one very small infralabials,1
two large supralabials,1
two or three annuli between the second and seventh,1
two outermost ventral scales on each side in an annulus,1
two pairs of small distinct occipitals,1
two preanal pores,1
underside of tail,1
uniform coloration in the tip of the tail,1
uniformly pigmented segments,1
upper labial,1
upper labial shape,3
upper labial shields,2
upper labials,7
upper of the two first temporals,1
ventrad extension of the darker dorsal coloration,3
ventrais,1
ventral aspect of the tail,1
ventral color,55
ventral countershading,2
ventral pale checkerboard pattern,1
ventral parts,1
ventral pigmentation,1
ventral scale count,1
ventral scales,2
ventral segments,83
ventral segments of the first through sixth body annuli,1
ventral segments/midbody annulus,11
ventral shields,1
ventral sulci,1
ventral sulcus,1
ventral surface,4
ventral surface of the tail,2
very large first postocular supralabial,1
very large parietals,1
wide segments,1
widest segments,1
zone dorsolateral,2
zone dorsolateral and posterior to the cloaca,1
