species,traits
amphisbaena darwinii,"color brownish violet, pinkish white, ventral segments pinkish white, edge marking faint pigment emphasis, lateral countershading irregular lightening of pigment area and pigment density, dorsal surfaces of the head and tail darker, more dense pigmentation, chin light, light coloration extends across the infralabials onto the mental and rostral, and posteriorly to the cloaca, third infralabial more darkly pigmented, ventrad extension of the darker dorsal coloration in the nuchal region, zone dorsolateral faint indications of central pigment emphasis, ventral surface of the tail light, even color, autotomy annulus rarely and slightly emphasized by darker pigmentation, head segmentation lack of major fusions, large prefrontals, dorsal color brownish violet, ventral color pinkish white, edge marking occasional and faint pigment emphasis, lateral countershading irregular lightening of pigment area and pigment density, dorsal surface of the head and tail darker, more dense pigmentation, chin light, light coloration extends across the infralabials onto the mental and rostral, and posteriorly to the cloaca, third infralabial more darkly pigmented, ventrad extension of the darker dorsal coloration in the nuchal region, zone dorsolateral and posterior to the cloaca faint indications of central pigment emphasis, head segmentation lack of major fusions, large prefrontals, and small triangular frontals, rostral tip downcurving, trunk slightly flattened dorsoventrally, oval cross-section, dorsal color brownish violet, ventral color pinkish white, lateral countershading irregular lightening of pigment area and pigment density, dorsal surfaces of the head and tail darker, more dense pigmentation, chin light, light color extension onto the mental and rostral, and posteriorly to the cloaca, third infralabial more darkly pigmented, ventrad extension of the darker dorsal coloration in the nuchal region, zone dorsolateral faint indications of central pigment emphasis, autotomy annulus only rarely and slightly emphasized by darker pigmentation, head segmentation lack of major fusions and by a pair of extremely large, roughly trapezoidal prefrontals, rostral slightly larger than the first supralabial"
amphisbaena dubia,"head shields paired, tail shape cylindrical, tapering, rounded terminally, body annuli 213-231, caudal annuli 12-14, dorsal segments 13-14, ventral segments 14-17, rows of postgenials 2, postmalar chin shields 1 row, precloacal pores 4, nasal suture elongate posteriorly, temporal 1, dorsum color shades of brown, head color solid on head and tail"
amphisbaena frontalis,"preanal pores 4, body annuli 252-272, tail annuli 23-29, autotomy level 6-7, segments to a midbody annulus 14-16/14-16, head shape convex, narrow, median sutures of the head frontal, prefrontal, nasal, frontals shape arcuate front edges converging forward, parietals shape very slightly enlarged, ocular shape irregularly trapezoid, postocular shape large squarish, preanal pores 4, body annuli 252-272, tail annuli 23-29, autotomy level 6-7, segments to a midbody annulus 14-16/14-16, head shape convex, narrow, median sutures of the head frontal, prefrontal, nasal, frontals shape arcuate front edges converging forward, parietals shape very slightly enlarged, ocular shape irregularly trapezoid, postocular shape large squarish, postlabial shape large square"
amphisbaena gonavensis,"size moderate, svl 242 mm, tail cylindrical, slightly tapering, rounded terminally, tail shape rounded terminally, caudal autotomy uncommon, body annuli 199-225, caudal annuli 10-21, dorsal segments/midbody annulus 16-18, ventral segments/midbody annulus 22-24, rows of postgenials 1-2, postmalar chin shields 1 row, precloacal pores 4-7, precloacal scales 6-14, postcloacal scales 11-14, nasal suture short"
amphisbaena hastata,"preanal pores 4, body annuli 266-273, tail annuli 40, autotomy level 12-16, midventral sulcus 1, segments around midbody 35-37, color uniform white, head shape slender elongate, snout shape acuminate, mouth shape inferior, median sutures one midventral sulcus, weakly marked, rostral visibility extensively visible from below, preanal pores 4, body annuli 266-273, tail annuli 40, autotomy level 12-16, midventral sulcus one midventral sulcus, weakly marked, on the posterior 3/4 of the trunk, segments around midbody 35-37, color uniform white, with dilute aggregations of melanophores on the back, snout shape acuminate, mouth shape inferior, tail shape long tailed, tail tip shape smooth, color pattern uniform white, with a very discreet condensation of melanophores on the back"
amphisbaena heathi,
amphisbaena hyporissor,"head scales not fused, prefrontals broad or slightly broader anteriorly than posteriorly, first two body annuli correspond to three dorsal half-annuli, first pair of parietals border anteromedially on frontals, genial 0.81 times as broad as long, three rows of postgenials present, first row with two enlarged scales, second row with three scales, third row with four scales, body annuli 213, laterals four on each side, caudal annuli 20, dorsal segments 16, ventral segments 24, head scales not fused, prefrontals broad or slightly broader anteriorly than posteriorly, first two body annuli correspond to three dorsal half-annuli, first pair of parietals border anteromedially on frontals, genial 0.81 times as broad as long, three rows of postgenials present, first row with two enlarged scales, second row with three scales, third row with four scales, body annuli 213, laterals four on each side, caudal annuli 20, dorsal segments 16, ventral segments 24"
amphisbaena ignatiana,
amphisbaena leucocephala,
amphisbaena lumbricalis,"preanal pores cicatricial, usually 4, rarely 2, 5 or 6, body annuli 225-247, tail annuli 20-26, segments to a midbody annulus 12-16/16-20, prefrontals very large, frontals forming together a rough diamond, parietal series varying from a proper transverse row, nasal scale large, eye sitting on the front half, postocular large, polygonal, symphysial moderate"
amphisbaena manni,"nasal suture short, temporal 1, dorsum color uniform brown, head and tail darker centers of segments not obvious macroscopically, body annuli 209-243, caudal annuli 17-22, dorsal segments/midbody annulus 12-16, ventral segments/midbody annulus 14-20, rows of postgenials 2, precloacal pores 4-9, nasal fusion totally separated or reduced to medial point contact, azygous fusion of postocular and parietal head scales, supralabials three equally sized, size small to medium-sized, tail cylindrical, not especially tapering, rounded terminally, caudal autotomy between 5-7 caudal annuli, body annuli 209-243, caudal annuli 17-22, dorsal segments 12-16/midbody annulus, ventral segments 14-20/midbody annulus, rows of postgenials 2, precloacal pores 4-9, nasal suture short, temporal 1, dorsum color uniform brown, head dorsoventrally compressed, nasals totally separated or reduced to medial point contact, rostral caudad projection, parietal and postocular head scales azygous fusion, head segmentation characterized by a caudad projection of the dorsal tip of the rostral, dorsal surface more or less uniformly pigmented, ventral surface lightened, nuchal region lightened, intersegmental and interannular sutures lighter than the scale centers, rostral, nasals, and superlabials unpigmented, chin shields unpigmented, two or three annuli between the second and seventh faded or lacking pigmentation, dorsal surface more or less uniformly pigmented, ventral surface lightened"
amphisbaena mertensii,"preanal pores four, body annuli 242, caudal annuli six, dorsal segments 20, ventral segments 22, supralabials three, infralabials three, precloacal pores four, head shape elongate, dorsal median head sutures subequal, occipitals polygonal, postocular large, body color dark brown, ventral color lighter, posterior third of the back longitudinal sutures"
amphisbaena munoai,"rounded head paired, smooth segments on the tip of the tail paired, four precloacal pores paired, body annuli 202-218, caudal annuli 18-25, caudal autotomy visible between 5 and 9 tail annuli, midbody annulus 10-14 segments, color of preserved specimens uniform darkish brown, color on the dorsal surface darker than on the ventral surface, color of the head and tail without any particular variegation or differentiation, rounded head paired, smooth segments on the tip of the tail paired, four precloacal pores paired, 202-218 body annuli quantitative trait, row of postmalar shields present paired, 18-25 caudal annuli quantitative trait, caudal autotomy visible between 5 and 9 tail annuli paired, 10-14 segments on the midbody annulus quantitative trait, uniform coloration in the tip of the tail color, smooth scales in the tip of the tail physical characteristic, slender body and small svl in adults quantitative trait, 3/3 supralabial shields paired"
amphisbaena myersi,"body annuli 221 (+1+1/2), tail annuli 27 +1, scales around midbody 16 + 16, supralabials 3, infralabials 3, preanal pores 4, autotomy constriction at the eighth caudal annulus, head shape not depressed, snout shape rounded, blunt, swollen, rostral shape pentagonal, eye shape small, trapezoid, postocular shape large, preocular shape small, body annuli 221 (+1+1/2), tail annuli 27 +1, scales around midbody 16 + 16, supralabials 3, infralabials 3, preanal pores 4, autotomy constriction at the eighth caudal annulus, head shape wide as the body, posterior part of the head with a slight, but distinct, snout shape rounded, blunt, swollen, rostral shape pentagonal, supralabial shape three supralabials, ocular shape small, trapezoid, postocular shape two large postoculars, temporal shape single, pentagonal, parietal shape three infralabials, mental shape large, more or less rectangular, infralabial shape first more or less trapezoid, scale shape quadrangular, dorsal scale count 16, ventral scale count 16"
amphisbaena neglecta,"postrostral head shields paired, midventral segments of each annulus twice their length, precloacal pores single pair, round, body annuli 151-161, caudal annuli 20-21, autotomy constriction at the 4th to 6th postcloacal annulus, dorsal segments 12-14, ventral segments 12-14, pre-cloacal segments 4-6, dorsal color dark brown, ventral color lighter, posterior 15% of a segment light colored, intersegmental raphes light, postrostral head shields paired, midventral segments of each annulus twice as long as wide, precloacal pores single pair, round, body annuli 151-161, caudal annuli 20-21, autotomy constriction at the 4th to 6th postcloacal annulus, dorsal segments 12-14, ventral segments 12-14, pre-cloacal segments 4-6, dorsal color dark brown, ventral color light brown, segmental margins light, intersegmental raphes light, postrostral head shields paired, midventral segments of each annulus broad, precloacal pores single pair, round, body annuli 151-161, caudal annuli 20-21, autotomy constriction at the 4th to 6th postcloacal annulus, dorsal segments 12-14, ventral segments 12-14, pre-cloacal segments 4-6, dorsal color dark brown, ventral color lighter, segmental margins insignificantly lighter, intersegmental raphes insignificantly lighter"
amphisbaena nigricauda,"prefrontal largest segment, second infralabial large, middorsal segments longer than wide, midventral line two to three times as wide as long, autotomy constriction narrowed annulus, body annuli 222-226, caudal annuli 19-24, dorsal segments 10, ventral segments 16, round pores four, tail shape cylindrical, color light brownish white, darker pigment speckling, dorsal color darker dorsally than ventrally, ventral color light"
amphisbaena occidentalis,"dorsal color dark purplish-brown, ventral color light, dorsal surface of the head and tail more densely and solidly pigmented, head shape flattened, rostral small, scarcely visible from above, pairs of nasals, prefrontals, and frontals form a suture along the head, occipitals no larger than the dorsal segments, supralabials four, infralabials three, precloacal pores four, precloacal segments six to nine, postcloacal segments 11 to 16, lateral lines faintly indicated in approximately 50% of the specimens, sexual dimorphism no other characters show significant sexual dimorphism"
amphisbaena pericensis,"head shields paired, caudal annuli 18-26, autotomy constriction at the sixth to eighth caudal annulus, dorsal segments 12-16, ventral segments 16-20, precloacal pores 4, dorsal color dark brown, ventral color lightened on the tip of tail and snout, intersegmental sutures light"
amphisbaena plumbea,"head shields pairs of very large first and slightly reduced second parietals, head shape blunt, tail shape cylindrical, blunt-tipped, autotomy constriction at the sixth to eighth caudal annulus, body annuli 198-218, caudal annuli 18 or 19, occasionally 16 or 17, dorsal segments 12 to 16 (generally 14), ventral segments 16 to 20 (generally 18), precloacal pores 4 small round, color dark brown, much darker dorsally than ventrally"
amphisbaena pretrei,"head shields paired, snout shape rounded, trunk shape blunt, dorsal segments 20-27, ventral segments 22-28, precloacal pores 5-9, autotomy constriction present, dorsal color dark brown, ventral color lighter, pigmentation even, countershading gradual, nasals shape rectangular, prefrontals size largest, parietals size variable, temporal bulges noticeable, nuchal constriction limited, trunk shape oval"
tail shape,"tail tip below the caudal midline, last caudal annuli tilted from the vertical to face upward at a slight angle, lateral sulci clearly marked after the 40th body annulus, dorsal and ventral sulci only indicated as alignments of intersegmental raphes without other diversification, middorsal segments vary from 1.2 to 1.5 times as long as wide, midventral segments about 1.2 times as wide as long, widest segments seemingly near midbody"
amphisbaena prunicolor,"rounded head paired, tail tip rounded, four precloacal pores paired, body annuli 181-215, caudal annuli 18-27, rounded head paired, tail tip rounded, smooth segments on tail tip, four precloacal pores paired, dark brown color, purplish color color, uniformly pigmented segments color, checkered pattern color, dorsal brown-purplish coloration color, ventral pale checkerboard pattern color, caudal annuli 18-27, body annuli 181-215, postmalar row present, elongated body 141-238 mm, shorter snout 42.6-47.9%, longer snout 44-73.5%"
amphisbaena ridleyi,"praemaxillary teeth 5 or 7, maxillaries 5-5, mandibulars 8-8, snout shape obtusely pointed, slightly prominent, tail shape thinner than the body, tapering, rostral shape small, triangular, nasal shape short suture, eye shape hardly distinguishable through the ocular, postocular shape no subocular, upper labial shape three large, lower labial shape second very large, mental quadrangular shape followed by a large seven-sided chin-shield, body annuli 180-196, tail annuli 18-20, divisions of the annuli longer than broad, praemaxillary teeth 5 or 7, maxillaries 5-5, mandibulars 8-8, snout shape obtusely pointed, slightly prominent, tail shape thinner than the body, tapering, rostral shape small, triangular, nasal shape forming a short suture, eye shape hardly distinguishable through the ocular, postocular shape no subocular, upper labials three large, lower labials second and third forming a suture with the ocular, mental quadrangular shape followed by a large seven-sided chin-shield, lower labials second very large, body annuli 180-196, tail annuli 18-20, divisions of the annuli longer than broad, nearly equilateral on the middle of the belly, praemaxillary teeth 5 or 7, maxillaries 5-5, mandibulars 8-8, snout shape obtusely pointed, slightly prominent, tail shape thinner than the body, tapering, rostral shape small, triangular, nasal shape forming a short suture, eye shape hardly distinguishable through the ocular, postocular shape no subocular, upper labial shape three large, the second and third forming a suture with the ocular, lower border of second labial shape long as or a little longer than that of the first, mental quadrangular shape followed by a large seven-sided chin-shield, lower labial shape three, second very large, annuli divisions longer than broad, nearly equilateral on the middle of the belly, anal shields six or eight, prœanal pores four"
amphisbaena rozei,"body annuli 205-209, caudal annuli 20, dorsal segments 15-16, ventral segments 14"
amphisbaena sanctaeritae,"head shape round, prefrontal suture ≥ frontal suture > nasal suture, precloacal pores four, lateral sulcus present, dorsal and ventral sulci absent, body annuli 269-288, lateral annuli 2-3, caudal annuli 18-20, autotomy constriction 6th or 7th caudal annulus, tail shape slightly laterally compressed at distal part, dorsal segments 10, ventral segments 14, supralabials three, infralabials three, head shape round, prefrontal suture ≥ frontal suture > nasal suture, precloacal pores four, lateral sulcus present, dorsal and ventral sulci absent, body annuli 269-288, caudal annuli 18-20, autotomy at 6th or 7th caudal annulus, tail shape slightly laterally compressed at distal part, dorsal segments 10, ventral segments 14, post-malar row 7-8 scales, post-ocular present, but temporal scale absent, parietals pair of quadrangular or rectangular"
amphisbaena schmidti,"size moderate, tail cylindrical, slightly tapered, rounded terminally, caudal autotomy between 6-8 caudal annuli, head shape blunted, almost triangular, parietals enlarged, lateral-most postmalars enlarged, body annuli 192-207, caudal annuli 18-22, dorsal segments 13-16, ventral segments 16-18, rows of postgenials 2, postmalar chin shields 1 row, precloacal pores 4-5 (strongly modally 4), precloacal scales 5-8, postcloacal scales 8-14, size moderate, svl 240 mm, tail cylindrical, slightly tapered, rounded terminally, caudal autotomy between 6-8 caudal annuli, head blunted, almost triangular, with deeply constricted neck, parietals enlarged, lateral-most postmalars enlarged, body annuli 192-207, caudal annuli 18-22, dorsal segments 13-16/midbody annulus, ventral segments 16-18/midbody annulus, rows of postgenials 2, postmalar chin shields 1 row, precloacal pores 4-5 (strongly modally 4), postrostral head shields paired, midventral segments of each annulus twice their length, precloacal pores single pair, round, body annuli 179-181, caudal annuli 20-21, autotomy constriction at the 4th and 6th postcloacal annulus, dorsal segments 10-12, ventral segments 10-12, pre-cloacal segments 4, dorsal color dark brown, ventral color lighter, intersegmental raphes light"
amphisbaena slateri,"a. slateri paired, a. albocingulata paired, a. darwinii paired, a. hogei paired, a. manni paired, a. mensae paired, a. munoai paired, a. nigricauda paired, a. prunicolor paired, a. schmidti paired, a. talisiae paired"
amphisbaena slevini,"head shields two pairs of enlarged postlabials, supralabials two, infralabials two, postocular enlarged, parietal enlarged, frontal smaller, prefrontals largest head shields, nasals forming a suture, occipitals pair of small, eye distinguishable, upper labials four, symphysial trapezoid with sides slightly concave, chinshield long, lower labials four, head shields two pairs of enlarged postlabials, supralabials two, infralabials two, postocular enlarged, parietal enlarged, frontal smaller, prefrontals largest head shields, nasals forming a suture, occipitals pair of small, eye distinguishable, postoculars two superposed, upper labials four, symphysial trapezoid with sides slightly concave, chinshield fourth largest"
amphisbaena stejnegeri,"nasals largest segments on the head, oculars split to form triangular infraoculars, supralabials three, infralabials two, body annuli 247 [243], caudal annuli nine, autotomy constriction at which the tail is autotomized, dorsal segments 17 to 18 [19], ventral segments 16 [20], precloacal pores six, color yellowish, dorsal scatering irregular, frequency of dark segments suficiently high"
amphisbaena talisiae,"body annuli 205-234, caudal annuli 17-29, dorsal segments 10-14, ventral segments 14-18, preanal pores 4, dorsal color burnt medium brown, ventral color waxy yellow"
amphisbaena tragorrhectes,"preanal pores 4, dorsal color burnt medium brown, ventral color light waxy yellow, transition color gradual, tail annuli 31, first supralabial very large, post-symphysial narrow and elongate, first and second infralabials fused, internasal suture longest, interfrontal suture shortest, postocular high and narrow, supralabials 4"
amphisbaena vanzolinii,"nasals largest segments of the head, divided from the frontals by a peculiar v-shaped suture, supralabials two, infralabials one and a half, body annuli 225-228, caudal annuli 5-7, dorsal segments 18-26, ventral segments 18-25, precloacal pores four, tail elongate, cylindrical, bluntly terminating"
amphisbaena vermicularis,"dorsal color uniform brownish, ventral color lighter, intersegmental sutures lightened, tail color darker, number of caudal annuli 10-15"
amphisbaena xera,"size moderate, tail shape tapered, not so cylindrical or rounded terminally, caudal autotomy between 5-7 caudal annuli, body annuli 225-234, caudal annuli 10-16, dorsal segments/midbody annulus 12-16, ventral segments/midbody annulus 14-16, rows of postgenials 2-3, precoacal pores 2-4, nasal suture long, one-third to one-half prefrontal suture, temporal 1, dorsum color pale tan, ventral color pink, size moderate, tail shape tapered, caudal autotomy between 5-7 caudal annuli, body annuli 225-234, caudal annuli 10-16, dorsal segments 12-16/midbody annulus, ventral segments 14-16/midbody annulus, rows of post-genials 2-3, precloacal pores 2-4 (strongly modally 4), nasal suture long, one-third to one-half prefrontal suture, temporal 1, dorsum color pale tan, more brown toward head and tail, ventral color pink, size moderate, tail tapered, not so cylindrical or rounded terminally, caudal autotomy between 5-7 caudal annuli, body annuli 225-234, caudal annuli 10-16, dorsal segments 12-16/midbody annulus, ventral segments 14-16/midbody annulus, rows of post-genials 2-3, precloacal pores 2-4 (strongly modally 4), nasal suture long, one-third to one-half prefrontal suture, temporal deep, reddish purple, snout and posterior one-half of edge of lower jaw buffy, dorsum pale tan, more brown toward head and tail"
ancylocranium barkeri,"rostral enormous, compressed, arched, nostril pierced, parietals single pair, occiput behind rostral, ocular vertically-elongate, preocular slightly broader, postocular similarly vertically-elongate, eye hidden, upper labials 3, rostral enormous, compressed, arched, nostril pierced, parietals small, widely separated, ocular narrow, vertically elongate, eye hidden, upper labials two, second labial larger, lower labials three, mental elongate, ribbon-like, gulars four elongate, scales six similarly elongate"
ancylocranium somalicum,"snout compressed, raised into a keel, keel formed by the premaxilla, nasals, frontals, and part of the parietal plate, superior aspect of keel raised far above level of parietal surface, posterior aspect of keel may have a horn-like posterior projection, basipterygoid processes partes posteriores choanarum and supratemporals absent, quadrate variably dilated proximally, stapes very large, with prominent extracolumella adjacent to lateral aspect of quadrate, rostral shield enormous, heavily keratinized, second infralabials markedly enlarged, head modified into a vertical keel by strong lateral compression of its anterior aspect, nostril pierced in discrete nasal segment, snout compressed, raised into a keel, keel formed by the premaxilla, nasals, frontals, and part of the parietal plate, superior aspect of keel raised far above level of parietal surface, posterior aspect of keel may have a horn-like posterior projection, basipterygoid processes partes posteriores choanarum and supratemporals absent, quadrate variably dilated proximally, stapes very large, with prominent extracolumella adjacent to lateral aspect of quadrate, rostral shield enormous, heavily keratinized, second infralabials markedly enlarged, head modified into a vertical keel by strong lateral compression of its anterior aspect, nostril pierced in discrete nasal segment"
amphisbaena bilabialata,"rostral scale high, arcuate, mandibular symphysis reaching the level of the suture between prefrontal and nasal, lateral and ventral sulci present, short anterior dorsal sulcus disorganized, at times contracted into a low crest, tail cylindrical to the level of the autotomy annulus, tail tip blunt process, vertically elongate, autotomy levei marked by an incomplete ventral annulus, between the 7th and 8th tail annuli, preanal pores none or two, variable in expression, separated by four segments, body annuli 354-372, tail annuli 15-17, dorsal segments 12-16, ventral segments 16-20, rostral scale high, arcuate, mandibular symphysis reaching the level of the suture between prefrontal and nasal, lateral and ventral sulci present, short anterior dorsal sulcus disorganized, at times contracted into a low crest, tail cylindrical to the level of the autotomy annulus, tail tip a blunt process, vertically elongate, autotomy levei marked by an incomplete ventral annulus, between the 7th and 8th tail annuli, preanal pores none or two, variable in expression, separated by four segments, body annuli 354-372, tail annuli 15-17, dorsal segments 12-16, rostral scale high, arcuate, forming a cutting edge, mandibular symphysis reaching the level of the suture between prefrontal and nasal, lateral and ventral sulci present, short anterior dorsal sulcus disorganized, at times contracted into a low crest, tail cylindrical to the level of the autotomy annulus, tail tip a blunt process, vertically elongate, autotomy levei marked by an incomplete ventral annulus, preanal pores none or two, variable in expression, body annuli 354-372, tail annuli 15-17, dorsal segments 12-16, ventral segments 16-20"
amphisbaena kingii,"rostral scale high, arcuate, mandibular symphysis reaching the levei of the nostril, lateral sulci apparent, tail annuli 15-23, body annuli 214-244, dorsal segments 12-19, ventral segments 14-22, preanal pores usually four, contiguous, eye irregularly polygonal, nostril pierced near the front edge, supralabials three large, labials one the longest, the second the highest, rostral scale high, arcuate, mandibular symphysis reaching the level of the nostril, lateral sulci apparent, body annuli 214-244, dorsal segments 12-19, ventral segments 14-22, preanal pores usually 4, tail annuli 15-23, tail shape cylindrical to the autotomy levei, tail tip rounded, color gray, countershading darker dorsally than ventrally"
amphisbaena anomala,"praemaxillary teeth 1, maxillaries 4-4, mandibulars 6-6, snout rather prominent, rostral small, nasal on each side of rostral meeting behind that shield on the midcephalic line, praefrontals separating the pair of frontals from the nasals, contour scales extend to these shields, except for several slightly enlarged scales which might be considered occipitals, eye invisible, ocular medium-sized, first labial extends upward to the praefrontal, third labial inferiorly by the third labial, upper of the two first temporals posteriorly by the upper of the two first temporals"
