species,body annuli,caudal annuli,autotomy,divisions of the annuli,nasal,color,tail,precloacal pores,lateral sulci,anal shields,eye,dorsal sulci,rostral,ventral sulci,frontal shield,infralabials,parietals,postmalar shields,SVL,supralabial shield,snout,chin shields,temporal shields,head shields,head length,head width,prefrontals,occipitals
Amphisbaena pericensis,198-218,"18 or 19, occasionally 16 or 17",sixth to eighth caudal annulus,12-16,,dark brown,"cylindrical, blunt-tipped",4,,,,,,,,,"large, reduced",,,,,,,blunt,,,,
Amphisbaena prunicolor,,entirely smooth,,,2,uniform plum-color above and below,obtuse,,,,,,scarcely visible from above,,3,,2,,m. .214,,,,,,.006,,,
Amphisbaena sanctaeritae,269–288,18–20,"on 6th or 7th caudal annulus, not always perceptible",,,,"similar width along its length, slightly laterally compressed at distal part",,present,,,,,,,,"a pair of quadrangular or rectangular, with similar size or little larger than adjacent dorsal segments",,,,,,,,,,,
Amphisbaena schmidti,192-207,18-22,between 6-8 caudal annuli,13-16,short,purplish brown,26 mm,4-5,,,,,,,,,enlarged,,,,,,1,,,,,
Amphisbaena silvestrii,179-181,20-21,,10-12,,dark brown,,,,,,,bleached,,,,,,,,,bleached,,,,,,
Amphisbaena slevini,204-211,5-6,,12,,medium brown,,4,,,,,,,,2,enlarged,,,2,,,,,,,,
Amphisbaena spurelli,213 or 214,,,at least twice as long as broad,forming a suture,,,,,,distinguishable under the ocular,,"small, triangular",,"much smaller, a little longer than broad","4, second largest",,,,"4, second very large, fourth small","rounded, prominent",,,,,,"a pair, largest head-shields","a pair, small"
Amphisbaena stejnegeri,247 [243],9,,17 to 18 [19],largest segments on the head,yelowish,,6,,,,,,,scarcely distinguished,2,,,,3,,,,,,,,
Amphisbaena talisiae,205-234,17-29,,10-14,large,,,4,,,,,,,oval,3.0,pentagonal,,,4,,,,,,2.5 mm,moderately elongate,little differentiated
Amphisbaena tragorrhectes,196,31,,12/12,longest,,smooth,4,well marked,,,not clearly marked,,not apparent,,3,"polygonal, large",,,4,,,,,,,,
Amphisbaena vanzolinii,225-228,>15,,12-13,v-shaped suture,dark brown,,4,,,,,,,,1.5,,,,2,,,,,,,,
Amphisbaena xera,225-234,10-16,between 5-7 caudal annuli,12-16,long,more brown toward head and tail,brown,,,,,,,,,,,,,,,,1,,,,,
Amphisbaena bilabialata,"354-372, with frequent irregularities",15-17,,12-16,,,"cylindrical to the level of the autotomy annulus (seventh), from then on moderately clavate","none or 2, variable in expression, separated by 4 segments",present,,,,,present,,,,,,,,,,,,,,
Amphisbaena kingii,214-244,15-23,,12-19,,,,"usually 4, contiguous",apparent,,,varying from entirely obsolete to well-expressed,,inconstant,,,,,,,,,,,,,,
Amphisbaena anomala,about the middle of the body,,,,large,,,,,,invisible,,small,,,3,,,,3,"rather prominent, smooth",,,,,,,
Amphisbaena bedai,272-284,22-23,sixth annulus,18-20,meeting on the midline,,slightly clavate,4,evident,2 central scales,,absent,,absent,,,large,,,4,prognathous,,,,,,,
Amphisbaena kraoh,281,,,,"very large, forming a short median suture",,,,"strong, dorsal poorly marked, ventral indicated by preferential folding",,"very large, in contact with the second and third labials, the prefrontal, the frontal (very short contact), and the 2 upper temporals",,not readily visible from above,,"broad in front, narrow behind","3, second very large",,,,"second and third very high, fourth small, square",,,,,,,"subrectangular, very large",
Amphisbaena bahiana,204-223,14-16,,12-16,,,,,strongly indicated,,,,,,short,,,,,,,,,,,,large,
Amphisbaena borelli,239 to 245,17 to 19,possibly at the sixth to eighth caudal annulus,14 to 16,,drops out by segments ventrally,,4,strongly indicated,,,,,,,,,,,,,,,,,smaller than the trunk,enormous,
Amphisbaena roberti,240-265,17-20,faint,13-16,,brown,,2,,,,,projects strongly,,,,,,,,swollen,,,,,smaller,enormous,
Amphisbaena steindachneri,256-266,17-18,,14-16,,,,4,strongly indicated,,,,projects strongly,,posterior prolongation,,,,,,,,,,,,enormous,
Chirindia langi,,"286-290 on body, 30-32 on tail",,14 dorsal and 14 ventral,,"flesh color, tinged with mauve above",rounded at end,4,,6,,,"moderate, triangular",,,3,polygonal,,,,rounded and strongly projecting,,4,,,,,broader than long
Chirindia swynnertoni,,"246 on body, 24 on tail",,"12 dorsal, 12 ventral",,"flesh color, tinged with purplish",obtusely rounded at end,absent,,feebly enlarged,under the posterior part of a large shield,,small and triangular,,,3,moderately enlarged,,,,"rounded, moderately projecting",,5,,,,,much smaller trapezoidal
Cynisca degrysi,,"243 on body, 26 on tail",,,"fused with first and second labials, preocular and prefrontal","pale brown above, white below",,,,6,"large, eye distinct",,"moderate, triangular",,small,"2, first very large, second small",a pair,,,1 (third),,"4, all of which are in contact with a first lower labial","2, upper very large",,,,,
Cynisca gansi,229-237,22-23,7th to 8th caudal annulus,,,,,10 or 0,,,,,,,,2,,,,2,bulbous,,small,,,,,small
Cynisca haugi,251,27,1,8,1,,27,,filled with small triangular segments,,,,,,,2,1,,,,,,1,,,,1,
Cynisca kigomensis,256-258,20-21,,"13-14 dorsal, 12-14 ventral",,pale brown,,,,,,,,,,larger than mental,,slightly enlarged,,,bulbous,,,,,,,
Cynisca kraussi,186-219,10-15,,14-17,rather long,darker dorsally than ventrally,dark violet,,,,,,,,,,,,,,,,1,,,,,
Cynisca leonina,233-243,18-19,6th to 7th caudal annulus,14,1,,18 or 19 caudal annuli,7-8,,,1,,,,,2,,,,,,,1,,,,1,1
Cynisca leucura,186-219,10-15,,14-17,rather long,darker dorsally than ventrally,dark violet,,,,,,,,,,,,,,,,1,,,,,
Cynisca muelleri,220-237,22-26,,,1,,,1.0,,,1,,,,2,2,2,,,,,,2,,,,1,
Cynisca nigeriensis,225-243,20-22,"after the 5th, 6th or 7th caudal annulus",,fused,,,,,,,,,,,,discrete,,,,bulbous,,,,,,,discrete in most specimens
Cynisca senegalensis,278,23,at the 7th caudal annulus,"14 dorsal, 7 to 8 ventral",fused with both preocular supralabials,very fine speckling of melanocytes,,,,,,,"sizable, clearly noticeable in dorsal view",,,,,,,,,lacking pigmentation,,,,,,
Cynisca williamsi,186-219,10-15,,14-17,rather long,darker dorsally than ventrally,dark violet,,,,,,,,,,,,,,,,1,,,,,
Dalophia pistillum,280 to 352,19 to 33,,17 to 30,,gray,,,distinct,,,,,,,,,,,,,,,fused,,,,
Geocalamus acutus,21-26,,,38-42,distinct,,,4,,6 (said to be 4 in type of noltei),distinct or hidden,,large,,,2 (very rarely 3),,,,3,,"4-5 in anterior row, 4-6 in posterior row",2-4,,,,a pair,"rudimentary, present or absent"
Geocalamus modestus,,,,,"distinct, or incompletely separated from first labial",,"cylindrical, obtuse",3-4,,,"moderate, eye distinct",,large,,"moderate, distinct, or incompletely separated from prefrontals",,fused with postfrontals,,,"3, first small, second and third larger, subequal","laterally compressed, rounded",,"3-4, descending to the commissure of the mouth",,,,a pair,rudimentary
Leposternon scutigerum,,,,,,,,,,,,,,,"not distinct, probably fused",1/1,"not distinct, probably fused",,,2/2,,,"not distinct, probably fused",,,,"not distinct, probably fused",single row of much smaller and non-keratinized segments
Loveridgea ionidesii,186-219,10-15,,14-17,rather long,darker dorsally than ventrally,dark violet,,,,,,,,,,,,,,,,1,,,,,
Loveridgea phylofiniens,,,,,enlarged,,,,present,,,indicated by alignment of sutures,invisible in dorsal view,,enlarged,3,enlarged,,150-200 mm,3,,,may form,,,,enlarged,
Monopeltis leonhardi,170 to 213,5 to 9,,17 to 34,short,,,,clearly expressed,,wedged between them,,,,,,,,200 to 290 mm,,,,,,,,,
Monopeltis perplexus,,22 to 24,fifth to seventh,,,,,lacking,well marked,,faintly visible,,,,,,,lacking,,,,,,,,,,
Monopeltis remaclei,,1289,,,elongate,,22,0-0,,4,distinguishable,,separating,,,,,,560,3,,5,,,,,,pair
Monopeltis schoutedeni,,"276 on body, 29 on tail",,,elongate,,,5-5,,8,small,,separating the nasals,,,,,,350 (311 + 39) mm,3,,4,,,,,,a pair
Monopeltis vanderysti,,227-233,,,elongate,,18-19,0-0,,4,indistinguishable,,separating the nasals,,,3,,,390 (365 + 25) mm,4,,2,,,,,,pair
Zygaspis ferox,194,38,constriction following the seventh (8th 9th) caudal annulus,18,,dark brown,14.5,4,,,,,,,,"3, second much the largest",,10 (8-11),30,,,,,,,,,
Zygaspis kafuensis,43,,,16.0,,,,4,,,,,,,,3,2,,35-40,3,,,3,,,,,
Zygaspis nigra,40-54,,46 specimens (42%),14-24,,,,4-8,well defined,,,,,,,3,,5-16,22-39,,,,,,,,,
Zygaspis quadrifrons,,,,,forming a suture with its fellow behind the rostral,,,,,,"moderate, eye distinct",,"moderate, triangular",,,,"small, rarely subdivided",,,3,rounded,,,,,,"a pair, separated from the first and second labials","small, rarely subdivided"
Monopeltis decosteri,,"193 on body, 11 on tail",,,elongate,,,1-1,,2,small,,separating the nasals,,,,,,215 (205 + 10) mm,3,,2,,,,,,a pair
Amphisbaena hiata,202 to 213,18 to 19,faint autotomy annulus at the eighth caudal annulus,16 to 17,,light brown,cylindrical,2 cicatricial,,,,,,,,,large,,,,,,,,,,,enlarged
Amphisbaena arda,242,30,,23,,,,4,,,,,,,,3,,,,4,,,,,,,,
Amphisbaena absaberi,239-242,14-15,,18,,,,2,markedly apparent,,,,,,posteriorly projected,,small,,,,rounded,,,laterally compressed,,,enormous,
Leposternon kisteumacheri,,,,,,,,,,,,,,,longer than wide,3,wider than long,,423-531 mm,2,broad,,,,,,,
Amphisbaena uroxena,210–213,12–13,,14,,,"short, blunt",,,,,,,,,3,,,small,3,,,,not distinct from the trunk,,,largest head scales,
Amphisbaena townsendi,,,,,about 1-half as long as that between the prefrontals,,,4,,6.0,moderate,,small,,moderate,,,,,3,,,small,,,,large,
Leposternon cerradensis,,13-15,,32-37,,,,1-2 pairs,,,,,,,,2,,,385 mm,2,,,,,2.6-3.2% snoutvent length,,,
Amphisbaena acrobeles,296 + n,,,,,,,,,,elongate,,elongate,,longer than wide,3,,,,3,,,present,,27.7%,,,8
Amphisbaena fuliginosa,,,,,"large, in contact with the second supralabial",broad areas of well-defined and characteristic,clavate,,,,,,"moderate, low",,,,,,350-500 mm,"3, the first smallest, the second and third variously divided and fused",,,,,,,moderate,
Amphisbaena carli,221–242,10–13,,21–23,small,,without visible autotomic constriction,2,,,,,,,,,,,,,,,,,,,,
Amphisbaena albocingulata,190–204,24–27,externally visible,12–14,,,,4,,,,,,,,3/3,,,,,,,,,,,,
Amphisbaena maranhensis,306,21,,10,,,vertical keel,,distinct,,,absent,,,,3,,,,3,,,,distinct,,,,
Amphisbaena littoralis,252–264,30–34,on the 6th tail annuli,20–22,,,30–70 mm,6,present,,,,,,,3,,,"248.8 ± 10.9 mm svl in males, 257.3 ± 24 mm svl in females",3,,,,,,,,
Amphisbaena metallurga,186-219,10-15,,14-17,rather long,darker dorsally than ventrally,dark violet,,,,,,,,,,,,,,,,1,,,,,
Amphisbaena filiformis,328–342,20–23,,12–14,,,slightly compressed,2,,,,distinct,,,,,,,,,rounded,,,,,,,
Amphisbaena kiriri,158-165,12-14,on third or fourth caudal annulus,14-16,cream colored,,rounded,2,present,,,absent,cream colored,absent,,3,,,,4,,,,,,,,
Amphisbaena caetitensis,186–194,10–12,,16,,,modified pointed scales,,present,,,,slightly visible,,,,,,235 mm,,,,,,,,,
Amphisbaena arenicola,199-216,,,16-18,12.5-17.2%,uniform,uniformly colored,,,,,,,,,,,,117-178 mm,,42.6-47.9%,,,,,,,
Amphisbaena mongoyo,208,25,10th caudal annuli,14,,,,,present,,,,,,,,,,,,rounded in profile and dorsal view,,,,,,,
Amphisbaena acangaoba,216–239,13–17,absent,18–24,,brown,slightly dorsally depressed,4–8 (usually 6),present,,,,,,,3,variable in size and shape,,,4,prognathous,,1 or 2,,,,,
