trait,count
pigmented band,1
pigmented rows,1
pigmented scale rows,3
pigmented scales,1
populations/individuals,1
posterior end,1
posterior head-scales,1
posterior nasal,3
posterior nasal scale,1
posterior nasal-preocular suture,1
posterior scale rows,1
postfrontal scale,1
postnasal pattern,3
postocular,1
postoculars,32
prae-ocular,1
praefrontal,3
praeocular,4
praeocular contact,1
praeocular size,2
praeoculare,1
precoacal pores,1
prefrontal,4
preoc-u-labial contact,1
preocular,15
preocular and ocular scales,1
preocular apical diameter,2
preocular plate,1
preocular scale,1
preocular size,1
preocular-labial contact,14
preocular-nasal suture,2
protrusion,1
prœocular,1
pupil,2
pure white,1
ratio between length of ventral pterygoid process of palatine and skull length,3
reduction,3
reduction a/b,1
reduction a–b,1
reduction b–c,1
relative body thickness,1
relative rostral width,1
reproduction mode,1
reticulation,1
reticulation location,1
right lung,1
right side hemipenis,1
roastral,3
roastral position,2
roastral scale,1
roastral shape,3
roastral size,3
robust tail,1
rostral,56
rostral cuneiform,1
rostral extension,1
rostral followed by three transversely enlarged shields,1
rostral indent,2
rostral protuberance,1
rostral scale,10
rostral shape,6
rostral size,1
rostral tapering,1
rostral umbo,1
rostral wide point,1
rostral width,4
rostrale,2
rostrum,2
row of squamous glands,1
row pigmentation,1
rows of dorsal scales,2
rows of dorsal scales pale brown,1
rows of postgenials,1
rows of scales,1
rows of scales around the body,4
rows of ventral scales,2
rows of ventral scales yellowish cream,1
rw1,1
rw1/rl1,1
rw2,1
rw3,1
rwd/rld,1
région médiane,1
scalation,1
scale centers,1
scale color,2
scale diameter,1
scale reduction,1
scale row reduction,19
scale rows,47
scale rows anteriorly,1
scalerows,1
scales,16
scales around midbody,1
scales from vent to tail spine,1
scales on the top of the head,1
scales on the top of the head size,1
scales round the body,1
schnauze,1
schuppen,1
schwanz,1
schwanz shape,1
second supralabial,1
short to moderate tail,1
side of the snout,1
sides of the ventral part of rostral,1
sinuosity,1
sip,7
sip iii-s,1
sip ii–p,1
sip x,1
size,1
size of praeocular,1
skin pigment,1
small- to large-sized,1
snout,46
snout and anal region,1
snout color,6
snout edge,2
snout pattern,1
snout profile,1
snout shape,30
sns visibility,1
specimen,1
specimen similarity,1
spine on tip of tail,1
spots,1
stout- to slender-bodied,1
streaks,1
sub-oculars or subpreoculars,1
subcaudal colorless area,1
subcaudal scales,7
subcaudals,7
subnarial glandular pit,1
subnarial pit,1
subocular,1
subocular region,1
suboculars or subpreoculars,12
superior nasal suture,1
supralabial,3
supralabial imbrication pattern,4
supralabial imbrication pattern (within madagascar),1
supralabial imbrication patterns,1
supralabial scales,5
supralabialen,1
supralabials,2
supranasal suture,2
supraocular,9
supraocular suture,1
supraoculare,1
supraoculars,3
supraoculars and parietals,1
supraoculat,1
suture,1
suture between preocular and ocular,1
suture between the preocular and the 3rd infralabial,1
svl,5
ta,1
tail,24
tail color,3
tail ending,1
tail length,15
tail length percentage,1
tail pigmentation,1
tail ring,1
tail shape,15
tail spine,2
tail tip,4
temporal,3
terminal tail spine,3
testes,1
testis,1
thin body proportions,1
third and fourth supralabials,1
third supralabial,3
tip of tail,1
tl,6
tl/mbd,4
tl/midbody diameter,14
tl/svl,1
tl/ta,1
tl/taillength,16
tongue,1
top of head color,1
total dorsal scales,1
total length,29
total length to body width ratio,1
total length/midbody diameter,16
total length/midbody width ratio,1
total length/tail length,16
total middorsal scales,2
total middorsals,2
total scale rows,16
tracheal lung,1
"tracheal, cardiac and right lungs",1
trachel lung,1
transverse bar,1
transverse rows of scales,3
transverse scale rows,2
transverse scale rows at mid-body,1
transverse scale rows on body,1
transverse scalerows,1
ttl,3
tumidbody diameter,1
under side of head,1
undersurface,1
undersurface of tail,1
unpigmented areas,3
unpigmented areas around,1
unpigmented areas fade,1
unpigmented midventral zones,1
upper arm of the anterior nasal,2
upper body color,1
upper head-scales,3
upper labial number,1
upper labials,5
upper lateral surface,1
upper lateral surface color,1
upper lateral surfaces,1
upper part of rostral,2
upper portion,1
upper portion of rostral,1
upper surfaces,1
upper suture,1
variation,1
venter,6
venter color,1
venter coloration,1
ventral color,21
ventral pigmentation,2
ventral pterygoid process of palatine,3
ventral rostral,1
ventral scales,7
ventral segments/midbody annulus,1
ventrals,6
ventre,1
ventrum,2
vertebrae,16
vertebral scales,3
vestigial left lung,1
white spot,1
width,2
width of rostral,1
yeux,1
écailles,0
écailles de la moitié antérieure du corps,1
écailles de la moitié postérieure,1
